num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.08;
00050;pca;003;0.07;
00050;no_pca;005;0.13;
00050;pca;005;0.07;
00050;no_pca;007;0.22;
00050;pca;007;0.07;
00050;no_pca;009;0.41;
00050;pca;009;0.14;
00050;no_pca;011;0.59;
00050;pca;011;0.27;
00050;no_pca;013;0.74;
00050;pca;013;0.50;
00100;no_pca;003;0.08;
00100;pca;003;0.07;
00100;no_pca;005;0.13;
00100;pca;005;0.07;
00100;no_pca;007;0.21;
00100;pca;007;0.07;
00100;no_pca;009;0.42;
00100;pca;009;0.14;
00100;no_pca;011;0.58;
00100;pca;011;0.28;
00100;no_pca;013;0.74;
00100;pca;013;0.51;
00200;no_pca;003;0.07;
00200;pca;003;0.07;
00200;no_pca;005;0.13;
00200;pca;005;0.07;
00200;no_pca;007;0.21;
00200;pca;007;0.08;
00200;no_pca;009;0.43;
00200;pca;009;0.13;
00200;no_pca;011;0.59;
00200;pca;011;0.28;
00200;no_pca;013;0.76;
00200;pca;013;0.51;
00300;no_pca;003;0.07;
00300;pca;003;0.07;
00300;no_pca;005;0.13;
00300;pca;005;0.07;
00300;no_pca;007;0.21;
00300;pca;007;0.07;
00300;no_pca;009;0.43;
00300;pca;009;0.14;
00300;no_pca;011;0.59;
00300;pca;011;0.28;
00300;no_pca;013;0.75;
00300;pca;013;0.51;
00500;no_pca;003;0.07;
00500;pca;003;0.07;
00500;no_pca;005;0.13;
00500;pca;005;0.07;
00500;no_pca;007;0.21;
00500;pca;007;0.07;
00500;no_pca;009;0.43;
00500;pca;009;0.14;
00500;no_pca;011;0.58;
00500;pca;011;0.28;
00500;no_pca;013;0.75;
00500;pca;013;0.51;
00700;no_pca;003;0.07;
00700;pca;003;0.07;
00700;no_pca;005;0.13;
00700;pca;005;0.07;
00700;no_pca;007;0.21;
00700;pca;007;0.07;
00700;no_pca;009;0.43;
00700;pca;009;0.15;
00700;no_pca;011;0.58;
00700;pca;011;0.28;
00700;no_pca;013;0.75;
00700;pca;013;0.50;
01000;no_pca;003;0.07;
01000;pca;003;0.07;
01000;no_pca;005;0.13;
01000;pca;005;0.07;
01000;no_pca;007;0.22;
01000;pca;007;0.07;
01000;no_pca;009;0.43;
01000;pca;009;0.14;
01000;no_pca;011;0.58;
01000;pca;011;0.28;
01000;no_pca;013;0.75;
01000;pca;013;0.51;
