num trees;pca;f1 macro avg
00050;no_pca;0.87;
00050;pca;0.68;
00100;no_pca;0.87;
00100;pca;0.68;
00200;no_pca;0.86;
00200;pca;0.67;
00300;no_pca;0.86;
00300;pca;0.67;
00500;no_pca;0.86;
00500;pca;0.67;
00700;no_pca;0.86;
00700;pca;0.68;
01000;no_pca;0.86;
01000;pca;0.67;
