num trees;pca;f1 macro avg
00050;no_pca;0.24;
00050;pca;0.16;
00100;no_pca;0.25;
00100;pca;0.17;
00200;no_pca;0.25;
00200;pca;0.17;
00300;no_pca;0.25;
00300;pca;0.17;
00500;no_pca;0.25;
00500;pca;0.16;
00700;no_pca;0.25;
00700;pca;0.16;
01000;no_pca;0.25;
01000;pca;0.16;
