num_trees;pca;macro avg
00050;no_pca;0.33;
00050;pca;0.26;
00100;no_pca;0.34;
00100;pca;0.27;
00200;no_pca;0.33;
00200;pca;0.27;
00300;no_pca;0.34;
00300;pca;0.27;
00500;no_pca;0.34;
00500;pca;0.27;
00700;no_pca;0.34;
00700;pca;0.28;
01000;no_pca;0.34;
01000;pca;0.27;
