6902198.000000;1306187.000000;1104054.000000;603953.000000;320289.000000;3170962.000000;22656.000000;376630.000000;5394850.000000;3846246.000000
18601.000000;12012.000000;2537.000000;14562.000000;3884.000000;34866.000000;57.000000;3869.000000;7180.000000;18079.000000
945699.000000;293756.000000;150344.000000;51910.000000;53559.000000;656468.000000;2781.000000;61450.000000;726226.000000;607479.000000
570456.000000;153046.000000;87051.000000;39486.000000;21389.000000;417403.000000;1204.000000;25192.000000;384566.000000;307492.000000
412967.000000;105998.000000;74273.000000;10672.000000;16591.000000;300320.000000;836.000000;19640.000000;261671.000000;254810.000000
302348.000000;89471.000000;51544.000000;27863.000000;13708.000000;254490.000000;790.000000;16341.000000;362298.000000;169896.000000
248366.000000;105377.000000;34802.000000;11809.000000;22417.000000;197688.000000;919.000000;25100.000000;288823.000000;97668.000000
208589.000000;78200.000000;29539.000000;13464.000000;11402.000000;168905.000000;640.000000;13038.000000;238280.000000;97494.000000
176511.000000;59941.000000;26884.000000;13240.000000;10508.000000;143335.000000;480.000000;12062.000000;212725.000000;95211.000000
435026.000000;135933.000000;64491.000000;32512.000000;26478.000000;393729.000000;729.000000;30865.000000;518965.000000;219184.000000
