128575;294802;228429;34471;240457;35;614;39512;106134;85203;6709;133459;128715;147769;31195;30754;78957;35840;12816;135224;45706;17991;239045;84745;641092;27237;38341;504605;84538;136322;155652;23924;80023;237753;18354;214469;124960;68798;5814;7047;64102;9291;174872;83734;12734;1142557;146270;33771;62541;71053;7610;129781;56560;213225;96716;60194;123609;144442;54706;37608;58115;96812;33558;28183;29369;93329;137421;213934;85307;114484;116;351759;100795;71415;151073;2698;164774;247067;188522;56001;27768;158988;130025;124675;104479;210293;15390;119658;1489;20255;38290;36405;397726;24761;55863;688296;96143;67290;557341;277479;90559;81340;57747;37535;134047;184303;105265;82125;94996;25273;22427;65032;414996;18516;122981;28408;117457;53288;248;75016;7998;51568;252685;72681;33418;10517;124837;191511;240904;21764;49736;57052;186136;139016
541;4812;580;22;414;0;0;630;2279;451;36;478;1152;514;32;28;234;144;13;74;161;375;965;2118;145;4;3213;163;39;1375;733;24;351;50;17;97;337;175;29;52;88;17;1289;397;213;68;1082;28;201;1868;22;254;138;26;631;353;1320;42;759;207;47;469;159;1421;42;12;90;162;501;348;0;67;1263;209;1365;3;83;531;607;27;267;291;265;13;184;1047;33;121;1;606;588;939;75;656;19;117;164;41;100;1290;317;2096;134;168;606;314;632;351;75;9;392;58;80;39;1741;38;86;1368;1;632;74;32;125;2017;229;14;67;131;1297;759;1304;166;378;1481
32277;100801;53694;4247;40388;1;48;5726;21749;14016;703;21434;28076;34772;2490;1487;14619;5295;829;10921;6989;2495;46629;18538;45857;597;1738;35283;6676;27516;28868;3251;12888;14346;1083;21894;18610;13183;280;297;8539;445;39741;14790;1553;39620;10668;2052;6309;2740;593;8873;7301;11474;15345;10545;26280;8866;9608;5523;4602;18578;5530;870;2859;7398;8500;22348;15621;23983;3;24305;22575;12473;27894;193;12555;27813;40932;2237;3456;26042;17841;6755;14556;43931;1518;12538;126;623;5199;6135;14365;3863;4246;32354;8169;6533;33163;31546;5226;17006;3716;5292;31482;41070;19475;13583;10629;2452;3537;3951;28787;1941;19874;2802;11122;10683;18;32208;982;2054;26250;10642;5095;660;8726;18250;42705;3332;10452;7812;35136;30093
24547;52236;40203;3588;26848;1;20;2264;11013;9871;190;13614;21241;17940;1278;883;16678;2902;272;7518;3744;753;44324;9937;25443;130;429;25009;6305;21072;20584;1996;7311;10515;418;5899;18784;6335;3;2;6444;0;20374;7285;504;39829;1895;980;4333;1337;329;10194;4423;8339;11964;4902;15703;8369;4636;2361;3038;16731;3082;40;1981;6672;3021;21451;7890;20249;0;17693;14367;5780;11114;99;10493;20572;35438;666;1921;16316;11487;1963;10226;41218;573;11262;74;13;2054;2996;8906;1709;4134;23039;6185;5015;30397;19271;4321;12064;2803;3046;12252;29961;8932;6371;8605;2583;1170;2649;22299;824;16972;2345;6558;7557;14;18919;233;2051;14946;5844;2086;377;6195;12102;25146;1303;7411;4459;21566;19697
19077;33366;25939;3320;18264;0;35;2103;9119;6407;305;9030;16607;17219;1273;924;1982;2687;440;6150;3481;868;30797;8396;24643;405;486;17696;4985;18739;18184;1714;7724;8203;615;4174;14027;4364;68;70;5993;98;19646;5139;575;33458;1494;1170;3024;999;241;1212;3931;6975;7880;3916;14996;6671;4546;2109;2462;12280;2822;279;1479;5333;2610;18031;7375;13543;3;15383;12696;4445;9288;90;8844;12552;22622;1160;1618;17582;11975;2343;9754;29483;532;7741;50;181;1924;2623;7890;1599;2993;21165;4612;3834;23209;15499;2573;9961;2068;2923;9344;15740;7643;5998;7749;1581;1212;2359;17955;777;12334;1129;4284;5864;7;13075;322;489;12974;6053;1907;379;6010;8798;13753;1259;5972;4522;12178;15842
8293;22415;24259;1799;16771;4;32;1495;7572;7624;183;13663;13044;10354;1448;579;1257;1818;349;4506;2348;561;26330;6897;23182;627;1854;12030;3917;2004;11219;1103;4711;11435;573;5948;11621;3813;103;146;3231;311;15231;4318;376;34625;4620;1447;1582;1683;178;13808;2948;6211;8810;3237;13457;5681;3498;1676;3321;10206;1868;1592;1083;4026;6839;9021;5234;10652;17;15689;10130;3540;8291;57;6065;9434;19408;2263;1256;9131;7000;3930;6319;23721;471;4502;31;1045;1248;1464;19880;918;2098;36751;5315;2110;18802;6970;1573;7547;1185;1981;5347;19442;5668;3976;4709;1072;708;1592;17812;605;9952;609;6633;4818;22;8309;216;440;6752;4866;1489;235;4190;11297;13179;725;4706;2987;18281;11774
10942;46426;23106;476;16264;1;20;1396;3799;6472;139;7973;7113;2560;1230;456;1660;1221;436;1528;1711;906;19507;3774;3311;558;634;2091;1270;561;5614;551;2726;4273;712;7924;4236;4521;95;113;1219;144;6144;6326;517;6250;1625;2214;1151;1149;199;1017;3140;2029;6614;6021;6585;1259;4246;3011;1941;4628;1332;384;440;1001;7366;3002;3468;6371;11;5468;6672;3881;3014;104;1903;11436;15857;2648;3469;3298;3892;280;3615;15235;376;3008;50;257;1293;1372;10969;2096;425;14827;1474;952;2098;5930;736;5282;989;1501;2437;14247;2405;2560;1819;220;1130;933;5527;477;8868;682;3744;3579;8;9010;223;1117;1376;4189;2502;247;1948;6437;11731;1644;3428;1923;10155;8383
6002;31464;16615;263;11327;0;10;726;3212;3257;89;5604;6434;2735;1005;334;1427;766;227;1213;1051;375;17843;2737;4037;307;454;1931;1232;744;7098;357;2102;4331;403;6443;5131;3163;3;11;828;2;7112;3718;227;11593;2467;1193;1268;1630;80;805;1658;2822;3890;3124;6531;1444;2255;1429;1513;4077;648;61;331;1112;4502;3289;2732;6248;0;5540;6629;3065;3317;47;1601;8741;13465;1826;1149;3411;3444;240;2991;14943;267;2278;39;45;678;772;8966;630;481;16537;1371;766;2573;3816;603;4893;1091;888;2454;9791;2399;1973;1667;148;507;642;7059;276;5244;571;2765;1888;0;7279;114;436;1098;1764;1265;148;1223;4741;11155;521;1896;1381;7063;7859
5202;22080;11382;315;7771;0;17;771;3940;3324;69;5211;4669;3133;785;241;162;772;216;1143;1244;276;15246;3094;4352;164;804;2840;1254;928;5615;455;2202;4076;322;4443;4713;2806;15;13;1139;17;6239;3179;161;13428;2633;745;1405;1706;93;1345;1718;2910;3761;2437;5033;1458;1786;1199;1238;4144;849;286;376;1092;2638;3172;2682;5243;1;5217;5447;2634;4066;38;1651;6137;10974;875;962;4260;3392;786;2650;11192;250;1778;27;162;693;975;6283;655;416;13005;1613;661;2260;3381;241;4189;1043;912;3224;9872;2807;2019;1845;173;418;597;6066;276;3610;245;2617;1802;2;6257;90;247;1883;1729;1050;96;1082;4634;9292;533;1900;1284;8939;5206
13178;50964;31728;1256;20962;0;2;2225;10912;10341;156;16811;13677;8999;1999;584;305;2332;452;3007;3148;790;37353;9070;12337;277;1116;7065;3267;2215;11460;1231;5176;9967;646;11515;12530;6650;12;6;3213;4;15614;8899;455;30241;7857;1692;2616;4391;160;11888;4491;6167;11166;6741;13151;3958;5000;3011;3429;10660;2099;197;1011;3275;7668;8420;6587;13725;0;11660;14039;6162;10021;51;5104;14139;28370;1568;2654;8987;8647;994;6950;30087;723;4293;38;101;1996;2114;19243;1785;1496;30763;4176;2292;8167;10039;757;11190;1858;2578;8420;27188;6956;5219;5246;686;1171;1095;12545;734;10690;482;8496;5456;4;13763;234;400;6517;5211;2554;156;2906;11339;29262;1346;5518;3049;26614;14796
