1315191;295046;2775617;623841;331282;569000;4021010;6079203
19384;4812;9550;457;3152;9370;11362;5207
245192;100825;386691;58015;41530;38112;617927;464435
148036;52242;214687;45913;18958;33243;452292;343727
128764;33367;189531;38453;18223;7759;312261;274539
99618;22422;119684;25828;13798;25990;320284;233586
76495;46427;45861;9699;17573;8408;225894;106109
52353;31468;44654;7776;8444;7874;179740;101173
46429;22082;48740;8162;7539;7809;149556;88481
126337;50966;119747;23303;20020;26845;410579;216805
