293399.956883;1734704.204098;1322688.765080;1269885.037324;1750099.157485;1256452.496054;1313183.463883;857561.220604;1138313.848552;1371722.371230;1006879.626994;1081297.684129;777403.409854;836598.757831
4808.000000;113.693148;425.710649;62.324696;1092.410181;5299.977340;6520.750658;11586.797247;3199.628211;2644.037457;648.189630;4089.972293;13604.432682;9198.075807
100681.000000;74366.017348;84482.646754;35002.115587;170029.014542;180391.907531;239016.557035;88500.839870;171765.608817;265170.046283;64186.110728;192032.675776;167647.944773;119454.514955
52196.000000;54892.288646;67780.849324;22955.632969;134181.957221;122337.828898;199941.127521;50956.151496;91003.015154;182677.424888;44736.342043;115737.099286;103374.276658;66328.005896
33328.000000;51649.861293;51226.490106;27744.643500;95274.520872;99832.887546;139035.866578;21600.682785;80807.271776;112574.836388;39258.117294;102160.483403;88254.256350;60149.082109
22218.000000;53547.384174;36208.459555;56866.080101;82173.477278;52039.791507;130023.051580;36040.618679;53991.415268;119894.291888;39886.459972;66638.275922;70177.706418;41504.987658
46393.000000;7692.607306;7567.601871;19391.544389;45381.337916;40205.427266;79894.378279;13968.223799;20011.394136;96369.276475;25729.802935;45126.854513;40926.616323;47807.934791
31464.000000;14427.941695;6522.682696;24289.475420;36814.553013;33978.779005;68275.455297;12682.301116;19467.096497;72716.628816;16906.921692;38793.084958;35153.917325;21989.162470
22072.000000;15191.661882;7287.179509;20549.708573;30210.541502;28936.095223;58300.198683;13658.322148;21403.853542;61745.136575;12948.857926;33777.490247;31661.577586;21055.376604
50964.000000;38213.263752;21096.876099;47888.775857;70403.249882;72759.955707;163041.475393;40317.047781;53617.666289;173057.655703;34083.366783;84092.653169;87482.999211;57583.014374
