129814;294804;11230;98809;225154;30528;219258;22214;55318;141036;400;288093;117047;11641;49183;94125;513158;153954;47215;157016;183741;117157;117175;53914;218142;32630;150046;95692;166771;7929;155535;19;182595;1566;86896;209619;171644;93710;81904;42733;633326;11815;18261;120613;102142;92996;407512;177438;234239;5725;524665;174414;104651;77024;25671;29695;152014;40245;183462;402889;87551;55856;6384;88222;140936;30472;132392;38497;161748;73348;65297;385396;2468;103842;192342;28022;19045;107217;47241;72;32438;25529;76920;15187;388373;322576;47564;195448;81136;143147;74218;49050;1319630;18716;89421;275915;25682;26861;128702;8842;145425;9706;194649;329712;567758;181315;49645;78202;70027;274;125720;75442;59667;90436;20218;39820;111059;40910;79569;187406;93315
945;4812;9;1130;1908;10;353;322;17;810;0;576;287;18;559;1178;96;106;4210;109;817;1937;558;33;15;33;1045;365;435;21;85;0;230;2;2540;922;67;58;278;872;180;17;49;104;3182;85;102;1221;68;5;154;396;1263;44;426;4;556;137;443;79;367;387;14;1513;1416;1099;24;52;459;2016;293;161;2;251;1874;30;51;321;78;0;30;34;44;410;164;962;327;145;184;683;36;909;63;708;400;1472;954;38;196;122;400;116;96;777;125;1734;208;204;1445;1;178;64;192;452;331;79;29;323;192;1739;37
30236;100803;726;22575;32185;2786;37093;3478;5594;32028;35;50163;16621;781;7871;15842;31719;14504;1793;10638;40701;19141;20201;2072;11690;2328;27144;15019;30349;614;15627;1;24001;133;18486;39714;12322;6691;12858;5691;47146;751;1842;11520;20457;5887;20458;34853;15847;315;33896;38293;23371;3148;3902;669;32084;6260;30540;28598;14518;7456;299;15985;26252;4514;7083;3534;35110;11968;8102;31664;174;6799;11673;3774;2018;20220;5117;1;1613;1698;5937;463;31354;32635;7445;20952;5137;30556;9059;6476;46242;655;15066;54126;4140;2656;8877;1051;21762;1181;15693;69612;29976;41486;7820;10818;15699;20;17592;6931;8619;38431;783;5285;7454;6808;14652;39177;8438
23004;52235;264;13182;22257;2946;19104;1169;5069;12823;12;32877;8699;226;4351;12320;29023;10733;287;4562;29625;15817;14685;1989;8563;1195;20229;8738;24419;352;12197;1;19329;77;12871;24853;10510;4843;6439;2208;27614;439;770;9198;10263;3935;12664;15666;12699;0;28461;26367;15068;1002;1360;156;26363;3636;16912;20975;7120;3934;0;8641;12243;1908;2270;2952;20724;6451;5213;21233;82;4479;2229;2299;848;18428;2916;0;944;659;5717;29;20764;21340;3142;5352;4007;17953;7166;2641;45508;74;7197;52277;1788;1772;10208;284;21825;278;12577;61762;20682;22537;3979;5002;10820;14;11631;4609;4955;22505;3;3768;7177;2909;16699;27425;7518
16864;33366;393;12288;19637;1763;16146;1240;4051;10010;20;22011;9033;392;3953;9073;22185;10463;501;3644;19296;11507;9319;528;7031;1277;14850;9054;20039;262;8243;0;18196;55;10676;14834;8391;3777;4858;2026;25677;411;690;8960;8324;3562;9369;13940;9725;48;20548;14814;13303;1440;1462;466;16998;3298;10114;16658;6668;3432;52;8652;9862;1819;2687;1483;21028;6259;3870;16856;88;2600;1647;1977;832;13206;2705;2;975;912;4479;152;16911;15488;2732;3714;3096;16946;6139;2298;38593;195;6657;37412;1701;1298;1220;384;16120;388;9481;38513;18206;20835;3732;3217;8634;8;10620;3717;4854;13773;218;3760;5687;2657;1984;22073;6334
13995;22415;336;9664;2784;1230;9386;700;2505;6338;38;20069;5794;310;2300;8429;19127;5936;2834;8288;15956;9737;10789;374;6420;1375;8406;5680;8655;190;9585;3;9283;32;8040;13479;7673;2883;4248;1479;22394;252;608;5493;6812;2454;21937;11100;8263;187;14116;17301;10559;3242;896;711;15675;2233;19069;17013;4444;2735;169;7461;8220;1094;4076;848;10709;4975;2270;24129;53;2093;5794;1273;615;10573;2275;7;618;972;3470;468;9884;11157;2206;5269;2730;11876;3843;1600;42992;703;4520;30219;919;945;13546;250;13776;251;7142;36249;31134;17218;2570;4282;6979;23;6987;4064;3205;8713;934;1741;4343;1862;1304;15879;3474
8263;46426;306;7023;1416;257;2174;1186;521;2684;17;21272;2968;378;1652;6482;2281;2468;666;7659;13255;7794;8414;1129;1948;2232;5596;3185;7716;197;4528;0;3490;53;5601;11579;2372;1174;5206;1402;4396;277;467;2471;3615;1277;12023;3821;3071;116;2189;10845;6868;3679;1584;640;10525;1650;10860;6128;3358;6609;115;5569;3565;2657;320;823;3099;4046;1443;12752;97;589;2284;670;494;4544;1859;7;498;1418;1109;212;2046;12534;3181;7924;1353;6754;1286;1563;8482;264;3070;23149;1948;439;1037;237;5146;296;2749;28244;12826;7690;2119;6037;4890;9;4736;2652;1959;15825;256;920;885;2965;1678;10582;1126
7644;31464;190;6156;1153;196;2164;536;405;2714;6;14529;2537;191;951;3160;2935;2047;453;4934;11603;4353;4867;509;2894;1196;5790;2501;5127;78;4052;0;3738;43;5088;10685;2466;1044;3211;761;4772;175;312;1933;2737;912;9126;4350;3131;0;2058;8418;6825;2655;670;358;9173;862;6635;7855;2656;2334;1;3455;3437;841;278;676;3757;1816;1566;10886;43;542;3633;430;285;4379;1348;0;354;759;1093;40;1627;9297;1883;6201;1416;7395;943;862;15198;69;2399;21017;589;317;839;114;6061;131;2270;23420;13442;8023;1221;3240;3284;0;3572;1895;1253;7927;15;654;1078;1399;1420;10072;1002
5797;22080;156;4736;1277;212;2862;391;429;3566;10;10030;2589;192;1217;3081;2517;2269;1032;3122;8368;3350;5009;254;3004;793;5022;2603;4665;98;3757;0;3832;27;4381;8527;2522;807;2652;796;5134;106;314;1727;3523;844;7008;4746;3159;4;2468;9626;5651;1242;523;191;8186;1079;7597;6317;2556;2002;4;2838;4147;802;847;321;4080;1896;1845;8494;38;294;3791;530;285;4490;1185;0;271;598;1131;63;2692;6380;1576;4313;1522;6281;1282;931;16366;121;2439;15943;633;330;1293;88;5609;106;2137;19530;10794;6867;1380;2633;2984;4;3489;1764;1313;6915;191;699;987;1295;132;6723;1071
16135;50964;304;12212;3485;783;10216;1132;1812;8808;1;26308;5571;404;2753;9365;8234;5999;991;9190;24467;10295;14885;406;5867;1890;11975;6410;12093;164;10090;0;8714;40;12098;27030;6253;2057;7896;2267;13682;177;894;4873;9654;1802;22724;12433;6799;1;7308;26112;14498;2418;1432;322;22350;2615;24279;13244;6127;5549;2;8166;10463;2089;1283;648;9229;5562;3470;20847;41;1202;11071;1481;767;11123;3368;0;631;1150;2881;111;7225;15637;3817;11441;3063;13697;3761;2592;36937;168;6046;39851;1803;930;11969;260;14986;271;6007;51289;26023;18582;3541;7274;8581;5;9202;4756;3342;15923;71;1704;3074;3390;334;19012;3596
