293280.456827;1164542.592768;872432.894288;880649.717652;1211620.098834;757113.747677;788725.336536;568406.483534;885990.504416;816097.181198;352850.947648;849042.735331;471758.516039;553955.674464;665772.639404;768236.208321;822357.281144;520522.201914;539932.380140;706850.513421;710561.979476;809489.908967
4808.000000;14.761603;110.850079;40.927910;498.704472;3373.782880;1553.309883;8803.193497;269.752119;1195.949650;436.893725;343.317027;6624.846488;11950.108407;3458.488195;4156.393249;588.806318;5146.415044;1434.777975;3267.181468;3418.027132;1799.512880
100669.000000;25131.311729;54487.825671;22069.272425;102867.657351;88167.026107;130740.625376;42007.148940;56400.210130;152463.553651;22562.309220;54511.496485;104976.912676;82316.802312;108942.207589;163379.122673;79098.983004;113302.853390;81357.349216;126986.018890;115007.405266;125281.907900
52192.000000;33344.729693;28511.084473;12404.113519;83997.371705;61136.245183;93854.000651;33055.728045;49903.790095;99216.876422;13307.375933;39940.699861;72957.981064;40900.007909;98849.939488;120552.896806;51749.659877;55284.004962;39110.033337;70670.047143;69431.019405;88728.394428
33324.000000;25453.702740;31694.783705;17020.572075;60031.291562;50144.152258;55055.680253;9840.339528;34807.722060;64882.820878;13042.610855;35417.354558;60706.643853;38598.486245;68058.331485;82971.069115;47313.313042;49027.717894;27895.146166;66384.964944;58732.087776;72494.209006
22214.000000;30718.384787;32113.819453;42029.925919;55685.343444;22898.674846;67495.777586;26438.913110;24627.671154;70130.137440;12672.093634;33341.439627;46634.821040;25447.017031;66517.953692;68242.858129;26837.935455;37505.984380;21353.418859;45332.247858;42376.721051;40594.861503
46393.000000;6131.078763;3035.619289;16331.146123;22732.310948;14555.219760;46928.359953;8357.491802;4034.870912;54375.429459;12426.842224;17609.101251;30058.804606;26964.071488;39729.291468;48606.410215;8263.168715;15339.987720;8456.567784;24418.248934;38643.996886;43074.981700
31464.000000;13369.776189;4627.780443;18252.157819;22132.328035;13286.280588;35053.570291;7661.476927;4144.479412;41034.591155;6514.309374;12829.010182;25978.475473;12323.907572;30033.446149;46870.526872;6721.625117;15292.211896;8324.150013;23277.749540;25975.255818;28314.891135
22072.000000;13510.753941;4879.746661;14294.015176;19966.894324;11822.251126;37891.287324;7952.682015;4309.778764;29274.888424;4799.767703;10186.838942;21052.458832;13305.675921;26696.742658;35307.104506;8826.977537;16600.312878;9282.300362;21214.325606;22568.484025;22982.713275
50964.000000;32432.488925;14730.553229;34359.900126;42968.058651;30063.881913;105230.913059;26529.834256;13285.958432;80429.128404;11207.120916;26612.757393;57049.674355;34612.174591;75436.316416;101823.334085;21367.575352;45024.100051;24644.991525;49922.195667;60879.283200;55027.759453
