1480144;294902;773601;388157;89314;187600;272625;1512267;1645670;149204;39859;407731;664777;3600456;1215216;2191147;2761;127392;967367
9405;4812;16319;6335;120;134;388;2340;2491;1782;393;734;684;1695;4809;2399;2;1486;6966
278950;100814;154579;27834;6806;16817;17663;167376;239625;19387;1612;46326;70886;256757;209112;163972;216;15660;158335
233588;52240;88570;29076;5113;14320;7640;105263;156196;7444;7;33573;54263;189071;130405;124800;101;5899;71529
169340;33366;79545;4427;3245;11252;8030;95137;96077;7583;381;28230;46159;148402;108984;97166;107;6118;59348
145946;22418;62676;20841;1889;7217;11838;53316;121721;5344;1620;22299;31707;162406;67466;71997;111;4172;46226
94914;46426;44379;5637;2037;2303;17841;15424;93399;7747;594;11764;13629;82637;48306;24425;109;6153;18742
81000;31465;31418;5360;1529;1708;9228;14070;66565;3555;19;9687;11113;79008;44275;21160;46;2796;19480
65403;22080;28807;5303;822;1706;5705;17165;61066;3219;208;9212;11961;65789;37904;17697;48;2414;22289
183281;50966;80483;20573;1536;5532;14205;41522;167086;8225;106;24869;32142;159289;93407;48557;47;6517;56259
