299803;294825;132893;65441;142946;1251;36761;142408;144116;22763;91692;339194;11025;82934;17577;146652;287919;9192;78526;37109;297860;20293;118738;446578;177653;123403;217973;48957;7621;141186;1037;107165;22517;9781;196768;6978;217373;189552;106356;35237;261865;114208;727281;92635;45439;221224;245306;80981;249561;34521;114583;125838;96358;602241;53160;212310;22906;84162;11737;126069;124538;41346;96134;297431;194270;199358;50900;574036;86919;176533;76965;31462;58699;285051;125108;310231;43963;193530;280;44523;113202;24509;48;1402094;57553;326527;783280;66151;250946;43093;91133;26240;139582;40874;10402;95542;93358;100409;80847;219697;267932;35806;58301;270949
2286;4812;1815;2262;390;0;2118;211;2131;46;284;130;89;185;17;485;644;14;164;46;295;51;401;123;2057;1490;1196;37;12;134;0;908;23;109;3042;20;294;77;146;7;1627;96;182;41;386;1128;106;42;675;1547;2707;117;1869;102;56;854;394;917;119;394;24;513;2334;900;81;1907;57;202;284;113;139;1825;40;81;358;121;63;330;1;613;49;444;0;83;357;883;176;18;1216;387;1108;15;369;38;78;1009;373;1438;440;35;591;684;250;1357
40573;100804;4669;10258;28754;91;1210;19101;24115;2586;15758;19633;1265;5557;1136;28827;63074;436;9950;3106;36411;2044;19024;34019;19421;27391;44459;6588;505;19437;103;17990;1439;406;39574;546;27575;13690;13220;874;49964;9048;42442;3926;7180;46506;22099;8156;50617;3819;25590;8505;19483;36013;4627;47013;3202;13266;1318;35167;9260;5561;20868;67854;14592;42457;4962;40406;15568;13391;10672;1404;2739;19482;7314;26404;3274;36314;12;6608;8568;3600;1;48657;7944;40340;56076;5588;50797;7042;14965;2498;20329;2065;430;15115;15902;19556;12941;9693;45166;6019;9266;57467
27614;52236;4863;4933;19565;40;52;14712;20268;1167;7716;10607;311;4289;443;26586;51554;0;6099;2445;20694;872;10785;30084;4264;16052;24865;5124;263;22259;47;13263;588;7;20119;306;24246;10919;9337;205;30490;6386;29809;1353;2947;22396;6213;6562;43888;1320;16668;5585;10964;33828;2877;19954;1017;6119;389;19453;8469;2851;14371;44181;12657;28571;3406;29092;7297;7056;7809;324;2690;14920;5530;17551;1381;24616;12;3353;7804;1196;1;48229;4589;28697;32506;5285;46161;2961;11362;2532;20183;1226;2;6545;7648;11156;6151;5393;25878;2761;5105;51573
23772;33366;787;4590;17932;57;365;13368;14701;1137;4930;7877;425;3097;601;18700;31696;97;6408;1432;18383;814;10635;24144;3618;14961;22953;4545;259;2611;36;9036;803;92;16921;206;22306;9553;8481;565;17446;5235;24405;1724;2858;21706;5097;5306;27363;1163;13911;5099;10095;25647;2370;15418;1146;5186;522;11620;6769;2502;12012;28942;9936;23388;2787;21297;6008;5036;7130;400;700;11382;3490;14176;1642;24984;5;3142;5978;1260;2;39908;3934;18150;31200;4013;32566;2737;8556;1577;14988;1255;111;5504;6853;11037;4680;4556;15126;2525;4731;36345
5251;22415;13331;3161;10206;38;2222;7434;12278;832;5702;18065;299;2343;516;15131;30610;310;4224;862;9895;696;6709;20574;5634;12047;16872;2478;166;3941;31;9559;696;225;14148;157;10906;6324;5538;902;14197;4000;42770;4133;2022;15458;5888;2718;24841;1045;11082;3676;8644;20277;3001;10666;744;3727;372;10322;5329;1913;9233;25325;8735;17093;2024;13999;4472;9136;4330;1303;690;11614;2382;15676;1999;10242;33;2129;5355;690;6;47356;2061;13120;28193;2659;27522;1855;8005;1068;13029;771;246;3982;4573;9357;4177;6921;26302;1536;2995;29463
3104;46426;1600;2948;7056;51;458;4328;10191;626;6675;12219;309;1391;644;7039;22557;146;2305;826;2052;529;3667;6236;1913;8486;8353;798;214;2250;42;7796;1044;156;5953;184;4500;2047;3397;808;13810;1335;20477;4755;3242;4947;7271;1106;19518;1222;7604;1964;5094;2421;2193;3744;1172;2673;343;11578;1281;4832;6438;30233;2750;11572;893;2676;4449;5723;1805;555;1210;4491;996;7574;3035;3562;16;2478;1760;1116;1;10697;1694;17632;4492;544;18091;3010;6376;265;4654;613;165;2505;3520;5471;8083;1000;15049;2641;2200;20525
2435;31464;2028;1413;5824;23;155;3317;6200;350;4277;8609;153;1406;385;7066;18291;2;1645;692;1753;363;3341;7508;2876;7751;9235;478;92;1785;20;4162;538;17;6274;90;4902;1576;2527;490;11907;1240;18543;3266;1581;5910;6989;902;16493;516;6770;1328;3161;2984;1442;3964;494;1751;171;7607;1488;1704;5342;19505;2703;11269;691;2318;3374;4033;1205;283;515;4633;804;6828;1659;3784;1;1168;1760;509;0;17741;1644;12371;5524;547;16589;1380;2844;155;5508;466;5;1917;3054;3598;3654;986;9795;829;1269;19498
2566;22080;2828;1902;5402;27;461;3007;4451;388;3620;6421;131;1422;308;6396;16428;17;1704;318;2734;365;3016;6538;3092;5902;7883;593;77;539;19;4066;439;26;7201;85;4649;1699;2762;250;9835;1143;14396;1564;1335;5857;4748;894;13839;592;5707;1184;3172;2666;1206;5191;379;1928;133;7032;1405;1389;4653;13083;2829;7646;724;3324;3054;3417;1592;471;340;4482;348;5590;1139;4622;2;1078;1803;363;0;18451;1791;8638;6078;522;13542;1274;2788;198;5121;352;34;2210;2701;3342;3005;1693;11749;984;1542;14816
6940;50966;12338;4455;12951;17;247;7785;13232;989;10250;19162;363;2677;620;16370;42283;3;4563;615;9184;1031;7671;14580;8011;15019;17431;2039;121;5220;29;12105;886;19;19925;143;11411;5462;7464;432;29899;2942;38139;3204;3453;14221;10957;3124;35888;1422;15976;2676;8951;8845;3455;13602;1076;5201;334;17338;4109;3810;12958;37113;7200;21233;2004;8347;7197;11284;4112;765;593;10064;1237;13007;2536;10219;1;3179;4489;1149;0;40509;3277;20300;16285;1965;35289;3348;8755;693;13837;781;30;5882;6680;9380;9036;3635;35934;2591;3945;40132
