216542;294844;138294;36974;48006;121439;239142;484785;1222206;131277;10284;816885;119258;169128;381771;292;422801;20346;49894;1697664;1350;312323;44664;56962;343479;8590;240350;435163;675643;16637;60732;171325;105787;282962;122489;663618;122360;56585;436268;45923;41;289973;467212;89996;254435;55695;771102;162024;309157;15822;173529;162436;300509;1310;312422;75603;88319;686529;352031;258392;251107;89093;18411
712;4812;1676;54;946;252;642;675;300;1504;24;285;684;156;2890;1;2813;182;951;220;1;930;87;3984;658;12;290;275;2302;115;150;192;146;3736;33;226;625;30;1216;62;0;161;1381;2620;5599;19;562;648;2515;107;227;199;2451;0;1481;112;3093;256;3907;86;2768;103;150
35697;100805;23180;2725;6753;8524;48578;66608;70066;22434;750;59725;21489;13903;74582;12;59352;2126;6846;90434;124;60413;4087;1927;61477;547;27074;43186;147656;693;8217;20713;10609;16446;9783;48569;20953;5387;65990;3811;1;26811;83518;14215;56375;1607;50195;24178;56037;644;12602;16728;55462;95;65472;3695;13621;43504;73330;19191;49084;12094;2017
32620;52237;10827;1182;2370;6948;36159;39505;50120;10898;457;47416;10436;9135;48045;12;42022;661;2406;69276;65;32561;1729;162;31894;303;19710;29727;127100;2;4293;23699;7432;7498;9109;46023;10404;5099;36403;2954;1;21209;55523;6744;37355;433;35921;15559;49074;2;5414;10826;47453;40;28041;2476;6449;27046;35692;16917;28368;9119;537
24709;33366;9303;1451;2413;4310;23753;37107;41067;9524;347;35491;8105;9055;32969;6;35650;850;2514;61209;50;18923;1837;571;25747;297;19444;22356;82840;167;3938;2810;6370;3367;6930;38763;7990;3610;36553;1785;1;15139;34269;6076;31472;992;26267;14949;36040;146;5097;9370;34179;61;22438;1943;5926;18541;31854;13873;27592;8412;713
20742;22417;7027;1342;1440;3356;21122;19293;63395;7230;250;22451;6885;5900;25846;35;10946;588;1580;56056;36;29631;1703;3494;19563;189;10890;22336;72086;498;2726;9000;4685;13613;4892;27677;6878;2376;25575;1081;4;15662;25911;4182;24168;1629;22583;9841;31401;477;8343;5784;29968;40;15113;1034;4145;38635;25682;11515;23355;4403;505
8611;46426;4895;2172;2116;1983;12808;4714;28186;4827;240;4589;8809;3364;18954;15;7767;637;2354;11770;50;20361;2226;764;18324;243;5201;12455;59793;245;2077;2470;2268;3679;1150;7722;9162;573;10530;986;1;7585;35825;6337;17256;1527;4883;5625;19939;263;12155;2751;19896;54;5604;1257;6436;23561;10292;3491;13907;1703;602
9584;31465;3329;1121;888;1966;10989;4312;29115;3304;114;4199;5394;2199;18433;1;5845;322;992;16797;28;13326;1269;331;14555;110;4473;10388;50706;5;1217;1942;1709;4804;1231;9072;5301;371;11391;776;0;6684;24332;2181;15448;1047;5078;3913;14506;9;6421;2314;14637;23;5939;866;2268;17399;10907;3474;11207;1172;283
8522;22080;3670;857;764;1877;11202;5916;22782;3520;114;5313;4480;1947;13122;3;5500;249;872;19064;26;14551;1084;912;11746;85;4570;8464;41140;58;1367;968;1755;5457;1171;8483;4704;410;11444;389;0;6156;17881;2418;12573;543;3759;4613;11926;48;3848;2060;12043;28;7532;739;2295;13650;11502;3501;9356;1461;228
22893;50966;10078;1857;2310;3681;29502;17134;53751;9579;218;13631;11827;4845;38692;1;15060;617;2426;43095;33;44919;2513;595;28499;135;12412;20443;107749;40;3611;8663;4909;17001;3861;20228;12009;1570;24237;801;0;16038;45762;6637;34885;955;12229;11045;33465;25;10574;5062;34082;18;19263;1376;6492;40712;30252;9689;24724;4285;641
