10164048.000000;1306326.000000;4020885.000000;7556766.000000
25687.000000;12013.000000;46379.000000;31568.000000
1319404.000000;293774.000000;689202.000000;1247292.000000
779223.000000;153046.000000;348079.000000;726937.000000
575779.000000;105999.000000;267140.000000;508860.000000
448618.000000;89472.000000;203368.000000;547291.000000
359623.000000;105377.000000;129072.000000;438897.000000
304096.000000;78207.000000;123140.000000;354108.000000
256872.000000;59942.000000;116683.000000;317400.000000
627935.000000;135938.000000;277730.000000;816309.000000
