293400.977516;2152706.201158;1680118.682290;1501845.664088;1821738.108927;1634016.305135;1487379.530680;933546.347209;1264159.728542;1926667.517034;1314610.937421
4808.000000;131.933928;806.314723;286.258461;1673.865168;7621.127442;22389.077045;12374.606221;4377.219401;7153.341523;1672.256089
100681.000000;87417.702641;108388.188455;67885.104114;223973.932378;282053.375549;282062.595167;97374.145345;200534.123960;381687.425404;120669.406987
52196.000000;65867.269293;90889.284433;44637.049072;159377.446359;178007.178214;176561.239822;56194.864507;106006.859371;298993.287521;80367.521408
33328.000000;61767.988397;68536.607855;40900.984275;111883.461958;145345.163645;152874.113492;24634.344159;96352.715631;196984.263406;70289.357185
22218.000000;68197.746095;48827.665432;72774.808689;103414.938478;82695.599380;116391.994568;38519.071878;64806.731489;190194.800228;53168.643762
46393.000000;11460.151032;10913.055087;34689.541144;70589.831244;65398.381144;84538.104333;15272.691479;24729.719858;130364.556391;42116.968287
31464.000000;21198.757436;9442.183210;30943.374996;54995.157754;56014.483038;57235.791796;13915.582968;23739.596970;109499.471232;25033.600600
22072.000000;22005.103883;9589.369531;24375.255867;41857.595461;47885.225032;51712.856129;14944.654434;26044.248280;96212.325158;22099.366223
50964.000000;52332.895221;27837.982385;63676.030930;102303.574177;117655.053934;142490.451007;43072.981398;67322.175479;266642.718605;60304.136863
