697904.000000;1306210.000000;6236437.000000;1247034.000000;4879655.000000;8082139.000000;598646.000000
18525.000000;12012.000000;29187.000000;3525.000000;27830.000000;17988.000000;6580.000000
68342.000000;293757.000000;1092522.000000;177242.000000;776577.000000;1040619.000000;100613.000000
46288.000000;153046.000000;646477.000000;98312.000000;405583.000000;611719.000000;45860.000000
15388.000000;105999.000000;437271.000000;83491.000000;333355.000000;447595.000000;34679.000000
31617.000000;89471.000000;487504.000000;58626.000000;228804.000000;363623.000000;29104.000000
15295.000000;105377.000000;389925.000000;43622.000000;137633.000000;301007.000000;40110.000000
16187.000000;78200.000000;321916.000000;35081.000000;133368.000000;252783.000000;22016.000000
15767.000000;59941.000000;285638.000000;32012.000000;126110.000000;210814.000000;20615.000000
38849.000000;135935.000000;740705.000000;76094.000000;300272.000000;513125.000000;52932.000000
