662552;294871;35813;473;5119;54200;51347;122834;188532;223905;94428;295039;669774;522289;1083605;228497;2933048;8356;175033;255074;638695;591894;395920;425398;161798;507374;928550;185109;636536;904793;1084951;1644383
3822;4812;282;1;13;571;468;162;2582;356;61;5008;3691;395;889;2473;545;11;2539;119;3717;5144;9580;3468;146;635;942;275;5372;2939;1270;1006
97460;100806;1479;32;425;5706;5229;8769;29536;22306;8198;24325;124019;50856;106521;34908;153246;546;27364;25781;121071;82483;86759;83951;7846;67691;90793;18852;126635;203916;120891;114327
64287;52240;3;17;226;1775;1721;6657;13270;14455;7389;25888;104913;40489;61026;20306;118224;287;11941;20868;99742;33862;57356;47760;3198;53194;64767;13473;64234;139467;76211;89852
49079;33366;337;14;167;2154;2059;4399;12254;12630;5458;3625;73760;32950;38375;18968;102009;292;11213;17432;70000;24160;47765;43368;4093;36202;62294;11744;58561;90480;66905;66784
23438;22419;1402;50;129;1585;1454;2638;8808;7372;3572;19305;67326;26346;68851;12716;116501;189;7919;11513;63166;21827;36805;34001;6341;34053;41317;8844;45096;76132;35715;54380
21800;46426;545;23;162;1995;1797;2644;11887;3974;1033;4187;43798;10683;47255;10595;40036;253;10971;3855;42063;9481;25452;24884;8513;21219;16901;4372;19814;77815;9027;13006
17928;31465;14;5;83;960;923;2019;5724;3459;707;3371;35754;9877;31934;5504;47405;105;5005;3177;34372;10516;21559;20335;5001;17790;17018;3357;19462;57743;8155;12755
14978;22080;169;7;67;815;727;1278;5259;3210;718;3204;30704;9816;28634;6711;43510;99;4672;3591;29378;12747;17608;16454;2805;15456;16425;3396;19756;42548;10999;10977
39164;50966;100;1;114;2029;1904;2287;14108;7492;2481;15366;83892;25791;85588;16057;98525;134;12738;10772;80591;31434;48955;42397;6147;40962;38254;9277;50915;115355;29700;31106
