135100;294808;399312;223672;31413;36602;67795;53441;29318;250430;134908;44149;83193;36998;66184;2461;69873;131789;126;20962;12428;28811;19127;150119;232182;208388;4745;27604;53978;115570;56663;360316;63219;173744;162610;58809;129029;64071;65830;58620;145876;46496;108806;111772;55202;157948;28465;71166;80242;90281;24192;85650;57283;126594;84622;8255;94829;612;142498;122067;18847;53997;149;143275;62345;19352;145864;101761;296063;81696;585;37;167440;138131;422713;252699;111148;74952;71915;47911;256567;24665;174982;71145;157885;519006;669492;175281;151818;9091;16583;17316;38360;116110;105560;302203;2182;98781;40433;36149;282243;49771;70895;35366;15548;139561;116986;27886;9112;119900;109521;8097;132446;122370;211409;322913;520792;135667;61629;21404;12534;7613;7265;175375;583170;77127;86650;32157;1159174;78264;47253;60074;174276
346;4812;65;523;225;25;967;30;32;1161;843;408;215;152;47;6;1741;113;1;30;13;55;374;540;78;26;16;1272;241;698;272;104;1727;81;1144;51;175;159;716;2669;414;133;283;2230;25;88;29;169;319;245;3;80;61;24;379;90;560;0;126;413;775;869;0;952;42;34;1379;1186;683;23;0;0;1639;1033;84;277;476;234;2288;66;1438;339;466;215;265;99;100;339;1521;21;230;512;3448;720;1540;134;3;1201;731;8;98;34;156;553;28;45;1875;30;16;114;93;83;599;375;177;1163;165;748;37;678;9;52;10;392;177;275;775;322;63;153;601;138;66
26092;100803;20655;33748;4899;4775;11623;2020;1951;45463;26914;7016;5572;5348;8269;188;2823;13330;7;1583;841;2300;2659;31071;21101;8972;219;836;7067;21806;7199;21809;14511;13507;35369;6808;8941;8954;12102;8557;25660;7086;20771;24124;2032;8935;1497;9326;12980;18323;510;9881;5062;8555;13615;940;27412;47;14268;26949;1751;9019;5;10197;5078;2060;30886;22709;68566;6215;60;1;31956;26610;28878;37994;33144;11339;15154;4007;50087;3361;30296;4709;23703;30877;28767;34516;29270;688;2444;544;1738;26686;21468;27650;160;21929;5343;3348;17595;3711;8676;6132;1492;9820;19409;2642;434;12438;7382;982;28696;21693;21466;28951;35547;30977;3705;3372;760;329;445;36324;42091;13699;14019;5304;43186;14595;7167;8331;12463
20053;52235;16318;26114;1980;3772;8872;1987;960;28583;19834;3954;4368;2893;6446;112;1332;11345;10;1145;262;973;798;15776;5468;5060;0;17;3790;9635;4593;14509;9633;10337;18387;5248;10260;4283;6151;4265;14159;3888;11261;12693;634;3219;814;5480;6291;11135;107;7380;2846;8283;7789;258;18237;21;8798;21755;502;4323;2;1527;4508;927;22118;14497;57429;5822;14;1;13531;19805;22473;24533;23278;5698;10251;3252;48183;1714;28681;3419;16232;28221;20500;16996;21726;449;832;26;377;10335;12994;18115;73;12122;2137;3500;10684;2565;9122;2974;599;7969;16096;1750;0;9647;4864;231;17200;11518;20665;17523;26936;25390;2786;1357;273;2;253;24803;23958;12846;11736;2085;41554;16667;3058;4156;9902
12222;33366;14261;13988;1817;3435;6695;527;1109;17225;15780;3577;3368;2640;5671;88;970;10365;1;810;426;1154;917;16291;4391;4124;42;257;3222;8570;3382;11198;7742;8362;17402;4352;1217;2988;6116;4074;8219;3689;7337;10660;1011;2947;882;5790;5691;8444;359;6616;2732;6620;8220;365;11649;34;7807;14553;586;4227;5;1102;3659;880;17906;12812;34413;4365;16;1;11137;14777;18758;18379;17191;5326;8434;1819;34697;1479;18446;1866;16810;21566;18822;13764;19180;312;877;175;467;8358;12740;15874;71;10750;1971;2181;7221;2186;6982;2612;550;5978;11609;1364;93;9612;4399;321;16135;7031;17861;15038;19240;18071;2115;1271;434;86;262;16168;22461;9217;8472;1962;35220;1979;2667;2740;7574
14000;22415;12789;9743;1383;1904;5948;356;1224;16162;12573;2018;3378;1778;3367;52;1513;5748;15;484;333;1236;604;10285;5684;6480;97;1643;2740;6224;1830;20993;6395;8266;13531;2117;13718;3303;4661;2915;14281;2287;6365;8689;2193;7556;538;3806;3854;6329;535;4336;2686;5107;5335;226;9532;27;5678;11614;452;3121;19;4668;2632;673;12406;9998;33291;3193;23;4;9652;8297;18201;20278;8433;3346;6496;1023;28318;1032;16958;1336;8842;17834;33273;7944;2231;229;491;740;2035;5029;11287;8185;50;9220;1290;1481;15594;2820;5902;1695;500;6775;9869;1058;302;5407;3317;213;10902;11463;8945;8124;13334;14854;1400;741;363;166;155;14465;20644;7742;7872;1250;38349;1249;1875;3156;5819
7084;46426;2877;15039;2334;539;4736;1125;2023;13106;6212;1434;1381;1378;1153;67;1189;2743;4;446;416;1981;930;3338;7031;810;80;349;5495;2702;1352;11158;4268;3033;6066;950;1013;4190;4930;2811;9372;1542;6924;4259;2369;8015;469;2278;2892;5339;469;2185;2275;1071;2996;211;8670;21;1838;8071;584;4108;12;1513;997;481;8866;7008;27606;702;25;1;3440;5823;5253;14144;12901;2456;4386;917;22202;2294;9942;407;3659;1943;13344;1917;728;211;805;230;638;2262;6434;1744;87;4367;1351;262;8182;1505;1849;2249;383;2423;7709;427;142;2246;1517;223;6385;7899;3273;7350;2269;9337;750;1627;365;129;192;14881;3293;3114;5768;2318;7834;1659;1657;4228;1768
5870;31464;3680;10154;1139;299;2172;507;1057;12823;6556;804;1499;788;815;53;1569;2140;0;488;212;1029;394;3720;6751;948;7;90;2185;2618;1416;8933;3250;2927;6711;751;785;2686;3080;1091;5238;985;4684;3569;1743;5085;314;1668;2329;4074;232;1769;1625;1250;2273;114;7087;11;1504;7531;207;1870;1;2417;807;286;8268;6742;21018;813;9;0;3929;5673;6920;10693;6503;1976;4092;597;20078;822;9862;424;3605;2509;14954;2032;839;80;353;24;508;2297;5542;1329;37;3738;703;224;5875;1195;2099;788;274;2459;4539;342;2;1913;1055;115;6886;4943;3480;5084;2089;8433;737;522;219;3;85;10261;3975;2818;2871;1000;13633;1395;905;2611;1549
6692;22080;4697;6804;957;363;2123;236;695;10187;4883;1064;1689;799;1068;45;1791;1922;0;186;216;778;301;3915;4501;1627;3;324;1902;2927;1613;7304;2952;2874;5756;744;1276;2138;2481;1169;6264;1156;4530;4159;811;2858;241;1638;2174;3514;126;1991;1288;1229;2432;84;5834;16;1531;5762;218;1634;1;2495;771;279;5319;5453;18367;729;11;0;4734;4940;6171;7310;5421;2000;3640;479;15428;726;8899;239;4151;2122;12196;2633;1023;95;262;122;846;3023;4211;2364;31;3714;738;242;5062;985;2289;1014;261;2376;3496;394;17;2063;950;86;5891;5113;3304;3657;2803;6675;633;545;176;20;69;6819;4199;3096;2883;900;14447;133;963;2182;1540
18979;50965;9866;15894;2388;1384;6487;347;1613;32782;14627;2449;3589;2446;3269;53;4289;5277;1;339;439;1609;832;8991;10481;3403;3;167;5226;7399;2960;20255;8397;7292;13814;2530;11796;5529;6637;3567;20035;3007;11378;12032;1494;8258;548;3928;5381;8924;215;5323;3754;3597;5874;232;15013;3;4059;15699;562;4409;0;7666;2135;802;14892;14150;47300;2415;11;0;11936;12012;12015;18403;13345;4550;10037;876;37574;1959;23286;874;8777;7499;28835;9205;2477;199;773;91;1120;7253;11508;6868;41;10347;2061;974;17068;2802;5735;2602;743;5916;10457;1024;5;5826;2313;228;12846;17035;8709;10930;7293;18802;1320;1396;347;18;115;19017;11793;7422;8452;2356;32607;302;2774;5355;4632
