5204628.000000;1306313.000000;6319481.000000;9407772.000000;809831.000000
26884.000000;12013.000000;34471.000000;20651.000000;21628.000000
809531.000000;293772.000000;1099220.000000;1258781.000000;88368.000000
425544.000000;153046.000000;651047.000000;724074.000000;53574.000000
348156.000000;105999.000000;459049.000000;523889.000000;20685.000000
240288.000000;89471.000000;463768.000000;459742.000000;35480.000000
143005.000000;105377.000000;373741.000000;391493.000000;19353.000000
137956.000000;78206.000000;299219.000000;324985.000000;19185.000000
129712.000000;59941.000000;272973.000000;269660.000000;18611.000000
308103.000000;135938.000000;710863.000000;657920.000000;45088.000000
