185634;294833;404685;1140825;55294;151340;17820;726265;211537;188295;32243;112560;19276;43757;278267;393934;192667;46168;76132;105457;125622;9231;305245;162482;247185;22010;767883;50597;354427;51;81005;283870;31565;387397;36736;371041;283070;167449;131626;46611;1106594;212763;407;210910;3548;159583;694916;384391;97395;328733;1321;416805;88261;49908;109520;200398;271318;106030;425753;102016;191209;611857;21774;47353;137653;219462;934734;333486
928;4812;609;237;73;179;144;258;2387;552;57;32;186;122;200;1401;2375;874;95;569;1510;23;3741;555;913;261;271;127;1121;0;3149;1359;42;2641;57;434;4301;2263;1298;14;215;5015;1;2712;4;117;424;2935;166;1054;1;1266;2682;24;337;116;159;679;1684;175;684;123;229;975;223;58;125;941
38772;100803;59943;76418;2698;10877;1967;55266;38517;29434;2555;11092;2068;5126;26660;66975;21164;6287;7285;17779;20523;697;61725;25315;53078;829;51363;6816;68789;1;12446;57401;2291;52592;2783;42144;14009;31627;22584;1299;57849;46850;29;40346;251;8400;43767;71516;6622;79591;119;65507;13775;4593;15686;17403;22573;18741;81044;12080;38375;44380;855;6665;14795;16723;36738;77456
17075;52236;34378;49698;1603;7002;517;41257;31455;27473;1005;9812;641;2610;18584;33562;23369;2183;5460;8617;9472;413;29030;15258;28573;5;33216;3555;56397;1;5711;24615;1575;36490;1224;33408;7002;24696;10942;345;44752;30001;16;23837;135;3230;38159;46392;5868;56752;62;45263;6346;4507;11090;13829;18136;8904;70427;7321;34204;32835;5;2359;9934;15088;32769;56412
10924;33366;32342;46199;1636;6589;690;31823;23892;20850;1267;7782;805;2282;13953;33496;3031;2287;4517;6718;8055;305;25127;15322;24516;216;22511;3286;36380;2;5192;19597;1201;31198;1470;32031;2837;19075;9799;821;37852;25510;10;23293;130;3610;27540;32162;2836;36003;49;27972;5891;3022;10441;11016;16163;7294;47160;6079;24003;27350;206;2390;7850;12214;26264;35197
14494;22415;17092;40485;1024;4553;493;19713;20333;17643;1159;4955;550;1811;15794;24658;9493;1455;3192;5708;6015;216;20731;9725;16417;782;45124;2154;37067;6;3521;13692;721;8307;1363;17963;15084;16037;7381;1305;51692;19553;45;20252;89;7237;20744;25655;1797;30996;33;19600;4040;2067;5843;10062;10065;5974;44648;5521;19452;24706;803;1440;4777;9018;33166;31304
16027;46426;3954;7651;855;2721;582;4406;13706;7071;1768;1262;588;1485;8030;9641;2775;2165;1426;8208;4231;221;8192;5246;15323;336;25808;1558;24040;1;5230;5064;679;5234;2200;7545;3551;10848;4760;1220;19788;14439;23;10745;129;9381;3210;18071;1810;31078;48;28134;5767;446;2575;4151;3575;7750;30901;5488;9619;9114;312;2069;2372;2341;9477;31619
8501;31464;3740;9464;599;1905;275;3762;8762;7987;918;1091;293;981;6403;10434;2085;906;1045;4581;2848;105;8632;4606;12743;12;19363;926;20628;0;1923;5368;578;3872;1133;7867;4579;6890;3389;770;22510;13169;5;8259;55;5757;3538;17926;1537;22954;27;19244;2040;341;1858;3796;3041;4665;27202;3099;9374;11298;16;882;2101;2495;12518;22347
8287;22080;5117;10685;467;1777;220;5115;7036;7217;737;1165;238;980;6338;10577;1467;799;1110;3962;3150;110;9762;4455;10745;91;15865;1058;20036;0;2106;6761;277;3952;878;7346;5312;5758;3461;409;18664;10720;8;6955;52;3037;2886;12487;1200;16778;25;13931;2405;354;2401;3546;3217;3769;23879;2947;8591;9339;88;763;2063;2554;12910;16323
27119;50965;15514;26399;1000;3681;623;12747;20656;19210;1509;4091;588;2717;16195;22020;8140;2210;2947;10036;8771;193;25654;11500;25588;53;47402;2816;52567;0;5570;17092;506;11081;1920;17903;17244;16747;9542;758;42105;30047;1;19466;58;7213;10124;38091;2324;45977;32;34638;6279;1314;5853;9862;9309;9900;62124;7922;22553;19636;67;2326;4714;7433;29095;44865
