303155.000000;1306135.000000;572452.000000;464024.000000;68.000000;369755.000000;43388.000000;1267235.000000;674492.000000;117051.000000;499584.000000;229434.000000;1367456.000000;128579.000000;26416.000000;1953267.000000;118634.000000;1304278.000000;130170.000000;493671.000000;1066310.000000;26309.000000;796769.000000;800947.000000;1020092.000000;962361.000000;1181286.000000;350786.000000;149304.000000;839398.000000;374548.000000;82277.000000;868.000000;589680.000000;1459038.000000;333128.000000;7977.000000;263968.000000;5284.000000;207795.000000;228363.000000;76429.000000;434818.000000;336333.000000;37574.000000;47139.000000
5202.000000;12012.000000;909.000000;1151.000000;0.000000;6662.000000;542.000000;369.000000;2768.000000;174.000000;7725.000000;4863.000000;2813.000000;1818.000000;628.000000;593.000000;542.000000;1985.000000;3093.000000;455.000000;7231.000000;701.000000;6331.000000;2148.000000;1215.000000;4251.000000;5271.000000;9840.000000;418.000000;4450.000000;2119.000000;61.000000;3.000000;774.000000;5009.000000;528.000000;27.000000;4850.000000;18.000000;478.000000;625.000000;170.000000;2601.000000;1648.000000;466.000000;110.000000
63697.000000;293747.000000;68692.000000;62806.000000;18.000000;36517.000000;6914.000000;83456.000000;150932.000000;15038.000000;111717.000000;24269.000000;206207.000000;22340.000000;2540.000000;134727.000000;22642.000000;140535.000000;24257.000000;53542.000000;130328.000000;2568.000000;193129.000000;142076.000000;157510.000000;153246.000000;249612.000000;80350.000000;17786.000000;152234.000000;66650.000000;6198.000000;190.000000;72009.000000;300510.000000;40476.000000;1092.000000;46390.000000;688.000000;28891.000000;22818.000000;9485.000000;78653.000000;60832.000000;5833.000000;5525.000000
29245.000000;153045.000000;38248.000000;34629.000000;1.000000;14497.000000;2024.000000;43016.000000;68737.000000;9580.000000;52229.000000;26616.000000;117124.000000;8595.000000;606.000000;95488.000000;10593.000000;83836.000000;9671.000000;20116.000000;79648.000000;591.000000;98880.000000;97793.000000;84595.000000;80911.000000;156983.000000;58015.000000;10386.000000;114057.000000;37300.000000;1919.000000;51.000000;44506.000000;152940.000000;24537.000000;451.000000;24782.000000;326.000000;17966.000000;14001.000000;3847.000000;46423.000000;33228.000000;1822.000000;3431.000000
23019.000000;105997.000000;31351.000000;29233.000000;2.000000;9834.000000;1772.000000;38175.000000;57721.000000;7570.000000;42633.000000;3426.000000;87694.000000;6848.000000;255.000000;78329.000000;8719.000000;61980.000000;7687.000000;13212.000000;57719.000000;259.000000;76189.000000;64967.000000;49170.000000;73597.000000;102961.000000;44299.000000;7109.000000;80743.000000;22637.000000;1953.000000;31.000000;31301.000000;102805.000000;21357.000000;273.000000;16617.000000;214.000000;13900.000000;9802.000000;2993.000000;28490.000000;29341.000000;1628.000000;1966.000000
17618.000000;89471.000000;27192.000000;20350.000000;12.000000;14636.000000;1433.000000;66771.000000;34808.000000;5214.000000;33270.000000;14032.000000;70132.000000;5220.000000;940.000000;56209.000000;5965.000000;40229.000000;5464.000000;28024.000000;40313.000000;921.000000;57327.000000;72371.000000;86981.000000;50639.000000;69654.000000;34346.000000;5586.000000;80111.000000;26511.000000;2784.000000;100.000000;31030.000000;88344.000000;14567.000000;274.000000;12565.000000;162.000000;11476.000000;8037.000000;3306.000000;32916.000000;18701.000000;1238.000000;1499.000000
13510.000000;105377.000000;18520.000000;13128.000000;2.000000;6737.000000;1984.000000;32480.000000;16307.000000;2462.000000;20226.000000;3634.000000;46972.000000;8953.000000;718.000000;33271.000000;6723.000000;20169.000000;8097.000000;31946.000000;38055.000000;762.000000;57264.000000;45798.000000;55967.000000;33197.000000;48956.000000;24225.000000;4067.000000;43780.000000;27979.000000;3873.000000;58.000000;23685.000000;130353.000000;8033.000000;333.000000;24403.000000;257.000000;7694.000000;6120.000000;6439.000000;29896.000000;17303.000000;1612.000000;1644.000000
10875.000000;78198.000000;15808.000000;11970.000000;2.000000;8608.000000;924.000000;31079.000000;19522.000000;1947.000000;19034.000000;4703.000000;45198.000000;4272.000000;435.000000;33358.000000;4804.000000;17734.000000;4232.000000;20625.000000;27995.000000;455.000000;50363.000000;44106.000000;49607.000000;32546.000000;41474.000000;21274.000000;4913.000000;46391.000000;18356.000000;2301.000000;22.000000;20378.000000;95191.000000;7150.000000;234.000000;11460.000000;152.000000;6251.000000;5546.000000;3209.000000;21184.000000;13373.000000;805.000000;1487.000000
10842.000000;59941.000000;14332.000000;10199.000000;0.000000;8161.000000;915.000000;25192.000000;20350.000000;1719.000000;18959.000000;5102.000000;38099.000000;4027.000000;467.000000;31618.000000;4497.000000;17843.000000;3965.000000;16321.000000;23196.000000;470.000000;41725.000000;42209.000000;50461.000000;29856.000000;33780.000000;17200.000000;3616.000000;36983.000000;18336.000000;1520.000000;43.000000;17603.000000;75064.000000;6467.000000;142.000000;10935.000000;129.000000;5862.000000;4485.000000;2559.000000;20827.000000;13068.000000;744.000000;1068.000000
28008.000000;135924.000000;33985.000000;26552.000000;8.000000;21383.000000;2411.000000;61121.000000;49574.000000;4587.000000;48316.000000;12252.000000;92473.000000;10555.000000;533.000000;76093.000000;10521.000000;44760.000000;10322.000000;42606.000000;62096.000000;552.000000;101554.000000;105352.000000;125583.000000;65891.000000;82758.000000;49115.000000;5622.000000;104218.000000;49446.000000;3493.000000;55.000000;41717.000000;182529.000000;16730.000000;283.000000;28220.000000;192.000000;14956.000000;8523.000000;6435.000000;57800.000000;29507.000000;1840.000000;1461.000000
