124396;294798;5818;16398;173875;53255;220;31936;63494;44864;919;140385;222380;124492;31096;123840;128207;224860;5046;48661;65432;6021;51637;515637;233181;50696;128139;65428;181931;70167;158354;23800;102999;72457;49592;211604;110442;50399;7179;67608;282082;15976;29904;46188;72460;40169;404102;483717;56787;245546;9434;262998;40938;434309;114184;122404;30913;4329;58401;41220;199612;104853;20472;166362;116427;73325;104837;22118;25208;538925;19284;53233;114313;45919;126055;109676;137022;13296;8526;47;180191;5892;104902;1287350;16349;84370;105222;264620;123981;66049;137503;75313;285942;74978;55335;25354;87468;16332;127165;90207;69820;1229;38141;101707;85483;33717;33347;72004;20154;632730;178732;178504;145013;75466;57108;167;86166;106918;19833;215880;34246;44715;153392;234971;72943;18178;27972;277396;7681;74924;55679;142435;150262;26972;57350;26585;164172;196461
400;4812;14;638;271;354;0;241;2567;45;0;1106;51;149;530;1173;861;85;7;111;281;18;29;168;85;1487;833;20;1133;243;373;24;1158;346;81;23;176;1693;83;19;1387;267;38;26;2353;165;65;122;161;1440;12;476;78;104;212;97;306;14;50;491;154;507;2;69;725;1048;64;33;25;101;273;247;871;171;928;81;357;20;12;0;547;8;241;54;36;1774;41;379;1029;460;623;450;84;35;49;829;625;596;24;1215;737;0;3580;150;110;30;127;197;27;155;434;2387;526;1100;515;1;103;380;373;858;18;87;87;544;1614;49;520;160;117;129;1397;443;300;616;233;6;782;63
28192;100800;300;606;23987;7233;13;5198;13354;2366;90;30094;12910;8911;4483;28555;24216;21207;234;3729;10471;266;1960;35544;13693;3625;25324;7043;32946;10708;35537;3196;22584;11647;4940;9151;16062;9471;869;4831;25584;2357;2840;1788;11993;5995;27218;28979;8414;47457;653;58243;5745;24905;15522;10530;5054;353;4612;6738;20414;17066;398;11923;28966;13709;5304;1790;1563;32002;2993;7153;24488;7116;27224;8684;25672;805;593;1;40028;389;17420;42193;1638;13705;7028;41710;26996;28115;9015;12562;16664;7445;3272;4041;15314;500;7718;20024;10889;88;1390;7730;11809;2803;5414;4327;1265;45490;33191;35379;27578;13475;10870;12;11340;19329;750;46088;3866;5947;14031;28531;16906;1952;3632;26884;897;14499;3380;27086;24460;3788;6914;2480;37741;15549
21334;52234;0;83;15382;3770;4;2203;8772;1531;40;23603;9855;10264;1697;22653;16215;5246;0;3070;4830;0;1952;25721;7449;1650;10653;5909;20348;5033;15903;1918;13555;6556;2053;5254;13531;4610;202;4595;14632;748;1979;578;6560;3253;20995;18903;3850;45156;224;47440;4061;17283;10507;7111;2109;202;3011;3651;20687;15764;78;9648;20999;7287;1796;1328;753;28720;1004;3944;18558;3729;14169;5947;23726;432;155;1;30327;211;9637;43047;668;11201;6230;28708;14022;15511;749;5510;10049;5969;2161;1762;7185;44;7460;12926;8760;38;212;5910;7436;1563;3066;3593;501;25943;28011;15656;18532;10264;6179;12;8629;13376;3;32945;3484;5402;10912;21175;10883;794;1308;17224;241;16550;1560;12750;23240;1788;4574;2719;18386;11446
16771;33366;66;192;16243;3386;8;1961;7095;1446;29;17695;8356;1203;1626;19453;12460;4049;42;1758;4537;54;468;18458;5248;1170;8739;4617;12004;4576;12972;1694;13007;7007;1717;4263;10173;3901;268;3447;13338;861;1499;957;6266;3026;17696;16888;2633;32515;354;27559;4248;14132;10623;5929;1969;144;2469;3277;16958;12071;285;8572;14517;7215;1859;862;928;22201;1090;3791;15459;3458;13155;6088;15252;425;285;2;19693;193;6449;36131;580;8028;4938;19652;12749;10317;530;4798;7424;4702;1957;1643;5963;152;6186;11322;6337;55;399;4420;6058;1555;2806;1910;695;25117;17356;12909;17799;7853;5812;3;7442;7715;217;21816;2987;4345;8610;12744;8941;793;1320;15398;330;1964;1195;7732;14608;1620;3256;1546;18500;8946
8262;22415;106;599;8829;2683;22;1396;5667;894;26;13580;7428;12517;1143;2806;10109;5431;222;830;3061;126;374;12602;11934;1274;5649;3165;8314;3039;7201;1072;10709;4308;2471;6490;5382;3067;175;2462;5235;554;1092;1727;4930;1990;17124;27031;3120;26496;277;29003;1997;23887;6271;4484;1437;111;3327;1936;8528;11009;436;5490;11320;5958;4852;498;949;18129;607;2709;10536;2374;10467;3916;14178;271;241;4;17647;134;5836;40857;541;6730;4617;19042;10862;6731;5539;3260;16386;2410;1334;923;4533;624;5104;8878;5999;37;2380;4927;4797;1510;1855;1415;699;23006;18245;11377;11009;6803;4436;19;4853;9701;930;19149;1790;3074;7642;9288;7406;588;781;7760;198;1113;1329;14956;13720;1110;1891;1074;12373;7641
9778;46426;100;247;3647;5654;17;2606;3688;597;36;8273;2032;982;1128;729;5826;7239;87;862;2599;100;1135;2192;6858;1066;2389;992;8679;2687;2011;572;6329;2576;3912;889;4396;2620;181;519;4236;1000;434;2036;3733;1418;4787;12635;4370;20990;237;22573;883;10611;3252;1475;2616;128;2130;1503;2760;3587;353;1771;8564;5098;5744;524;1420;1993;1041;3026;7147;1868;5004;2100;6534;277;202;1;14498;181;6236;8003;400;6434;1420;16953;5206;8676;1374;1978;9152;1019;844;2056;2388;245;1041;6184;5178;47;522;1452;3671;1146;1313;496;938;3443;11432;4123;5534;4993;2580;5;2230;7162;246;17161;374;1189;2839;12256;5044;498;949;1594;191;1637;991;9920;7655;2695;1234;166;3634;2923
5280;31464;1;66;3470;2235;4;1157;3509;522;18;7653;2443;772;582;1078;6149;6638;0;974;1993;5;423;1994;4874;1070;2480;869;7592;2189;2135;360;5961;1904;1976;1012;2882;1234;82;632;2631;409;321;1394;1684;873;6546;12680;2584;18842;148;16595;651;10194;2935;1192;1237;70;1514;732;3120;3984;170;1434;7603;3389;3696;527;778;2484;469;1909;6639;1104;4963;1330;6130;117;131;0;12201;70;3999;14784;280;3193;1428;11510;5254;6021;2211;1542;6819;819;552;619;1937;56;1253;5920;2216;20;340;1344;2697;935;650;475;548;4212;9845;4623;6535;2457;1839;0;1738;4911;19;14613;213;1142;2789;9125;4042;266;474;1265;92;1398;1196;5216;7501;923;1308;160;4508;2488
4603;22080;13;113;4242;1893;2;1071;3273;410;16;5328;2802;1202;578;1294;4474;4467;3;810;1891;7;203;2781;4014;1300;3243;994;6542;1898;2753;447;4600;2018;1392;1668;2313;1522;69;539;1926;314;352;666;1869;868;5893;9685;1984;14066;116;15234;753;8342;2827;1128;1024;57;1264;967;2817;3583;91;1513;5392;2649;1878;202;548;2090;338;1601;4531;1270;4529;1243;6576;118;131;0;8856;57;3830;16088;272;2459;1462;7907;4571;5437;2222;1693;5465;795;469;661;2258;94;1217;4816;2167;28;848;1628;2298;764;843;229;432;4531;10284;5577;5513;2424;1887;2;2152;5203;203;10643;261;1198;2691;6348;3535;284;433;2269;70;108;1328;5981;7088;798;1578;180;4534;2526
11910;50964;6;163;8907;5176;0;2719;9100;893;24;15617;5824;11485;1701;3005;13143;10844;0;1376;4379;3;327;7033;13606;2754;7991;3087;18626;4678;8897;1235;11918;4772;3494;3593;6252;4131;182;1762;5998;844;986;1286;5465;2585;11357;22611;5485;34859;245;39282;1882;21041;7588;2901;2531;92;3498;2442;7607;10667;148;4880;16057;7416;4713;350;1176;7776;968;4587;11811;3257;11371;3157;17671;286;277;0;24827;103;9881;36002;800;7303;3746;20168;11825;11790;7443;4614;16757;2841;923;1854;5848;141;3570;12838;6867;18;711;3717;6167;2115;2128;744;830;12643;26717;15183;11590;7202;4627;1;5457;14834;75;32353;1136;2884;6892;14233;10009;750;1212;6689;209;256;3285;20236;18347;2126;3000;686;10648;6021
