1756675;294902;682958;1269334;197205;543674;3392329;2856129;199069;712392;4027;227048;129132;367639;1722295;78639;506122;1070621
2604;4812;686;4842;139;850;1816;2164;269;14239;4;3546;1396;4804;8851;749;6936;4587
152677;100810;72628;214259;17684;46034;229672;284608;16745;146740;286;21717;15793;63665;328799;8452;45885;186273
115425;52239;55680;134275;14946;19987;173717;199069;12356;86460;157;21892;5908;33889;267452;2846;20872;91928
97411;33366;47451;111893;11797;16815;137168;137971;9367;76034;141;3301;6171;30175;186399;3284;11736;82417
51991;22419;32920;69759;7550;26644;119966;175628;6085;59659;144;8688;4378;22843;169190;2351;23449;57546
13136;46426;14042;49709;2461;32134;45287;115026;3910;41312;149;3416;6365;22830;108471;3083;7618;21091
11647;31465;11592;45353;1811;17552;44292;92967;2874;30565;68;2155;2944;12286;94260;1550;8171;21930
13751;22080;12540;38677;1796;12250;40956;74839;2420;27423;67;1696;2599;11626;81053;1227;9540;24258
35619;50966;33472;96452;5804;35932;99280;195038;5332;76546;71;7116;6572;31980;222901;3203;27290;61028
