474732;294849;140667;170956;78167;24657;355373;55503;68590;690539;266266;694108;113636;498107;224336;272901;66077;464292;1395;803231;72204;301738;350531;198334;390583;14957;129;182781;7478;333051;119790;267597;347115;22346;32610;522642;414262;368449;115848;1258225;697065;203653;130212;1922174;198605;386791;345128;111963;862224;73323
2992;4812;1041;345;45;267;1774;166;26;313;6371;2353;139;828;212;227;1076;1472;1;322;179;4443;2668;3043;290;19;0;559;20;2697;201;2778;4004;188;208;1578;3021;402;3358;356;483;50;857;253;2675;672;1044;151;359;1956
65034;100804;24871;19537;7153;2610;67868;5617;2240;55228;59414;147367;10793;72517;14632;26434;8568;73404;119;61553;9752;15793;63030;35027;37601;954;4;26462;605;58694;9083;53913;69529;2287;1385;104978;81370;46416;16222;90131;43524;17877;21549;82349;21225;66022;69405;7999;63822;9956
45531;52237;12009;12166;6584;792;28478;2305;732;49840;39430;130515;7961;41379;6144;19270;3195;39893;44;47097;5247;8672;55007;16838;29710;542;3;18350;340;50956;6281;31356;34564;584;1;68569;53510;38468;7710;60642;34408;15882;10250;67110;23292;34661;36616;6365;43707;3855
37938;33366;10204;12301;4827;1037;22981;2411;1398;43171;33180;85764;6704;39100;5826;17297;3260;39653;57;36495;4844;3347;39615;14559;23066;510;3;17052;231;37494;4989;30065;30344;829;311;42886;37727;25720;7098;53449;24952;12768;8479;55680;3063;28239;21360;4046;29469;3732
13273;22416;7956;7862;3154;658;16979;2123;2108;28422;25458;74607;5118;21235;10664;10123;2190;27922;76;22126;3206;15188;35157;11390;20887;320;15;10639;164;33337;2702;24867;24374;589;1203;34634;29738;24678;4838;45744;19804;8676;7149;76721;9858;21490;31668;2399;52811;2494
10783;46426;10125;4681;816;760;6147;3029;2178;9211;17860;56964;2283;5316;13837;4197;3549;11546;53;5046;2404;3954;21814;7417;8517;377;9;5501;203;19717;2031;14700;10904;678;489;45163;20670;14113;8531;11294;3353;2283;10344;25559;2830;19710;22567;2245;31390;2892
8039;31465;5574;3496;565;370;6606;1592;1435;10323;16005;50305;1846;5023;7841;3532;1501;12591;20;4325;1452;4985;16665;5124;7879;237;0;3795;104;14293;1714;12398;10348;331;12;30090;20352;12194;2806;12596;3667;2176;5623;32989;2096;15682;14873;1814;23517;1216
7001;22080;4977;3288;591;279;8329;1335;743;9787;13136;41608;1869;6516;4630;3460;1310;12387;30;5645;1621;5676;13961;5791;7904;141;0;4728;93;12424;1557;10299;11131;276;143;21474;14615;10967;2879;13333;2794;2268;4640;29130;1511;12861;16183;1181;18886;1330
18999;50965;13010;7873;2148;714;20552;3135;1464;23542;36144;108862;5174;18914;12423;10181;3447;26783;22;14328;4254;17787;38998;15654;20115;230;0;11497;157;34955;3283;27275;29647;718;86;56520;43265;28910;7842;30925;9867;7260;12309;65137;8122;30968;50235;2079;54035;3792
