121829;294798;74955;31285;441;138031;217373;176836;22591;46653;79636;42459;29940;41453;156418;433780;5346;611096;145710;60648;32425;43483;93172;30278;184792;395974;5692;5058;13636;52355;487999;248521;57238;1657;1214099;56937;137184;16291;151892;34204;28693;98274;93677;12356;6602;345;39280;59186;132642;80338;5724;76014;9125;19139;164553;6764;49633;88726;118839;28668;133676;136158;71235;220184;85405;142873;46608;86619;100410;117;74743;129901;88169;37317;31477;72403;71366;83754;29606;15643;26252;27140;148536;118505;122340;165417;334505;220611;151926;145329;50314;55513;2177;103066;121051;14480;8157;111193;46769;210978;133353;30418;23512;157859;18117;99654;72540;70533;204075;11483;67348;162381;46786;39272;65736;77244;67148;19568;87685;561299;411257;203697;141040;102350;21873;36757;82596;51374;192217;15920;33720;24902;53638;313584;62073;20581;143183;335312;262843;32;158837;72191;163728;118766;17042
640;4812;30;250;1;376;81;328;24;31;562;11;204;37;1445;77;50;111;42;1772;169;285;558;21;834;165;14;7;4;1327;159;494;2797;1;59;1028;483;597;418;77;9;35;67;213;11;0;51;2427;365;358;16;263;20;341;419;83;23;486;798;49;40;662;112;111;336;17;113;798;49;0;192;203;23;3469;126;149;900;364;125;570;469;41;1662;85;324;110;88;946;200;1065;75;48;5;79;116;26;13;1048;1322;14;583;523;831;948;0;870;120;38;437;8;109;654;348;205;1702;304;200;189;184;105;84;116;2115;1;28;38;1414;253;127;38;279;917;167;1073;123;33;1264;59;489;0;894;928;1623;58;305
26640;100800;8609;5193;40;24714;19150;34350;2979;1990;13778;4400;4466;3325;33070;28397;621;27397;9642;10227;5024;5470;19537;2536;35726;29579;255;243;351;2717;32981;56049;12480;112;44123;11038;22294;486;25980;3125;2617;6183;7190;1632;428;32;5287;9092;25441;12877;282;12576;678;737;35529;818;1902;35939;26397;2257;8551;9388;9127;20619;15460;6387;5125;14446;8628;5;5213;17604;6008;1377;4913;11919;12071;20236;4831;530;3515;2682;34110;8196;20250;13598;15916;46325;25019;27228;5651;3186;167;12239;12784;1380;631;24998;3504;11805;27898;3962;3618;34182;408;18076;14560;7276;30627;678;8542;31918;7297;4746;14465;12474;13003;3110;6567;33296;28700;19460;27819;4361;1631;1922;16103;6697;19564;1635;5880;3979;8964;27354;7273;1589;25358;17534;49723;1;35916;13638;28694;6225;2594
15860;52234;7113;2165;15;12606;13287;28636;1885;1924;6737;4015;2358;2089;22575;16167;155;19214;8940;7600;2595;2997;15849;1508;23799;18791;0;0;92;1339;22988;46830;7767;53;43693;5609;21309;42;16489;2678;2807;5424;5098;532;233;10;3942;4659;23930;7296;0;6415;417;3;17066;186;629;22510;10019;913;6548;735;6200;11979;9719;2728;2213;11875;7467;4;3430;14672;5890;197;2524;6681;9589;10191;2740;55;1245;1927;19189;5453;17099;8332;9254;42817;17069;18788;3468;2153;96;9739;8771;520;185;15956;1601;7865;15922;1523;1563;29451;70;7880;16645;5866;23216;248;9381;21859;4268;5428;9422;5905;6134;1162;5364;31305;21938;18454;12136;4989;1163;1150;9625;4272;5086;629;2546;1665;5012;17000;3921;766;23199;13113;31875;1;17627;7251;21136;2067;809
14572;33366;5619;1918;10;7404;10667;16474;1582;546;5803;3273;2249;1758;17778;16488;241;17799;7106;5567;2389;2569;12958;1461;14926;15654;45;45;241;981;16571;28098;6128;67;36683;5217;15218;139;9711;1263;1626;4414;4098;582;218;14;4021;4167;15555;7674;71;5900;317;209;14361;249;961;14818;8438;1139;5487;563;5699;9950;9141;3078;1789;8448;6362;3;1894;13791;4541;392;2383;3854;7148;6325;2455;163;1239;1390;17621;5177;12440;5982;7049;29824;17866;12555;3395;1951;77;8863;8453;481;293;14252;1108;6522;15814;1466;1428;21335;312;6537;1972;4744;12581;400;7018;14139;3908;649;7795;5617;4284;1140;3810;23633;17308;14830;9821;595;855;1175;9359;3061;3318;677;2161;1668;4486;14495;3244;850;16757;10523;23537;0;17226;7344;18549;2136;920
10310;22415;4014;1452;23;14022;10925;17260;1059;222;4262;2022;1469;2375;13603;15257;141;32300;6100;4764;1624;2035;9071;1350;13402;13067;123;215;321;1230;11571;27893;5146;41;40327;4143;14191;671;14953;537;1134;4397;3140;360;141;35;1906;3154;13642;4768;101;3793;222;881;8827;154;1949;8249;4849;1280;4386;4556;3868;5501;6590;4215;2389;7881;4163;11;1454;6520;3326;2370;1446;4511;6238;5373;1608;561;811;1002;14966;3796;5690;10002;17488;24850;7856;7548;2211;1319;48;5813;4794;451;246;11006;1090;6240;9712;900;878;17106;450;5208;1203;2364;9415;333;5555;12452;2253;2288;6347;3644;3517;740;4388;19406;17620;8240;8780;11481;494;711;8265;1712;4985;503;1536;906;3134;8504;3109;748;13361;15249;24339;4;12126;5910;2164;5508;580
5895;46426;1344;2343;22;9200;4925;12230;521;957;2502;395;1394;1561;8293;2162;121;14127;1510;4515;1365;5365;5525;751;11000;3192;97;82;312;966;1965;20889;3406;65;8037;3487;5953;242;9031;710;222;1271;1120;496;185;13;697;2789;6438;2814;100;2701;217;245;2351;170;2141;15456;2332;2005;1181;1339;2551;1028;3826;313;4190;5556;1802;9;390;3356;678;492;1188;4849;4912;6696;1138;230;864;436;6618;1724;6135;5647;9636;17776;2199;6252;1392;776;61;2509;2221;332;214;7456;1045;2207;4576;1012;2098;10426;352;2526;1599;972;13869;311;1863;9659;1515;562;4421;2317;4192;1438;1379;2174;5856;2251;3361;701;476;549;5590;1236;7455;358;2739;1943;2418;7803;3011;1300;12272;5262;20012;1;3821;4747;864;6270;1039
6361;31464;1145;1216;4;4792;4465;9944;325;401;1923;292;719;1118;8086;2949;72;15076;1711;1913;747;1812;5353;701;10440;3363;2;0;152;1205;1775;16632;2823;28;13908;1806;6464;55;6064;734;176;1324;1038;208;77;6;530;1187;6421;2091;1;2298;89;16;2319;69;1585;7376;2436;1033;978;2224;1809;809;3617;248;2087;3154;1445;0;433;3257;811;324;641;3330;2299;4685;544;52;431;293;6513;1115;3917;4055;6956;16799;2242;5740;862;541;51;2163;1891;243;148;7196;1009;3215;5165;501;659;9952;206;2281;1349;784;9540;176;2294;8978;806;415;3556;1786;3168;628;1377;2752;7463;2383;3609;466;499;404;4332;1322;5742;219;1335;557;1744;5475;1918;636;8819;5762;14673;0;4874;2994;909;4104;423
5222;22080;1396;1035;9;5735;3753;9113;411;184;2006;314;747;883;5523;3624;55;11620;1728;1669;753;1548;3761;622;7660;3349;5;3;92;1324;2580;15419;2805;26;15097;1787;5531;98;6800;514;206;1367;892;155;66;9;561;1422;6353;2154;15;2250;98;194;2972;62;719;6134;3097;786;965;2235;1968;1509;3133;807;1355;3037;1218;0;244;2948;742;809;790;2917;2260;4368;726;89;403;317;5691;1034;3222;3788;5388;13916;3071;5064;855;464;40;2323;2012;225;137;5841;1220;3201;4880;479;640;7533;117;2672;136;813;6554;158;2367;7042;1102;306;3249;1889;2763;501;1736;2350;6213;2493;4596;997;193;315;3229;1534;4026;218;1200;600;1710;3857;1612;521;5933;5556;9287;0;4620;2523;1095;2146;312
12111;50964;3890;2519;10;18960;8887;23627;1145;297;5433;1355;2039;2507;16092;8789;145;28726;4626;5533;2295;4314;9383;1693;23587;8785;2;0;191;3254;6436;38855;8293;30;33940;5126;16036;140;20882;828;727;3466;2286;455;104;0;1721;3817;16938;5268;9;5128;207;70;9461;157;1387;14451;7361;1592;3221;7241;5104;5099;7630;1706;3756;8766;3512;0;994;7299;2357;660;1954;7477;6786;10966;1794;128;1239;886;15948;2559;8208;10266;18163;35343;7117;13164;2144;920;46;6203;5032;653;302;14943;2619;6052;9882;1410;1664;20791;192;6989;622;2874;15394;301;5638;21974;2693;1642;9361;4672;6447;1265;4216;8285;12820;6336;11962;9850;344;717;9081;2769;10974;586;3032;1751;4427;10880;5084;1119;15292;13129;26169;0;11237;7069;2594;5596;885
