185433;294827;31583;118040;1028786;301029;1535707;76885;182642;80838;41;207961;354442;41856;13414;498199;132906;262361;118829;8822;391616;42220;231977;44608;120997;184612;168314;41238;429515;631309;394742;157968;75660;275387;195764;282741;401056;8504;282;54925;188811;64398;99592;221870;41293;256808;81857;164071;16374;47668;11786;323652;692702;490631;18214;610798;208687;613981;74106;28981;144820;105975;153809;150162;1314;36500;1190;90319;107762;53054;148274;156657;321883;375867;298288
575;4812;37;281;253;1404;191;660;105;502;0;41;973;719;48;478;88;39;903;22;2638;55;976;2829;550;790;342;611;1289;183;470;516;1997;401;2710;165;2823;12;1;63;156;93;179;4121;11;3083;2130;4178;141;23;49;1532;255;150;170;119;2373;278;332;1422;2552;36;182;185;0;69;1;1288;1463;126;760;399;987;1149;1750
29433;100804;2138;16319;57034;63571;84064;13160;15609;12821;1;15323;81841;5901;599;32014;6939;12382;20879;666;51208;3555;46755;1496;23288;44569;20452;5872;72443;42883;51707;30603;12042;40757;40473;23832;77391;544;12;5193;16976;3283;6042;44779;1099;13610;12398;36024;1786;4319;541;58254;47895;44042;1921;31231;36795;44441;9961;1099;31457;10538;15429;11021;95;2970;111;13841;16882;7110;27452;21908;59128;87041;64675
27557;52236;947;11528;40747;27060;63704;6464;12984;6082;1;13989;64565;2017;0;20139;2529;7223;9957;390;34055;2815;32767;106;11418;23352;23415;2089;48426;44546;30562;27036;5676;29933;24017;19192;56681;300;12;3492;10825;2008;5243;20708;272;6584;5800;23502;462;4253;2;47097;36168;28224;590;24376;31403;25038;5647;165;22421;9257;10319;7020;40;1248;54;6134;7508;3730;14367;14155;43684;69666;31119
20775;33366;1200;10995;35245;21412;56788;5308;10402;4902;1;11397;40837;2110;129;14995;3008;6032;8101;279;28475;1620;29454;419;10055;17940;2796;2190;28791;33995;28271;19302;5187;29132;22840;16022;40251;296;6;2817;8452;1993;2809;17387;677;2592;5403;19631;621;2809;120;31094;26478;23823;762;19486;23339;16152;5479;339;18529;7411;8502;6593;60;1422;42;5082;6352;3470;13543;14173;27138;43502;30491
17598;22415;1115;6157;54433;14708;51950;4399;9178;4115;4;8418;36632;1245;413;13507;6027;8074;7124;203;8613;952;16088;2570;6882;12928;8402;1339;22834;24712;14752;15642;3540;13841;20484;11402;31520;185;35;2142;10510;1175;2139;14546;1114;13603;3619;15312;438;1926;300;32907;17355;21050;531;25897;19523;35456;3630;1304;14321;4693;5367;4560;40;1369;34;3831;4713;2334;9854;8466;33052;38320;21343
6965;46426;1689;2774;23813;5398;10579;6722;3580;6266;1;2161;30658;1850;216;3269;7757;1841;12352;215;6149;906;10235;585;5447;13599;2440;2080;32431;4792;3271;7293;4925;5611;9793;3952;21651;242;15;920;6432;993;1688;6883;1006;3119;5563;10984;499;446;188;22216;3062;10841;538;9321;14348;21886;2981;437;9614;1165;2424;2777;53;1795;45;2865;3568;1664;6190;4632;20394;36742;8238
7952;31464;885;1994;24585;5763;14750;3369;3262;3228;0;2260;24289;816;3;3205;4876;2185;5822;97;4622;749;9969;204;4783;10663;1971;909;21957;5200;2850;6958;1739;5625;8637;3593;21517;108;1;725;4711;750;1567;6278;605;4298;1962;9808;242;347;2;17090;2801;11595;280;10231;9325;15273;1763;156;7342;995;2060;1897;23;1046;26;1817;2281;986;5206;3892;16089;27621;9532
7193;22080;669;2531;19144;7246;16995;2727;3142;2850;0;2331;19935;667;40;2260;2523;2639;4748;107;4386;350;8431;619;4149;9107;1017;775;16049;4829;4244;6856;2047;6220;6894;3562;14582;84;2;778;4491;656;1342;7611;327;4894;2210;8228;191;339;27;15773;3752;8978;224;9613;6962;12652;1726;297;6131;1065;1889;1786;28;864;24;2083;2583;1134;4841;3892;16812;21365;9200
19222;50966;1436;6316;45585;18477;38727;7312;8688;7203;0;6890;52250;1997;16;7576;5806;5529;14380;184;12299;701;19119;463;10130;22219;8240;2129;40864;13707;13192;17506;5393;14115;19413;9783;45091;138;1;2068;11676;1213;2834;20137;591;16317;5720;22848;532;1264;20;43390;9748;20674;540;22256;20079;40546;4889;384;16880;3777;4644;3760;18;1904;30;5547;7009;3027;11868;10256;46384;57039;21670
