326921;294838;809259;1532021;22766;64531;155;365372;212794;459800;790935;200820;1673187;24356;392904;509616;189870;1599;152889;131883;64581;766665;83945;24446;441379;103263;278350;88272;380294;333999;273409;241528;76133;205445;342403;656420;449394;426585;124705;8449;60151;98799;527243;691205;373430;23040;179612;186244;182511;17552;144222
4541;4812;541;266;288;130;0;1450;70;3395;516;2671;300;269;2883;1379;239;1;425;193;377;320;50;227;1617;154;6450;96;206;4119;2747;269;1201;242;216;2108;1542;2792;3478;21;21;2203;519;281;1107;292;1648;2651;1476;22;473
20936;100804;50837;95407;863;5444;7;73552;18199;80782;73820;21336;80484;2546;77869;83965;13887;129;21099;9290;7828;53129;8009;2700;86323;6533;62066;8195;32962;67085;55338;26016;10557;23180;33853;150668;76245;58231;17671;668;1788;14996;64210;53038;74168;896;35323;32475;35105;1124;21091
10197;52237;40418;66628;6;2604;5;66054;16036;73930;49254;23485;62413;786;49456;60131;5681;50;13606;7234;3116;33589;7265;745;40366;4559;41726;5828;25902;32334;31764;17555;4042;15766;27648;121515;39451;40854;8484;395;495;6383;37019;47682;41886;9;21097;15587;20817;663;14345
4997;33366;29220;59868;227;2691;3;44848;12836;54922;42578;3053;51590;1008;34326;37759;5309;67;13413;4831;3180;22843;5381;981;33645;3586;35020;4755;20446;27898;30542;15826;4022;13201;19339;78220;39441;34867;7810;275;1115;5949;33009;40836;24530;222;16016;13515;15401;615;13499
15139;22415;22808;53255;810;2798;15;37914;8996;46522;22821;10970;75079;677;26730;26564;8943;79;8977;3063;2396;44449;3513;686;22845;1951;26766;3657;17529;22890;25156;9102;2668;11128;19510;68675;27783;10589;5395;192;1774;4114;24810;26633;35341;848;14015;10488;13735;381;7616
4263;46426;3858;10712;344;4371;10;21828;2416;27586;5237;2858;28760;747;19453;34599;12710;61;4950;2471;3800;26985;886;853;7463;1739;18819;1643;6824;9909;14954;4220;3523;6913;9686;62151;11374;7184;9063;222;1714;4183;17770;7848;24178;328;13575;6951;13895;423;3730
5365;31465;4167;14056;16;2255;0;20261;2384;23397;4466;2145;33303;377;18930;23410;6833;23;3828;2010;1831;19710;617;392;7878;1344;16541;1324;6293;9746;12640;3523;1558;5094;8473;49526;12134;5467;2965;109;1136;1964;15884;7931;16998;23;7848;4814;8114;313;2601
6123;22080;3438;15888;92;1654;0;18028;2439;18023;6654;1592;27962;288;13867;17388;4151;32;3682;1529;1576;16023;652;329;9523;1184;13482;1388;5823;10842;10517;3322;1486;5260;7862;38682;12153;5170;3146;106;617;2174;12888;7723;18276;102;7209;5326;7532;160;3355
18726;50965;11362;36655;57;4023;0;48212;7590;49540;17493;8904;63262;732;40381;43800;11463;27;9636;2667;3882;47254;2438;923;25582;2374;37078;3727;15344;28607;27631;9328;3883;13932;20556;102571;25708;14384;8574;186;1088;6076;31226;19491;54257;76;19793;14499;20461;268;7910
