335382;294819;529093;49;27781;31311;105351;243088;93151;96297;191081;211030;15151;340436;200660;74286;252002;1513094;8455;273864;478492;105393;9179;84122;75076;101977;58027;247894;166805;230962;252874;40239;14626;11245;20313;111613;44351;158698;355683;970367;54828;124690;57187;315;208137;614483;40361;151655;232819;621538;1358;333629;194094;41820;383569;135098;89285;345994;203258;242896;421693;12509;210488;278958;251252;65438;1374;184055;26440;207319;114122;169092;137082;81272;118464;808563;80159;64485;40108;38107;211291;36588
2423;4812;139;0;37;81;126;136;1116;255;2046;679;176;2468;662;117;1376;136;12;1552;1905;1290;24;551;470;75;1988;708;1447;3143;32;86;132;53;21;226;2769;133;1357;207;19;27;113;1;664;246;46;2071;224;157;0;436;506;10;1021;134;287;192;2330;417;163;29;69;265;541;53;1;4137;1120;793;385;304;1126;65;3288;238;1795;2032;54;558;1739;672
61923;100804;41102;1;2064;3406;11465;23729;13973;13569;33839;43518;1695;45949;39138;4563;52370;56423;540;56823;96206;16881;707;14776;11985;5643;10004;47839;35846;12559;12016;5261;1632;480;1389;7461;1478;12277;91619;68596;5226;9307;5084;17;47145;45228;2124;34201;23633;40058;96;47816;29488;1088;51797;11289;11849;22006;36713;15326;33960;633;15914;35029;45460;8574;122;37994;860;42758;16844;20455;25204;6758;25243;55217;10781;10973;3481;5865;44640;4922
40686;52236;30580;1;883;1705;7333;18778;5994;9307;28719;38527;497;30997;21507;4251;20878;54271;300;26909;89950;7733;419;7135;5485;2327;4622;32260;18669;5474;6772;2694;418;1;535;5645;120;8071;60685;42076;5100;8727;2300;14;24537;31756;1258;22127;18339;42364;40;26918;28266;270;35702;7724;6987;10285;30809;10036;23828;0;14281;23201;30137;6734;66;18887;93;30470;10119;23419;13973;5481;17951;39754;5463;4995;2754;2062;24724;1697
27845;33366;25744;2;1086;1453;6043;13067;5172;8281;21427;26163;645;26217;12692;1325;16757;44082;296;25744;61604;6362;308;5806;4639;2484;4194;18926;17362;1982;5587;2495;563;104;705;4241;455;8135;37816;39006;3492;6737;2343;7;18720;24131;1281;19177;17737;31309;61;24299;20234;678;21621;6354;7057;7176;22963;7144;19402;128;11578;14876;30013;6207;50;15781;252;28087;10493;2790;12842;4464;14894;30145;5126;4637;1540;2129;22959;1802
22640;22415;22108;6;907;1186;5750;13059;3651;5436;18261;21107;441;6822;19248;1251;11899;52746;180;18767;52704;4833;224;4471;3744;4779;2774;24374;14351;12201;7573;1659;394;280;611;3345;2567;5424;32571;35713;2322;5110;2629;36;14161;15224;786;15107;10075;21500;45;13586;17812;1130;16516;4300;4782;17391;19510;5433;19851;388;8613;18807;14269;3156;34;12930;1151;14181;5977;8329;9632;3469;11091;50471;3806;3090;926;1234;18756;1122
15966;46426;8731;1;1474;899;4143;6704;2723;2668;11866;11337;455;4359;13984;1387;4484;13458;235;6507;39297;3274;221;5379;5360;6367;3600;16010;8238;2757;1751;1181;454;196;769;1802;589;2940;40479;5714;456;1189;5023;17;14515;2968;639;10025;4456;3908;58;2953;7427;1018;22588;1866;3196;13551;13322;1524;8846;196;2302;12421;5726;1076;51;6149;383;9316;3386;2412;9452;1264;7799;25671;6920;4139;885;2033;9471;1684
15692;31464;10440;0;766;621;2843;5691;1814;1582;7583;11258;216;3331;8690;723;4814;20158;107;7811;36429;2266;104;3219;3059;3806;1478;11836;7358;4192;1979;694;213;9;462;1728;185;1870;26565;7069;359;1339;2344;1;11268;2477;452;9532;3762;4292;24;2682;8282;633;16123;1748;2175;8762;8772;1374;8086;4;2438;8733;6088;715;29;5326;106;8782;2748;1960;6595;1092;6842;22296;2267;1445;742;875;9081;706
11141;22080;8399;0;630;632;2728;5137;2013;2199;6329;9856;180;3467;9204;651;6249;20594;82;7598;30243;2550;108;2933;2542;1999;1630;12622;6251;4725;2528;798;178;17;352;1792;607;1650;18211;7648;386;1262;1662;3;9271;3802;356;7742;3928;3807;29;3837;7586;334;11590;1515;2064;6357;7028;781;6872;44;2464;8614;6795;861;26;6510;228;7788;2901;983;5379;1109;5732;17398;2125;1731;335;730;7679;601
34820;50966;19039;0;1328;1731;7436;13265;5519;5641;18471;25987;438;9513;29168;1548;15032;45386;134;18847;75762;6769;194;7481;6393;4791;4371;35754;16170;15695;5233;2068;485;11;762;3359;426;4183;51636;19894;1523;4026;3879;1;22850;9575;792;20427;10848;11771;21;12614;20637;577;27848;3492;6145;20945;20436;3100;16165;19;7034;21955;14662;2738;33;17559;280;17670;6841;8227;14414;2913;15618;46444;6006;4776;681;2090;19580;1684
