306056;294802;126625;38;208621;579;706;413789;78718;16646;64408;69589;59538;9990;153391;94413;61139;58615;551879;25406;96413;116354;11181;129473;23648;112263;18173;69431;33338;170091;47252;25081;175601;75586;34312;84497;145444;60276;113363;29334;73073;59809;207678;53579;8416;163298;86914;158902;156444;111559;7004;122791;87961;15946;200475;34020;509252;214907;38799;146922;17397;195300;217671;123236;42177;41339;6677;25728;9039;75314;10997;191648;130573;2442;132104;163233;47547;34983;88782;59638;124753;8064;114208;22809;2774;94248;34446;44375;73565;188947;126;30088;129627;29104;186042;1276212;41618;90109;33602;318090;57734;120842;74898;80669;154;20569;160146;26038;73041;114353;30760;155085;53935;562036;42234;86477;31314;374822;167709;194297;605839;137805;103540;442225;49964;99872;28784;93575;100131;302507;12767;86660;18082;166896;251990
1139;4812;143;0;140;0;0;96;156;39;20;179;843;14;546;440;55;115;117;25;68;245;29;359;3;76;40;14;21;203;162;592;373;281;1963;66;510;144;21;292;221;367;23;22;73;981;194;524;308;1640;84;83;2029;234;130;36;167;1219;167;81;348;88;143;544;199;2651;33;1287;21;313;9;50;1533;6;1014;75;126;633;42;1441;1746;76;321;24;3;2190;1295;115;1156;798;1;176;628;39;403;79;55;159;251;966;38;1164;545;455;0;596;1155;36;2241;179;7;62;176;96;469;1739;28;45;1631;1803;150;497;1253;99;30;668;191;431;322;582;12;973;455;1064;141
58513;100800;15169;1;19915;60;57;19748;14607;1655;4809;12205;10775;615;35527;13594;3679;7474;29325;3321;7111;15672;533;8873;498;9095;1910;7406;4048;26763;7187;2927;36915;12557;1031;9685;32278;7788;6784;3721;4623;9491;9004;2015;362;37556;16423;51730;23666;25189;824;8399;4115;2282;21412;2368;35066;43030;6285;7714;2484;16421;21108;34276;6843;6156;287;807;678;11406;679;11494;6506;189;27926;12181;6814;4625;6686;12714;20478;978;21059;1269;195;20237;5645;3122;12974;36442;7;4464;31401;2822;35353;46933;4216;7421;5272;27859;5943;26456;12354;13805;6;3129;32021;2535;15282;17229;2915;12302;5226;33130;7410;13329;1512;25129;32139;31407;43440;25314;23055;26165;2023;18970;4291;17846;15631;52394;809;25628;2806;30532;25952
55296;52235;11578;1;16552;16;23;12938;16679;663;4564;6356;5190;359;18487;8043;2495;4508;20454;2001;4630;16420;0;10164;104;6289;789;6088;3462;18390;3849;1014;30464;6021;59;7994;24785;4708;6693;2029;3561;5083;5026;624;4;17787;8288;38603;22316;13621;216;5658;1646;773;5620;1228;25111;31435;3534;2760;763;10974;21577;24039;2938;2515;1;53;434;6027;247;8792;1646;110;16028;9923;4755;1808;6189;8763;17901;228;19557;460;101;10699;2581;2343;9535;33060;8;2498;11679;1954;18442;45973;2416;6024;2266;17803;4546;18570;5616;6129;2;1299;24451;2092;11200;10799;3078;10134;3777;29593;3538;7668;893;16742;11472;22852;24057;17462;15050;17676;2028;16331;1706;9262;9030;32225;261;16325;1195;18928;14717
37711;33366;11368;1;10597;16;35;10116;1974;587;3400;4027;5087;358;17566;5474;2192;4512;17573;1761;3817;11717;124;1216;343;5141;762;4808;3154;18966;3544;965;19151;5366;281;7311;15862;4163;5471;1712;1889;5624;4224;977;92;17689;4632;20960;12575;11957;305;5531;1222;836;3968;1312;17821;20607;3302;2569;880;7135;17373;18754;2311;1983;65;262;306;4834;389;7123;1334;89;14482;9012;4652;1732;4969;6896;12759;319;13223;761;96;9071;2293;1605;7410;22602;2;2351;9243;1443;10274;38459;2211;4165;1959;14525;3585;15570;4742;5401;5;1268;19179;1029;9057;9315;1903;7997;2298;23092;3422;8024;954;14665;9306;19862;23246;17063;13159;15867;453;11543;1607;8465;8951;23618;441;13391;1147;11674;12559
33260;22415;6731;4;7674;23;28;22496;1263;543;2420;4001;4042;220;10926;9080;1472;2959;30047;1137;5414;10370;367;13932;522;3892;591;3394;1776;8492;2522;684;18136;3533;2074;4062;13529;3161;4475;1284;1335;3310;6228;2156;187;12709;6056;19497;6729;9857;187;3831;2182;479;5530;1531;12153;16998;2217;6800;572;11640;8907;9084;2260;1697;134;1388;226;3810;325;7032;3625;50;12716;5619;2341;1113;3984;5717;10560;215;11593;863;66;7527;1320;733;6589;20174;15;1508;4762;1065;18352;40469;2021;5121;1522;9750;1889;10639;3360;3639;19;755;14836;565;6900;6374;1298;6719;1307;19396;2436;7093;594;14608;9628;2605;21691;9804;10492;22823;435;10007;1107;5742;5602;23988;345;10180;581;7799;6566
24742;46426;3405;1;4596;24;23;12345;1674;424;519;4569;4718;236;2686;6711;892;1680;13134;630;2736;3821;164;974;465;1302;452;1130;441;2708;1857;741;12472;3000;430;1527;11546;3408;842;3519;457;2161;905;2297;137;4710;6031;22171;9260;4629;166;1834;1318;783;7878;2426;2085;12786;1560;7473;937;5472;2748;11252;4961;1595;107;366;214;4856;300;2158;1601;68;5796;1929;994;1191;1312;3926;8968;220;5004;1080;104;4029;1510;807;5215;12486;4;1216;2420;425;10639;7932;1441;1420;2553;9620;877;7926;1951;2124;13;1838;7904;627;4674;5013;233;2066;895;2145;2310;5172;474;4840;2936;1145;3174;4656;6915;9481;1109;6178;2080;3791;3124;19679;434;7589;1388;7460;1332
23080;31464;2871;0;3496;9;15;9784;1393;283;616;3269;2557;142;2851;3325;620;1215;13369;388;2143;4405;4;792;227;1042;271;988;248;2784;1131;375;10254;2585;134;1353;9444;1812;1018;1132;445;1652;962;1684;4;5709;3941;13580;5269;4240;93;1132;1818;346;6317;1307;1886;12405;744;4764;388;4466;3016;6723;2211;848;9;64;81;2933;177;2408;2407;53;6349;1467;688;597;1248;2402;5545;113;4744;657;43;3015;665;971;2385;11404;0;652;2445;327;6556;13895;1126;1383;1312;7219;673;7251;1535;1683;1;596;8253;540;4297;3636;181;2124;996;2692;1220;2720;346;6741;3427;1057;3986;5673;6816;10188;425;4343;926;3337;2863;15188;221;7363;426;6502;1077
20277;22080;2606;0;2998;11;17;7349;134;280;529;2855;2045;90;3356;3071;578;1174;10487;483;2033;4327;24;1385;122;1019;260;1175;286;3688;1288;328;9067;2291;440;1582;7272;1874;1001;1027;221;1834;1584;777;21;5365;3685;11240;3388;4468;69;1005;1904;253;4420;834;2714;8453;1013;2592;287;4194;2750;5832;1646;1053;11;253;97;2435;149;2644;2625;45;4936;1602;875;604;1281;2246;3899;91;5106;490;41;3412;848;833;2372;9767;0;706;3199;358;8402;15628;990;1721;1109;5034;610;4714;1672;1857;1;542;5827;224;3773;3532;207;2044;1162;2264;1227;2353;252;5902;4331;1282;4369;5096;5586;8065;241;4146;830;3079;2596;10952;214;5514;410;5758;1846
48807;50964;6965;0;7339;11;9;22231;312;807;1788;7050;5594;149;9523;11245;1043;2981;25840;1350;5197;11256;15;11863;207;2491;714;3393;1174;8267;3373;1047;23419;5400;292;4463;20184;4786;3041;2727;706;3722;3687;1464;25;12299;10760;28756;9238;12850;199;2561;4899;736;11331;1980;6871;27647;2543;7296;827;13113;7617;13995;4483;2800;6;208;204;6964;297;5739;7685;53;12113;5155;2293;1755;3283;6655;11274;234;13142;862;47;10113;2062;1319;7242;26017;1;1898;7985;980;26647;34631;2771;4570;2664;12844;2037;12847;4440;4993;0;1447;17547;436;10161;8863;813;5334;2294;8274;3283;7309;609;10947;10566;3155;11830;10163;14305;18258;373;11223;2092;7436;6675;30218;434;13408;1174;15924;6299
