1623057;294879;3399590;123263;39915;521304;1022927;362640;707411;2711345;84002;741703;365964;425533;82484;129043;1188132;403664;2502;1780832
2331;4812;1810;1348;412;736;7154;494;13697;2157;113;891;5873;471;775;86;4934;6538;2;8660
163896;100809;267503;14940;1607;40820;172611;38277;145167;200201;6455;87617;66034;47303;8930;10924;203456;28326;197;347654
108592;52240;195553;5525;9;17444;78442;29082;86368;149268;4854;63935;35435;35556;3030;9606;127406;29413;87;277253
96165;33366;141007;5803;378;14663;66088;24384;75554;119269;3038;49529;31263;30939;3487;7266;106832;4617;93;189156
53211;22419;176801;4109;1636;25309;50819;19222;59378;93546;1755;40834;23893;19496;2485;4768;64888;21116;105;175420
14363;46426;104594;6011;596;30713;20132;9157;41937;33539;1936;22838;23170;8222;3294;1476;44795;5825;98;117344
12998;31465;89890;2782;18;16608;21095;7714;30810;30636;1444;18650;12445;6370;1674;1083;42076;5662;40;100022
15983;22080;72108;2433;212;11286;23907;7567;27242;27275;756;17878;11863;7146;1340;1064;36053;5575;44;86986
39450;50966;182833;6180;105;33192;60193;20224;75827;69253;1420;46170;32933;19563;3448;3476;88806;21334;42;239187
