173689;294817;75559;16082;106951;124508;569118;22885;25566;119479;54279;81899;266748;1646;298227;212393;73595;26244;257691;27544;33664;188997;407334;65659;320140;242591;59052;67532;12595;70403;343421;9949;52;750014;29167;152739;15989;233;69469;183504;133039;150073;43504;102179;134088;98969;298083;160358;56436;633960;33899;124904;316335;4624;747696;277827;15463;309486;116076;99659;247998;103749;210730;490453;53158;139383;323578;168046;333217;202549;217100;520;169080;1234829;226780;262535;237517;73314;149248;349311;51970;973251;28857;54935
564;4812;182;155;102;1582;151;23;59;1689;3683;255;1231;2;759;1994;104;33;1015;71;6;826;1277;31;264;161;2341;69;116;1266;323;24;0;269;39;142;105;1;385;942;2729;2131;56;69;35;609;380;1718;311;215;614;628;846;6;141;2258;103;968;3541;182;194;498;69;103;1617;159;198;456;2434;101;1733;0;182;100;3037;805;3093;498;325;1247;1048;258;529;17
35036;100804;10247;1701;13319;22804;37227;1461;2993;22446;1762;10478;54154;139;55548;40573;4514;1738;54930;2926;818;42821;41312;8488;23033;21509;8989;5796;1408;10241;42268;757;1;55734;2173;11817;668;17;10454;44115;22424;34002;2351;4985;9623;15460;19179;29002;8014;48200;4883;22597;60327;323;42490;52046;631;75930;24882;6850;23108;19580;15580;38788;8604;12667;22741;24696;62061;17325;46078;38;20462;42769;44759;50748;13138;10995;20557;79030;7128;71332;4012;5113
31624;52235;5957;518;10002;17443;39981;584;1403;17072;134;6029;23487;78;38761;31707;4276;670;27432;1393;185;30358;25194;6782;13951;17891;3997;4591;340;4508;24414;463;1;39514;1554;7537;2;13;4720;23649;13338;21589;1363;1862;9027;7813;12424;13091;3569;35442;1625;11554;42971;169;31694;48087;0;56217;17269;5473;14013;9118;14070;22094;3880;8594;10200;23629;42237;14065;25569;14;23429;41195;21118;35900;5814;6320;13309;65526;2861;44799;1313;5004
21680;33366;5302;679;8574;13410;30027;815;1349;13312;530;6005;18819;57;23136;27825;1294;939;28257;1228;531;27103;19066;5966;14158;15506;3610;3646;479;3782;21479;342;2;29050;1120;7469;158;7;4024;18950;13740;18780;1398;2317;7058;6434;9198;11050;3092;27279;1715;10789;25292;149;27685;35170;143;36284;14190;3665;9890;7985;11247;19280;3482;7167;6842;17260;29434;10565;23254;31;2781;33567;17799;21651;2330;6684;13172;42578;2743;39879;1405;3391
17825;22415;3860;472;5852;11658;21095;715;933;11263;3380;4109;13187;32;29963;5676;1270;891;17329;1015;849;13523;12819;3230;12979;9368;2327;2744;333;2820;11897;242;6;48188;663;4996;482;24;3335;13634;11731;14730;877;4565;5275;5471;6995;8831;2832;16943;1007;7498;19156;106;33838;28977;463;30689;10779;2525;14972;5653;8756;18196;2185;4527;16553;15237;23797;10188;19384;42;8555;40674;14925;25979;12419;3754;7562;36057;1855;36024;917;2312
8708;46426;2918;468;2632;8294;3947;1029;711;7935;715;3106;4797;56;18526;2048;1361;1215;5924;740;752;9779;13100;1002;4158;3823;4089;1073;362;2443;2452;234;2;26191;631;2836;238;7;5548;13272;7264;9986;687;5723;1228;10416;1191;4530;4854;3739;1607;5018;26252;167;11985;21199;256;29034;7554;1656;9177;5165;2421;9736;3670;2085;13183;5855;16204;4278;9156;26;2396;9606;6202;17481;2862;2290;4047;32047;1938;6787;1502;458
8579;31464;1754;233;1917;4438;4463;541;402;4377;303;1986;5080;44;14160;2507;665;692;6943;534;459;8659;9772;645;3642;3078;1407;879;175;1328;2093;97;0;21280;580;1822;4;0;2841;10887;4432;9409;509;3724;1391;4573;1292;3799;2450;3293;710;4144;16628;70;13895;17260;9;22155;6599;1516;6531;4113;2552;11118;1163;1878;8278;6673;15998;3908;9721;8;1899;15018;6315;13303;4297;1770;3607;26726;972;8071;612;363
8043;22080;1981;192;2372;4064;3961;435;448;4074;808;1917;6457;29;15508;2803;618;522;7192;543;232;7637;7454;782;4348;3208;1516;873;150;1536;3256;115;0;16517;252;1664;49;2;2377;9174;3843;7674;392;1877;1324;3658;981;4445;1905;4569;567;3935;11679;59;12082;12340;47;16765;5701;1424;6156;3618;2553;8451;1386;1672;6177;6307;11167;3719;7730;10;937;16110;7267;13771;4765;2029;3483;20690;1004;8433;511;396
21211;50966;5220;459;6321;12116;11329;907;1122;11941;518;5526;16585;42;43394;6430;1507;1079;16173;1489;416;17460;19524;2750;9642;9204;3934;2294;397;4165;10968;210;0;44841;456;3916;39;3;6019;22185;11577;20461;858;4029;4131;11021;3801;11632;4761;11331;1628;9698;31103;82;26627;32612;25;44770;15570;2445;16263;8791;7055;18133;3722;3876;20854;17124;35094;9678;19891;1;8340;35698;19313;38128;15843;4036;9352;55506;2874;21207;1380;1523
