293398.893295;2346859.956787;2870227.610077;1420246.103466;2277441.712209;2314003.423301;1524158.707039;1173310.620878;1790542.972948
4808.000000;144.259511;4455.754382;1182.011563;1122.554086;10425.273808;21852.866878;13364.501396;5938.778376
100681.000000;96204.493636;274013.025084;106548.794806;213705.633270;475256.407338;274560.198655;138315.064503;273442.382708
52196.000000;72372.226614;218806.905336;74186.469110;139142.343017;349508.028148;169059.791243;76505.571247;157320.665285
33328.000000;67485.662548;164076.004146;65274.543281;104491.400465;234618.201303;146925.184772;39868.157085;146829.846400
22218.000000;75244.540208;101185.805676;56423.915207;137949.667543;215916.427734;110650.101388;50954.562674;90666.979571
46393.000000;13507.030015;59223.458932;37950.762567;80334.657339;155477.079228;85825.057025;19743.871420;38011.083475
31464.000000;24259.395085;45473.664870;24399.830938;64795.994314;132346.139607;55200.596768;18632.667883;36909.710536
22072.000000;24680.074797;38455.350110;20531.289948;50277.476757;113852.037416;50991.329415;20547.667755;37390.773802
50964.000000;58335.294909;99310.823431;55133.717078;128383.258710;313482.921251;139470.575445;58016.174570;91505.234605
