41350;294806;170713;67737;522441;146272;193;72507;12482;22093;190792;591868;713080;59862;185886;99855;152838;48032;36970;23461;201201;60672;141477;122574;155673;70844;58958;92994;110449;118258;72206;5217;113854;31053;48127;57358;112666;163974;24663;29018;203817;156515;45501;3580;11036;243869;27584;168392;238740;61504;80753;1322395;169611;217106;89720;15692;135742;384482;7520;296412;69940;62311;7784;220873;38;80639;52306;38711;15416;327127;828;39182;345553;185695;65698;401550;154324;213583;175716;92868;129032;27227;136470;331997;8474;132221;180286;101602;54248;57049;31920;725;67305;232118;92601;724860;220765;114737;77656;71398;90860;12375;33687;111263;416820;19597;217674;24407;29969;110684;147077;112958;215541
116;4812;406;1801;176;991;1;58;46;413;2417;107;155;376;353;273;1384;58;325;53;615;214;475;1005;495;120;1173;1483;116;277;24;15;299;990;149;279;1653;320;456;4;90;117;904;5;17;125;9;1578;2046;60;178;85;1486;1380;332;32;58;84;43;188;203;321;57;150;0;44;41;346;23;914;0;46;1492;576;4282;115;381;1448;489;1612;465;24;32;803;97;273;431;161;35;286;1820;0;204;127;1328;177;2142;62;1895;1028;326;101;1951;822;64;25;309;28;856;49;1006;493;34
5477;100803;29076;15647;38105;32283;8;9498;579;3088;11254;35364;38530;7817;41517;14499;29038;4056;5968;2738;43905;8703;28562;29650;26965;7383;8387;17192;14090;7696;6950;426;15805;5178;3081;8775;25474;26654;3449;649;15400;14923;5774;252;802;15691;2621;35777;35945;3891;14654;49685;29972;41852;14990;1499;10136;22037;329;28494;10147;8342;343;22914;1;3404;4423;6183;1019;31830;83;3697;71465;40671;10213;23067;31179;45256;32931;17411;8909;1660;9718;63717;1015;19591;32454;7576;2267;9236;1026;54;9413;21464;19620;52111;44044;7576;13569;12413;13903;1316;1053;18692;27944;1071;28176;1544;4408;8315;30397;45130;9723
3076;52236;25590;10055;28048;22733;7;7463;0;1012;1904;35100;26310;4097;31588;8940;13342;3318;2392;1285;21394;5016;25764;16419;22305;3927;3555;9634;10430;5013;6252;247;16144;2178;2114;5296;16043;18994;1084;145;12139;9405;2339;134;239;7247;2778;25061;25886;2777;16707;48398;27715;25942;7028;579;8674;16282;1;17587;4640;5110;3;6136;1;1050;2884;2572;615;20930;31;2581;67014;23243;4339;15584;25478;24936;23955;9862;10206;805;9196;40246;246;13528;18098;5803;2203;5041;92;24;4236;17107;14255;30528;21455;4891;9282;9349;6947;409;67;15577;20235;591;24001;590;1994;7468;12035;29052;5209
2662;33366;15912;8061;20685;16566;3;6730;134;1095;1354;26212;23800;3607;18291;9005;11405;1832;2282;1223;18974;4946;18027;13916;13982;3425;2845;9685;8820;2964;4887;168;12224;2143;1703;4951;14159;18379;1216;445;9779;8158;2087;119;376;5332;1655;20233;22319;2370;1981;40427;20047;15609;6394;530;7280;13098;75;15135;3347;4090;85;4432;1;1554;2483;2410;569;15725;23;2052;46937;24393;3492;11393;16129;22806;14525;9625;1224;985;7243;28366;334;13048;10515;4303;543;4653;326;39;3135;11869;11960;28218;18558;4823;7245;7062;6604;543;288;10895;17596;593;22547;848;1825;5866;9774;15528;4382
2029;22415;8089;6705;13391;13302;27;3476;418;598;6197;19787;39871;2902;18902;5262;9213;1076;1497;855;11622;3356;13889;10108;15712;3394;2183;8197;6176;2357;3169;126;10358;1195;845;3047;11076;10174;774;683;9741;5797;1418;82;309;12614;1140;15486;3623;1469;1328;43732;16294;11017;4245;482;4742;16812;163;7797;3550;2165;159;5960;4;3403;2899;1778;345;11311;30;1485;38043;12159;2935;22590;14484;18186;17468;8244;13367;1055;5416;27776;211;8021;17781;4700;480;2905;1781;33;3540;9183;8614;26193;15308;3517;6367;6145;4176;378;1926;10509;17130;394;11334;816;1168;5153;6319;13167;6405
1702;46426;10734;4574;2532;8517;13;1223;176;1003;2229;2628;17907;6775;13736;2799;4112;939;2429;642;3207;2142;7187;9411;9335;3449;1913;5200;2945;648;709;160;3516;2320;906;1818;7652;6314;1233;611;3530;1990;1504;133;350;10682;182;9067;1760;793;1709;9120;12705;11387;3479;368;1439;5984;126;1580;5292;1650;125;8360;1;3960;1665;2883;343;12008;31;600;28100;4321;2374;10962;10907;8708;10336;5473;1041;1559;1200;24701;238;4548;10580;1504;1139;2197;448;23;5370;5305;6015;4326;5581;1732;5817;5260;2782;334;452;7454;5296;376;4558;1092;2746;1642;2717;19704;970
1095;31464;6043;3438;2307;7736;0;859;4;448;3508;3059;18363;2470;10441;2275;3922;665;1103;359;3240;1380;7530;8047;8156;2104;1095;3180;2433;611;607;80;4239;705;1081;925;7353;5207;498;347;3345;1599;771;57;193;6960;165;8822;1544;728;1400;15212;9639;9578;2916;258;1177;6465;9;1225;3119;1647;3;6948;0;2759;1251;1425;312;9026;12;473;27228;4875;1423;8744;9156;9712;7671;3229;895;869;1400;18884;108;4017;7201;1447;448;1245;106;14;3074;3857;5755;5150;6285;1069;2481;2333;2207;183;151;4221;7234;202;5127;651;897;1643;2908;10942;1025
1051;22080;4156;3182;3228;5725;1;1065;28;319;3696;2605;13794;2103;10175;2331;4410;438;1019;403;3920;1360;6116;6536;7777;1735;1308;2968;2789;377;605;68;4071;784;1023;1332;6010;5030;414;188;3385;1610;816;45;196;4703;194;5964;1794;624;145;16637;6624;8202;2606;248;1146;6286;12;2221;2540;1847;20;4806;0;1316;1111;1193;128;6380;15;492;21372;5359;1779;7413;7401;7840;8898;2909;1463;590;1333;13190;85;3751;8006;1751;283;1546;368;17;2219;3441;4629;5470;6947;863;2238;2331;2235;137;437;4318;6279;172;4913;480;858;1668;3723;8828;1732
3044;50964;11580;9116;8080;16972;0;3380;25;982;10830;9320;33748;5761;26277;6037;11593;823;2605;1028;11984;3447;16037;15586;21264;5385;3450;8428;7231;1359;2379;117;10718;2232;1800;3260;16053;12389;1110;310;8373;4165;2276;61;403;14351;710;17476;4711;1382;385;36980;17522;23358;6399;707;3879;14203;8;6941;6353;3382;23;12203;0;2612;3068;3022;238;15401;16;1375;55642;11514;4529;23115;19784;18666;25185;8350;12003;1288;4054;37637;234;9105;25234;3763;487;3857;324;6;6112;8540;12235;14467;18645;2209;7427;6878;5358;333;370;12222;12133;414;11586;970;2189;4384;9076;21773;3817
