52756;294802;222641;96365;151129;39;55130;109145;132838;62974;230633;130892;7813;809;293319;172355;17343;171797;169309;49072;34140;10687;187381;27074;31818;19938;456421;51998;132543;170;78525;6806;18047;103478;33389;58200;266516;19198;101241;92932;100941;101616;32012;413168;130014;545783;27953;151854;376647;50223;35310;119808;220099;47773;18796;513028;26770;129419;189301;16418;44690;21241;257821;42356;8515;175952;85185;51339;90783;3373;145252;11028;34400;79634;95650;29492;168789;11644;92779;78851;91108;53974;25440;69290;34079;138375;512274;137214;171;198918;49493;65935;78357;281827;89698;12387;1296474;66550;180077;80231;77457;202275;5430;143365;39259;111561;117094;191474;68774;165065;107832;50666;105254;307324;1048;96143;73521;34173;22223;37870;88375;86177;654612;209546;286946;82730;106466;148288
183;4812;3;1390;25;0;123;288;437;3104;557;356;78;0;475;348;19;787;490;188;34;90;880;1087;45;50;84;49;87;1;1109;30;369;502;600;233;1348;315;40;840;100;327;684;103;558;110;36;1530;101;53;2128;56;73;377;19;117;1352;726;443;33;34;6;1334;158;84;1824;363;29;813;5;929;17;45;168;296;27;109;34;179;282;255;13;706;60;254;1395;170;160;0;2037;387;1452;2374;130;518;14;58;165;475;40;304;180;17;80;154;1958;1906;74;967;64;1761;28;143;1269;1;630;1685;258;2;176;904;274;161;105;701;1468;27;216
7710;100801;11280;21939;7069;1;6479;23947;22595;9899;31271;8937;937;66;49816;25376;939;41230;36706;7634;2789;1143;35760;4183;3139;2124;22902;4233;11282;13;14307;300;2615;18599;4224;6484;53537;2811;8628;15031;9427;19084;4110;30237;27448;33177;3897;34316;18994;2932;1105;8968;14603;7427;1069;29286;852;27315;35594;1623;5810;2050;46201;6088;362;37629;14945;1984;16179;228;25404;747;3237;14643;25124;1853;15642;549;12217;14722;13258;4960;3923;4388;5208;27727;34381;19105;8;39621;6443;14892;16428;27616;15942;796;45781;4116;39657;9264;12252;22880;446;7469;5810;6456;18827;15650;11887;11807;5666;1879;8850;31423;101;36892;15037;5439;452;6118;25727;5261;46952;21548;67452;14431;7274;19413
4711;52236;8785;13724;3234;1;2854;17756;21155;4678;23451;10253;225;26;30875;19176;540;20782;30321;3999;1486;330;32775;1692;2622;904;16356;2634;7522;12;7795;1;802;10288;1581;4462;51287;940;7453;11676;6742;18185;1498;24934;15748;32366;2334;19378;11505;1997;69;8239;11085;4247;409;20120;57;10889;19344;668;4643;2188;28829;3788;5;25988;7103;1950;7804;129;19430;210;2332;16696;15770;883;12836;0;8417;7331;7302;4682;1698;2886;2131;20905;24399;11347;2;16654;3491;10049;11613;17718;7055;464;45096;3096;19181;7491;6018;17779;246;2596;3244;1568;15582;11698;8955;10159;1534;578;6099;18657;47;24612;7784;2183;97;3435;16752;3989;26206;5521;57064;7856;6993;17040
5216;33366;7099;11951;3314;1;2152;11516;16149;3963;13072;1233;301;40;23163;11383;535;21608;19887;3697;1437;481;22687;1615;1243;896;13703;2227;6371;3;7983;66;912;10125;1550;2973;36608;996;6052;8106;6909;12805;1433;19178;15066;23858;2031;17865;8590;1812;303;6351;9022;3877;618;17777;270;8589;11068;583;4240;1273;17086;3523;94;20885;6327;463;6526;111;15680;367;1784;1976;9207;1090;12672;130;7638;4480;5504;3558;1586;2612;1990;18706;17587;6973;8;14295;3035;8442;9523;15901;6219;451;38280;2393;16623;6234;5634;16500;166;2609;2934;1162;11250;9034;6844;8119;1158;1001;5157;15540;36;16809;6458;2047;320;3143;13340;2403;25294;4088;34349;8013;5489;14843
2637;22415;7062;9699;4483;4;2808;8786;13194;3060;9534;14288;196;32;23743;15757;346;13072;17027;2641;1568;319;20452;974;688;673;23005;2974;4794;19;6639;141;591;6987;992;1912;29519;565;3494;8352;4396;10658;1015;18566;10266;18271;1267;15042;20330;1170;2097;5895;7101;2260;583;29625;1433;6267;18691;537;2238;868;15925;2320;181;14933;4339;349;4970;76;9440;293;1314;1293;8583;1197;6829;382;4916;5509;4701;2315;907;1752;1507;2098;12515;8177;19;12526;2355;6594;7205;8072;4282;270;42126;1721;9547;4080;3691;9102;132;6856;1979;3027;9616;7499;6004;7558;2426;1961;4909;7523;28;8144;5274;1426;489;2088;10440;1609;23676;5718;32492;6936;4177;6794
1531;46426;1730;6226;392;1;4608;8635;5023;2743;14077;1005;211;32;18864;8158;337;4760;11400;2098;1310;271;12037;2170;711;548;9255;2041;1557;5;5100;111;1015;3879;1084;1122;21923;953;1164;6462;2232;4523;1065;6670;6591;2270;667;6583;10905;652;455;1887;2405;1621;697;12870;379;2377;11037;410;671;146;12461;1456;132;10428;3366;1129;2779;122;4981;338;492;1681;8577;1831;2857;170;3363;6309;4914;459;2153;1044;2582;576;2081;7504;13;4185;6259;4599;4846;1736;2239;279;8227;1144;2505;1516;2625;3363;157;7226;1379;1464;8130;2846;4933;2418;1434;2180;1699;6504;41;15664;3347;2584;415;1571;7876;636;3467;7647;27528;5430;852;3629
1233;31464;2711;6068;329;0;2310;6176;5990;1292;10044;796;108;16;13993;7073;175;5828;10445;1280;1087;147;10682;686;599;294;9695;1429;1234;0;3247;8;418;3420;543;1268;20358;424;993;3383;1520;4357;520;7801;6653;2742;441;6465;7990;573;140;1941;2504;810;407;12932;71;2436;6720;282;452;126;12307;880;5;9679;2980;469;2175;53;5949;179;392;1400;6289;1017;2344;4;2426;3879;3120;401;656;715;1289;751;1925;4448;1;5016;2119;3421;4612;1375;1945;198;14804;1188;2559;1228;2190;3228;74;4804;857;2154;4472;2495;2142;2417;2115;1567;1484;4388;23;7974;2089;1170;197;770;7453;566;4282;6424;21171;3389;1033;3227
1313;22080;2943;5151;939;0;1702;4685;5251;1555;6905;1398;84;22;9437;7370;154;5831;8400;1413;862;119;9419;685;271;326;8379;1144;1177;2;2728;10;302;3125;527;1574;15624;295;962;3305;1489;4357;517;6442;5714;2361;530;5774;6285;484;461;2011;2589;1073;323;10027;275;3173;8401;262;514;148;9840;984;22;6363;2565;224;2495;40;4855;181;420;140;5647;660;2626;24;2481;3310;2644;399;676;603;1095;938;2679;4349;1;5848;1772;3035;3964;2416;2146;106;16116;1247;3188;1540;2103;3630;65;2613;851;2223;3321;2361;2094;2565;2300;738;1579;3525;18;6306;2554;1055;111;1013;5582;243;4582;4446;18158;2707;946;2791
2916;50964;4997;13363;2364;0;4515;12314;14234;4138;15409;12043;214;11;26102;20831;360;12580;22639;3560;2219;282;24470;1800;529;814;20150;3263;3070;1;7666;3;867;7931;1525;3035;39654;907;3348;9864;3933;10863;1503;13640;12850;8575;1487;15601;21124;1078;322;5157;5338;2693;629;24899;227;8077;26931;799;1869;563;32292;2623;28;18059;6364;325;6408;55;10704;371;1145;330;14611;1491;7298;21;6897;9926;7885;1577;1836;1222;2601;2247;6851;10702;0;15362;4999;8808;10829;7104;5543;190;36184;2226;10314;4262;4954;8175;120;6908;2590;6182;10363;6177;6526;6280;5955;1318;3901;10917;29;14949;7235;2693;186;2484;13685;892;13027;11135;46868;7808;2964;7481
