1192221.000000;1306135.000000;1330420.000000;228154.000000;2836.000000;1256809.000000;2831848.000000;486112.000000;291118.000000;954299.000000;77942.000000;426518.000000;581786.000000;1055454.000000;1670764.000000;1359651.000000;1687002.000000;934273.000000;71658.000000;139375.000000;330421.000000;633330.000000;1983126.000000;1946791.000000;89685.000000;180297.000000
6762.000000;12012.000000;993.000000;5033.000000;6.000000;10428.000000;1039.000000;1054.000000;3792.000000;4837.000000;986.000000;7806.000000;1324.000000;6665.000000;6047.000000;9221.000000;3745.000000;2144.000000;969.000000;237.000000;4220.000000;17593.000000;4713.000000;3585.000000;215.000000;221.000000
217680.000000;293747.000000;145868.000000;25353.000000;519.000000;251509.000000;193753.000000;64968.000000;55262.000000;169839.000000;11801.000000;35952.000000;84425.000000;218212.000000;318561.000000;188089.000000;277187.000000;128936.000000;10747.000000;17151.000000;63204.000000;140099.000000;381069.000000;228612.000000;10123.000000;17006.000000
155541.000000;153045.000000;58515.000000;23911.000000;164.000000;130310.000000;128650.000000;42545.000000;24277.000000;112784.000000;3856.000000;18225.000000;47701.000000;99058.000000;196224.000000;110126.000000;151002.000000;73935.000000;3351.000000;10711.000000;28648.000000;80818.000000;207613.000000;133303.000000;6409.000000;6563.000000
105995.000000;105997.000000;38722.000000;3343.000000;121.000000;110147.000000;104891.000000;32227.000000;18391.000000;71970.000000;3238.000000;9268.000000;42057.000000;80713.000000;133337.000000;76841.000000;115814.000000;58547.000000;2881.000000;8192.000000;21132.000000;62403.000000;138556.000000;104107.000000;3540.000000;5348.000000
111749.000000;89471.000000;85028.000000;8257.000000;169.000000;81694.000000;98643.000000;27124.000000;14130.000000;84907.000000;2568.000000;21519.000000;27244.000000;54193.000000;91496.000000;56313.000000;86159.000000;48190.000000;2372.000000;6036.000000;16523.000000;46225.000000;151902.000000;66773.000000;2694.000000;7370.000000
66307.000000;105377.000000;65590.000000;4375.000000;165.000000;60220.000000;57387.000000;18510.000000;21982.000000;57520.000000;3629.000000;7589.000000;19102.000000;28437.000000;61765.000000;62903.000000;78869.000000;36156.000000;3380.000000;2982.000000;26175.000000;38979.000000;154110.000000;35694.000000;2907.000000;12859.000000
64228.000000;78198.000000;49629.000000;4869.000000;76.000000;56764.000000;56987.000000;15716.000000;12013.000000;49536.000000;1876.000000;9387.000000;16141.000000;32788.000000;52599.000000;46449.000000;69110.000000;30422.000000;1614.000000;2567.000000;13909.000000;29527.000000;123127.000000;32569.000000;2590.000000;6860.000000
56006.000000;59941.000000;44330.000000;4876.000000;98.000000;48232.000000;51846.000000;14208.000000;11118.000000;46802.000000;1655.000000;9308.000000;14903.000000;33246.000000;44179.000000;37115.000000;58066.000000;27976.000000;1588.000000;2064.000000;13228.000000;27303.000000;104294.000000;31995.000000;1770.000000;4750.000000
155540.000000;135924.000000;113474.000000;8322.000000;142.000000;117457.000000;122200.000000;34912.000000;28452.000000;129564.000000;4249.000000;25750.000000;35495.000000;74587.000000;108796.000000;99657.000000;136372.000000;66888.000000;3803.000000;5127.000000;34185.000000;74188.000000;250550.000000;77924.000000;2673.000000;11681.000000
