750057;294850;37648;605955;213685;1555;1931378;176179;134343;127887;1918595;125390;833463;385046;169932;417013;301008;350418;154573;433530;19436;244764;145913;638620;806548;7170;27198;197705;499713;333043;86843;686302;1175032;153;427833;352805;138559;782370;77678
778;4812;417;1197;77;1;499;3325;1528;83;547;2299;3184;5146;1320;2896;410;2377;208;292;24;3946;222;3609;905;20;275;742;2495;7446;1062;4097;735;0;556;4698;233;787;46
81570;100804;3910;78099;20232;128;107356;24396;18859;5221;124421;16409;194579;18265;29770;87482;34364;66167;15118;39818;1251;44316;10374;90821;85988;579;2644;29184;97852;73666;11123;124289;77160;7;57707;68746;11206;91872;6974
41720;52238;1068;46004;17121;49;78864;12565;7897;1855;88949;16260;147782;14679;15348;51685;23387;49161;10976;31712;754;22040;7852;59596;55762;329;795;19557;41566;50241;4326;108773;66008;5;46342;34025;7746;67663;6398
25298;33366;1437;46046;13892;68;63104;11979;7702;2847;75141;2541;94642;3490;12265;45345;22069;34567;9550;24857;697;19039;5336;44765;49180;222;1068;18030;34761;42151;4383;77961;48632;3;30996;30250;6122;54397;4698
47450;22418;992;30544;9230;80;95566;9046;5549;4716;67358;3664;81614;21370;10477;35642;12742;33332;7128;22402;422;15254;3481;21837;25163;158;728;11254;25768;32051;2923;68948;35414;15;29225;24185;3497;36517;3050
36341;46426;1248;12139;2758;63;44725;14528;7888;5503;20577;2401;72932;4640;13392;21329;6107;23185;3282;8874;459;9059;2932;22101;5958;199;807;6226;8473;22278;4444;42483;6208;10;17486;12314;2355;23511;825
22572;31465;596;12177;2414;22;44549;5608;3637;3639;22023;1469;59721;5250;7083;20667;5270;16259;2597;8224;362;6733;2264;17456;5269;100;401;4170;9282;19320;2049;36228;6619;0;14989;10528;1994;19908;568
20278;22080;493;12547;2591;33;35201;5012;3316;1892;22701;650;47566;6298;6370;16304;5092;14996;2605;8216;167;7417;1757;14282;7506;86;304;5237;11276;15619;1755;29520;5963;0;13427;11082;1842;16729;588
63357;50965;1313;27181;8284;27;84668;14174;8667;3852;52301;422;128802;24678;17145;40753;14109;41853;7174;21163;297;19943;3085;37281;20020;154;785;12556;29134;42477;4804;82044;18626;0;35704;30201;3970;40554;2079
