113911;294814;127004;622677;35246;21;281692;78511;33398;222702;69167;22294;39167;64221;163058;124855;139639;39557;12128;63998;307265;1737;10916;214947;12573;44689;51690;4022;152886;108197;166781;118518;94517;326415;211674;277494;91542;35266;21511;96712;131692;122002;55870;874;147448;256302;1471700;30780;191959;178242;59145;304851;156388;120212;30;49705;70025;96447;551377;626010;108675;207844;219033;25574;104912;303113;7427;179551;151848;185334;9040;26232;196998;18423;7554;44244;227293;108029;142417;178554;448835;13218;670494;32225;93384;139795;69374;358375;220972;165;287355;224574;56185;220479;78690;18457;360275;115709;267;36809;219553;144982;49659;45968;133825
1021;4812;74;200;1122;0;156;230;8;303;1146;23;8;24;604;253;249;54;42;64;706;1;104;1422;17;369;126;14;461;1336;1165;1915;373;646;2496;235;116;842;38;1954;34;1762;69;0;585;165;78;1646;66;1726;159;75;1184;235;0;318;419;64;189;115;52;780;2072;427;1829;1808;51;1926;154;120;13;520;528;53;47;483;873;171;382;661;73;119;160;1691;359;1512;346;1133;31;1;1384;780;5072;156;72;19;106;1800;0;46;147;151;915;57;596
21832;100804;9914;46722;5859;0;27846;10743;2997;29205;9779;1327;1014;6897;32344;8695;19315;3779;564;2561;69865;122;1295;45820;786;7225;6402;329;30572;22882;31953;21032;15549;62192;41456;35195;9783;5838;2326;18521;9269;27760;4180;87;41345;19207;50897;928;14220;33587;8577;18499;28848;15926;1;7766;10682;4886;40543;37252;8439;44418;47300;3845;19878;57647;334;20521;13222;15869;574;3530;34762;1832;322;5792;49486;7089;20066;38601;30310;1424;36869;1031;16060;4873;9417;31845;10152;12;56356;51669;7610;18122;10298;1300;25191;20333;21;3274;23228;16558;7166;2547;27734
11315;52236;6982;28741;2486;0;18966;6389;3207;23367;4249;493;263;5908;24171;5154;22083;2644;0;2276;57864;55;315;24810;430;3056;3640;190;27059;16757;21670;16721;7515;40115;21433;19985;6356;2589;1045;10473;8717;17247;2015;36;24603;10105;49919;61;12664;25230;4885;13609;14053;10656;1;3454;6330;1666;28772;37225;7589;22515;33504;1283;10936;55284;3;4870;8106;13223;320;1130;17641;756;2;3078;21617;5300;20026;30487;22763;431;26070;76;7956;5140;5720;19637;5446;12;39402;43347;2929;9626;8161;469;17798;16168;4;2658;6006;13234;2910;1608;19601
10012;33366;5500;25298;2283;0;14597;6659;1951;22797;3580;752;637;4736;14876;3106;2591;2077;132;860;34860;72;448;23314;408;2814;3286;134;18654;13926;14817;12775;6847;28079;18410;17950;5216;2422;1021;10193;6903;14987;1991;27;20182;6961;42199;258;10121;22169;4604;10521;12113;10456;2;3000;5914;2109;21292;27676;6011;23122;26751;1345;10680;39829;83;4263;8231;12228;312;1239;10466;688;76;2746;16644;4109;14746;18122;19519;576;21375;324;7255;773;4678;16459;4556;3;25353;27225;2368;6272;7289;650;14982;12091;9;1422;4382;12141;2644;1550;12369
7588;22415;4034;22593;1447;4;15457;4509;1352;11707;2592;713;1040;2991;15542;2676;3639;1464;398;454;34066;47;299;18444;271;2130;2595;105;15134;10175;9492;10767;4637;27043;15183;9130;4882;1431;765;8582;5248;12020;2700;25;12038;14279;50405;1716;8353;3064;2876;14819;9394;5856;2;2331;3837;4294;13822;20694;4945;13796;20457;764;9083;32790;144;5910;5591;7324;197;791;20194;596;161;2008;11690;3129;12952;8931;18804;411;39109;1838;4942;13540;2565;10484;6667;17;21856;23495;2431;11735;3902;556;12171;10458;30;837;5922;7026;1932;947;12516
9223;46426;1547;4716;2561;1;8293;2547;222;4742;2173;901;964;697;11210;592;2250;655;174;1278;25986;66;331;8903;260;3308;2046;119;7176;7485;7428;7879;3565;26068;5981;1868;3678;3018;567;5075;1163;8145;4019;35;10922;10588;11084;434;2425;1092;1882;5732;4049;2952;1;4115;2497;5502;2747;2718;1749;4548;11950;1283;6234;24873;116;2020;2725;2697;245;1190;12683;465;123;4795;3978;1730;4633;16347;5796;377;19266;429;3782;1681;1841;9344;1019;5;17477;19108;1766;8080;1396;803;3376;7658;17;814;8404;3608;1824;685;9445
6148;31464;1237;5167;884;0;7052;1919;215;5237;1334;525;577;537;8505;614;1845;462;4;717;20755;28;157;9648;109;1652;1464;67;7095;6818;6953;4311;3009;17869;6374;1663;2467;884;325;2974;1352;7832;2196;15;8522;7100;18718;130;2456;1150;1227;5735;3982;2487;0;1929;1235;3422;2373;3218;1648;5224;11562;579;3937;22042;4;2947;1878;2195;112;509;7043;331;10;1679;4205;1476;5422;9329;7703;195;16924;85;3049;2108;1816;7074;1168;0;16406;16176;1126;5380;967;422;3613;4061;6;704;6937;2882;937;536;6931
4898;22080;1037;5287;974;0;5598;1877;230;5248;1504;416;312;581;8331;470;562;510;28;442;19560;29;134;8036;117;1426;1325;53;6930;5415;5954;3895;2696;12013;7106;2640;2389;967;345;3041;1283;6523;1323;14;7770;5434;19379;384;2586;1392;1457;5377;4500;2519;0;1678;1766;1815;3553;2734;1624;5491;7673;437;3383;16490;20;3241;1814;2401;87;404;8225;311;14;1451;5428;1550;5147;6464;6659;153;13008;354;2867;2895;2067;5249;1847;2;12013;13505;1373;4489;1237;350;3761;3560;6;305;4731;2565;1039;454;6711
12750;50964;2843;13941;2448;0;13672;4714;849;11872;4089;796;552;2296;23014;1752;4927;1373;20;934;49336;29;365;19044;272;3600;3755;85;17759;14171;15347;11241;6632;32867;19349;8875;6498;2701;916;8912;3970;17274;3343;22;17581;15924;43015;314;6818;3371;3798;13070;11517;6876;0;4226;4219;3853;8938;9387;4190;12571;22989;1264;9635;41365;21;8100;4313;7007;135;1116;27201;909;8;4019;14522;2747;13931;16222;13190;365;35520;274;6843;13129;3862;13960;3994;1;38311;35034;3687;14978;3793;743;8151;10771;0;611;12600;6974;2864;947;18659
