177642;294805;284879;80510;7657;22837;70344;85534;92533;219380;66688;156729;221935;57979;53066;113636;99011;94049;2348;59062;38498;169;16533;18874;84793;63899;123110;667;182365;178445;211119;138554;26669;513891;48614;27138;100670;33415;8500;69019;100503;5510;43030;9335;28794;20273;135065;138400;51147;138340;78654;186818;236308;62377;168231;32480;142942;66947;93746;172559;139980;49488;10805;241776;25536;16428;40523;146378;48972;42631;503;332373;109085;81994;29834;424385;73945;230964;54306;60650;129619;397087;8604;80147;88719;1192374;34859;207659;22;16956;39692;128808;451540;117161;20925;156232;12126;78229;6196;78998;637287;596397;119227;17944;88634;6528;282699;24520;159225;127759;518587;251572;24875;20;147386;216798;118847;2983;24522;77116;38564;158577;103899;128546;40400;164918;145771;52623;270432
1015;4812;828;177;89;709;490;340;1941;465;1161;338;123;31;31;149;1108;1339;5;396;163;0;34;822;868;496;283;0;92;409;1018;333;9;141;500;36;89;568;12;58;24;7;171;20;618;296;165;1145;273;1227;186;1141;524;172;106;46;629;40;764;781;675;11;8;230;31;629;141;27;47;43;1;54;1461;290;564;83;262;1989;2067;2070;161;99;112;121;66;69;290;749;0;261;323;1450;103;872;460;56;16;2460;15;36;171;99;125;43;315;30;1596;26;49;115;181;149;38;0;498;24;603;3;3;224;41;2694;1824;107;3841;1214;456;57;553
39633;100803;27547;14669;919;3723;11181;13503;15923;36074;14776;33417;21199;2293;2022;14149;16576;6241;189;7996;5688;7;1606;585;21998;12166;16102;50;15315;30044;33796;25334;2465;33018;7737;2703;8031;4524;599;4273;7051;268;6736;677;4002;3092;17036;30537;6656;29710;4977;43948;49856;8650;14332;3226;26041;5473;16421;38205;24007;4852;682;32650;1680;626;6526;7980;4103;3605;47;15508;24929;13730;3956;29837;11753;32313;10703;10001;8877;20045;1018;9446;10658;45650;5800;49460;1;2539;6366;9522;22946;25176;771;12329;764;16503;280;7321;46318;35285;9592;1874;16466;301;56011;3320;10408;12969;36451;30677;1676;0;32162;12298;28691;212;517;4836;2004;32977;16784;7570;1594;33154;30471;7066;60315
19190;52235;19237;16732;217;1618;4983;7790;9829;25792;10265;21724;19748;736;2020;10635;13334;1802;105;4167;3076;5;652;58;12981;5942;16982;23;12020;15300;19248;24344;2624;22948;4293;1804;5663;1688;150;2839;6819;0;3544;412;1926;1046;10115;16208;4221;21628;3862;31860;33039;5049;10572;2706;18937;5204;7658;15731;19921;4513;238;17556;818;89;3794;2636;2586;2051;15;12090;15557;6477;1454;24174;5522;22756;5146;5012;10199;12313;284;4325;8374;44043;2429;39847;1;828;2870;1905;15682;12785;6;9504;439;11615;0;5841;26633;32692;6085;768;8581;2;53389;2050;9609;10449;24993;14275;657;0;24799;7632;16461;112;110;3538;1181;15371;14177;2782;279;23795;23615;5424;48608
18283;33366;13872;1991;286;1532;4277;8086;10089;15271;8551;22560;16326;1128;514;10354;9918;1430;81;3722;2820;3;587;165;10798;5297;12113;37;9060;8968;10652;15953;1536;18674;3926;1324;4641;1637;280;2563;5340;49;3293;320;1677;1120;6536;14981;3010;17638;3013;20759;22301;5085;9932;1268;17361;4111;6285;12064;12896;3547;367;15233;981;199;3558;3225;2143;1983;13;10781;13598;6008;1491;18830;4906;20048;4402;4503;1222;9265;381;2640;7097;37063;2210;25070;1;954;2413;1527;14404;11849;222;6701;429;9386;53;4561;25021;24930;6022;762;5956;76;38778;1763;7649;9712;18265;10589;904;0;15147;6103;14812;100;360;1853;1208;12670;10152;2491;452;18373;20083;5170;28522
13187;22415;9435;1321;189;830;2904;4980;9003;12063;6781;9498;9028;2312;396;6176;9090;2133;48;2923;1960;24;534;817;8482;3939;10925;31;6988;18531;8650;14093;1062;30122;2344;982;3554;1133;239;1728;4025;229;2108;224;1190;630;8542;12262;1720;12195;2578;16503;21476;3471;5890;707;9978;3029;4757;8190;13444;2230;319;7894;997;565;2373;4408;2790;1964;24;9879;10915;4072;850;18421;3349;3190;3463;3547;14169;21517;241;4251;4727;40364;1552;21342;2;613;1975;3673;23512;9884;1016;8497;259;7267;132;2478;22697;19494;4613;585;5168;120;31151;1128;6655;5733;12228;11334;979;4;14829;5836;10009;69;549;1358;751;10740;8539;6162;2404;14745;8442;2646;29523
3862;46426;10241;1680;200;1834;1904;2874;4956;15331;4400;2884;2845;2697;1106;2988;6308;1321;69;6467;1499;12;414;271;6904;5312;3905;22;2670;10902;8878;6277;211;13915;1754;438;1193;1129;199;990;846;88;1701;221;2838;1094;5837;5769;1289;8560;1311;13760;22187;2020;2357;738;4657;970;2511;3085;8835;433;286;1656;1537;242;1606;446;1947;1632;23;2140;7246;3516;1099;4929;2987;1634;2932;3122;1014;11586;226;5336;1938;8654;2918;19525;0;1156;3359;1571;10006;4888;272;3519;276;4911;104;1032;3765;2247;2114;479;5435;109;23927;570;1718;2722;2241;9827;1326;1;10312;2523;7110;111;477;445;584;4427;7425;7048;564;7954;8368;925;22046
4730;31464;7512;1438;91;535;1390;2180;3247;10269;3070;3356;2788;1885;496;2460;3283;1895;53;2597;927;0;293;75;5969;3280;4492;12;2339;5933;7705;6192;169;13156;887;336;1152;602;130;689;1031;0;966;88;981;492;3962;5684;1347;7981;1342;12200;15152;1440;1873;616;5988;945;2077;3205;6305;349;161;1518;811;77;859;317;1367;1227;5;2937;7020;2686;540;6554;2496;1320;1485;1392;804;8721;118;2947;1572;14284;1302;15463;0;455;1631;2298;10593;4609;23;3245;190;4510;2;827;4314;2726;1477;263;3831;2;21928;369;1849;2126;1950;7909;752;0;8432;3491;7056;48;241;439;427;4497;3858;4330;404;8266;5305;627;17098
4805;22080;4989;136;72;571;1526;2256;2710;7304;2723;4116;2740;893;239;2622;3081;1935;46;2131;915;1;290;156;4629;2566;4445;16;2122;7144;7098;6366;190;10302;1183;360;1048;585;127;613;946;4;1148;94;850;344;4071;5139;1562;5236;1461;8379;9841;1453;2060;281;4938;949;2473;4258;6199;356;143;2286;588;110;1126;889;1102;918;9;3735;5891;2540;474;5813;2123;1500;1698;1569;1275;6687;86;2425;1902;15182;1181;12084;0;361;1383;2519;8422;4246;215;3133;101;4052;7;757;4606;2365;1537;280;3389;18;16466;456;1890;1869;3031;5981;597;0;8322;3324;5729;42;128;242;333;5541;3076;2401;936;5816;4909;741;17068
12549;50964;12088;342;195;1645;4182;5546;8321;19046;7849;9100;7282;1717;360;7279;9364;5339;49;5818;2632;0;807;205;12007;6859;11806;3;5996;23852;20272;16642;682;24936;2888;956;2734;1685;271;1199;2950;0;2892;207;2297;1019;10806;13195;2799;14210;2948;26301;27217;3594;5582;546;9980;2560;6276;10683;17392;1532;282;8102;1265;160;2763;1397;3101;2686;12;7863;15259;5927;1332;11969;5073;3915;4994;4446;11976;22356;255;6631;5013;33972;2967;32353;0;956;3410;7146;20435;10901;84;8319;183;11034;2;2695;12997;8480;3671;742;9617;13;40922;1243;5019;5214;7556;15119;1144;0;22435;6619;13000;54;215;815;753;14865;9285;6727;820;17757;12401;2404;43028
