204743;294870;121784;32409;536690;302080;206754;7364;370921;997963;959935;134226;36933;109145;381362;375873;393516;522429;504;433871;204107;132701;112174;1349658;2451890;7128;626491;23871;23365;751983;630956;391151;747719;279047;1457139;295908;101530
5927;4812;390;275;397;4166;2859;10;5501;4295;937;71;331;69;2591;2459;2776;1975;1;5856;324;1574;154;813;434;18;3484;319;300;1471;740;3901;1157;226;697;356;1628
33173;100810;12754;3486;51491;58476;22090;495;26291;210673;93266;11899;3838;4360;67323;67336;78456;98704;36;93518;19764;19068;8332;89208;133294;581;86976;925;883;122228;70538;77424;83897;31511;124882;30035;14706
17616;52240;6338;993;40666;29054;24254;258;11511;175343;63619;10683;1258;1468;50888;50411;45056;45703;18;69115;13190;7994;6218;73905;101509;313;57096;11;8;83370;34225;38688;54310;24399;87915;23557;5898
16125;33366;5581;1303;32802;25618;3138;260;6409;117631;55285;8109;1574;2367;35529;34558;40792;38310;16;56533;11124;7551;4135;53616;87631;215;43677;234;232;60624;20836;34994;53005;21032;63271;19629;5785
11550;22418;5933;896;26744;20622;11797;173;15341;99589;28110;5323;1048;3842;35969;34802;31167;26879;52;42353;6465;5351;2415;43434;87879;163;20885;877;832;41174;39107;27259;35918;13460;92219;15271;3893
10566;46426;9745;1172;10878;11874;2954;231;5080;74327;6892;1415;1289;4440;24905;25569;22071;8763;24;27392;3522;7753;2413;8934;25520;210;19297;335;348;40156;31905;13166;14738;5306;54683;6941;5226
5153;31465;4724;566;9954;9348;2201;94;6001;67954;6001;1102;678;2886;16451;17090;18974;9397;5;24264;3078;3491;1822;9369;31712;100;15735;28;17;29299;19491;12196;14956;4222;45332;5979;2347
6175;22080;3457;479;9887;9696;1710;87;6851;54220;8401;1108;538;1613;15465;15754;15445;11219;7;18633;2880;3216;1146;7748;32438;90;13066;111;94;22375;17295;12332;15036;4937;35167;5846;2196
15938;50966;9050;1195;25687;26711;9568;122;19621;147846;21658;3840;1366;3128;44413;44846;39169;29524;1;50059;6539;8845;2090;22598;72784;154;34509;85;59;56669;54101;32471;33194;13696;90270;15871;5959
