191784;294820;106266;203472;56084;427277;566;277667;19327;54962;245104;554;372558;74637;153859;231594;184192;327038;30652;120219;34326;124157;114706;356853;476637;75706;348272;44581;363841;262683;1585978;67149;196870;98597;17808;82571;322886;96966;69;109579;219580;5556;49127;38335;82576;4751;243461;922021;479486;260721;46071;510641;225242;167622;145687;16113;65544;393328;119136;15521;789565;127128;39900;705454;186885;109554;170330;182348;454636;620823;418355;41826
1002;4812;582;2410;135;1238;1;1889;176;3672;3268;0;611;111;361;169;701;938;40;197;23;1383;75;272;188;3053;2485;875;1065;1327;141;1758;2377;606;138;638;3326;31;0;716;88;14;63;8;338;7;143;220;199;1754;813;493;2960;193;191;104;73;1005;1388;106;170;5079;56;273;42;84;203;487;2624;194;1052;80
46893;100804;18650;45874;7577;62929;52;58888;2026;1800;14198;40;59825;4577;21690;21049;37012;76117;2322;8380;3103;20847;14264;28734;40675;12480;49399;6129;88384;52510;68071;10668;34732;17650;1944;12638;65734;9515;2;15711;16544;430;2722;949;10984;333;20660;52084;37910;43332;6201;33235;46207;15402;14292;675;6027;58892;19243;634;53997;27149;2983;53045;13001;5710;20541;27894;91667;47199;75101;3791
24477;52236;9089;30514;3955;42660;21;38054;620;138;5881;14;33529;4353;13883;14870;33148;53514;1699;6434;3044;10075;11005;13136;25620;5886;34388;2076;67630;22260;59343;4935;28266;8140;507;7330;31296;8484;1;8428;13153;246;1645;227;6222;170;16774;36787;37090;35462;2171;21014;27218;10207;9289;2;4414;30509;8786;2;41339;17181;1342;37934;12180;2111;23514;26523;77986;32657;52376;1628
19003;33366;6947;26035;3664;26075;14;29443;816;539;2397;32;31785;1308;13641;11556;23520;33628;1174;4550;1892;8683;9695;8201;23339;5216;29417;2169;41844;17775;52066;4538;21074;6742;684;7406;27817;6716;2;7373;10051;176;1658;629;6102;152;14735;29491;29048;24825;2245;16476;25727;10277;8064;159;3480;31702;7509;145;32682;14136;1579;29395;9691;2585;2792;19287;56418;26930;30920;1689
13814;22415;5847;19563;2466;19663;32;19444;560;3395;12322;42;17094;1223;8112;12811;18670;28970;687;3271;1286;6591;5755;19435;18126;3716;7019;1287;37540;12300;52468;2921;18392;5300;493;4368;22570;4336;8;5926;10840;127;1043;995;4115;113;9463;52155;18415;25532;1396;12744;22931;6483;5029;489;2594;22254;5485;459;32575;11093;1534;18178;7319;4886;8834;16641;44132;30491;41043;1584
14354;46426;7833;13698;1840;27199;24;13569;590;730;2977;25;4169;1408;4401;6355;9265;31344;674;1958;350;4401;2269;15894;10448;4946;4153;1863;33415;4736;11158;4781;13137;6899;569;2684;8494;1008;3;10232;4239;168;793;881;3471;173;3352;25810;4717;17280;2152;2898;11024;3686;2366;242;1106;8747;3904;256;5638;7817;2487;3663;1699;6439;2392;6880;30384;13744;25683;2096
11394;31464;4559;12260;1115;19044;5;13573;300;307;4428;8;4021;724;3777;5177;9035;21300;605;1669;228;3024;1615;9677;10906;1854;3186;813;25423;4983;17646;1520;8043;4355;272;2041;9536;875;0;4475;3945;86;584;537;2160;71;2895;23479;4902;11231;935;2886;9314;2578;2058;4;869;9043;2629;11;6771;6589;1251;3111;1863;4024;1913;7787;30255;13276;20023;1165
9867;22080;4015;9396;1245;14155;9;10584;234;829;4960;11;5217;619;3729;5202;8145;15188;269;1694;264;3261;2082;7463;8740;1997;3430;665;21092;6419;19691;1783;6684;3557;225;2383;10211;890;0;3710;3850;71;466;290;2005;61;2970;18139;4642;10235;801;2160;7845;2287;1933;51;883;9698;2953;46;6343;6024;955;4583;1863;2090;954;7153;21560;11042;21837;1013
23747;50966;10152;25580;3271;35382;12;26051;580;529;15973;1;15740;1526;10058;13158;21098;41894;486;2967;852;8682;6018;25248;20821;5580;9471;2030;55019;15971;44534;4722;19659;9034;622;4843;27012;3260;0;10774;10170;117;1005;505;5822;83;8645;48041;12724;29719;2187;7791;21722;5756;4356;40;2348;20201;8062;25;15194;17319;2101;11704;5548;4537;8491;19146;61302;24448;59840;2330
