2871965;294983;644474;2339625;178278;176632;1415135;1474936;403765;5031215;16057;1163125
5281;4812;469;11227;1868;1970;7359;1751;6958;2640;26;18933
286709;100822;61909;469263;21965;22405;215613;140718;28016;376434;1093;227780
208779;52241;49912;368515;8929;8926;104161;76757;27299;269787;567;133225
179917;33366;41615;253413;8889;8987;86966;54409;4576;211463;546;118750
99436;22421;27685;218437;6346;6531;62914;85019;22179;217579;399;92264
37742;46426;10121;154568;8799;9512;25055;68086;6016;106941;469;62731
34855;31468;8293;132306;4090;4331;25302;42684;5079;97989;219;46866
35270;22082;8961;111290;3709;3842;28089;36010;5234;82076;184;42051
86882;50966;25409;299319;9800;10037;70947;106659;19805;199718;269;114791
