410243;294907;697990;1682265;40703;4301;141427;1285446;204221;1848201;702618;3444966;1057119;3001381;219534;157139;817729
6558;4812;756;2544;420;4;1547;5024;139;9462;1214;2180;7294;2279;306;1822;16933
28534;100811;75685;168131;1648;300;17312;216418;18272;355555;66456;297646;180237;220964;19104;20082;165572
29581;52239;57440;114523;10;168;6680;133613;15429;287541;30007;215242;81817;165190;13966;7784;97868
4685;33366;48734;100617;390;149;6899;114691;12209;198916;23575;152519;69154;131556;10791;7941;86705
21210;22419;33989;54325;1661;147;4827;71679;7828;179931;36265;189188;52902;103956;7016;5652;68215
5955;46426;14954;14533;606;160;6884;48704;2553;118122;41207;115695;21197;39249;4454;8217;47550
5813;31465;12250;13253;20;77;3182;45142;1878;101276;22740;97629;21657;35979;3358;3774;33989
5672;22080;13101;16316;216;70;2790;38906;1872;87806;17025;78828;24437;32600;2806;3384;30889
21717;50966;34920;40023;109;74;7493;95687;6036;240953;50540;201148;61962;81674;6312;8659;86329
