270536;294832;36064;248523;757209;51;554621;118775;399740;118907;758957;294716;356433;101450;382592;1083043;171298;49212;9071;1553;331626;35181;89717;50879;108671;17637;36240;172995;281247;232897;220635;275554;80343;439307;49013;154913;331226;156051;228;15170;448633;45254;284;494214;192737;254371;188714;55057;16856;427892;47155;143326;40903;143074;63745;486207;95258;94012;139862;97666;18557;271379;2065;191635;11107;85957;115678;167786;40593;1278046;710987;194141;359926
855;4812;60;3484;279;0;2004;1242;549;1224;173;3639;1225;593;2643;213;215;64;23;1;542;56;791;126;107;141;87;125;2324;677;2950;1295;133;182;15;403;820;190;1;97;527;868;0;320;45;141;331;3730;129;1461;69;165;699;238;2409;201;627;27;3710;160;170;2436;1;1189;14;3227;633;2199;18;201;160;115;2714
56086;100803;2807;14381;56958;1;130991;19435;55937;19152;46227;58862;61404;17885;53913;52838;20601;2707;689;128;43022;2603;11759;6875;10061;1937;4023;9394;50050;37460;45323;57152;4821;29780;1388;22599;62049;14708;17;625;28741;6118;24;48643;13903;21314;22695;1819;700;77703;4241;15475;5754;9929;10402;48163;14372;9158;29906;13287;1944;49766;134;47267;694;14347;20709;37480;3790;74893;45734;18318;67853
49840;52236;1236;6118;42587;1;107363;9246;32653;8811;35879;27719;30111;8647;37810;40621;23579;1641;402;75;30815;1039;6300;3549;7811;508;2037;3457;43472;34932;26783;24488;4457;18152;387;14299;34808;9665;13;1;18930;2122;4;33231;12828;17339;15468;144;2;52519;3407;10228;1993;7002;4679;26749;8119;8059;21188;9933;588;42400;72;25049;396;6824;10205;24577;3802;52941;46179;14777;43796
33396;33366;1467;2614;32832;2;69594;7996;30340;7655;29401;24193;30719;6718;32142;33501;2799;1618;306;51;30649;1323;5936;3252;6652;679;1747;3628;31749;24758;25183;19749;1502;12094;871;14090;20021;8281;7;137;13513;2230;11;21920;10373;14418;15127;542;166;31911;1834;8097;2029;5839;4289;22661;7565;6383;17420;9333;771;30907;80;20578;392;6172;7846;21101;2435;48006;35317;10637;29976
27496;22416;1329;12397;20336;6;59855;6025;15888;5662;32199;19799;21859;5747;9066;52225;8901;1029;215;31;17100;1273;4351;2197;4931;486;1438;8027;28242;21886;22286;13320;1282;23695;1396;8431;31992;5297;24;454;11162;1381;33;33223;7948;10513;9201;3391;506;23039;1067;7983;1243;4701;2873;19935;5388;4160;13032;4810;539;26824;52;14366;241;4357;6534;16829;1693;42662;27226;9592;24117
16118;46426;2228;3056;4377;1;54832;3962;3591;3964;11850;7850;7981;7704;6011;21091;2420;789;221;53;8067;1962;8574;1642;1982;572;1041;9853;18427;10156;10521;5025;1443;14635;1354;4448;20286;2370;7;248;3237;2098;19;20685;1954;3515;5083;729;249;34504;1006;5265;1905;2423;3998;12563;4308;994;9518;1973;550;18242;80;14201;272;5541;8644;10523;352;8132;4809;4640;17316
15699;31464;1135;4573;3891;0;43941;2793;3270;2766;13155;8361;8769;4561;4506;23107;1924;590;96;40;8496;1003;3620;942;1604;272;713;6111;13047;10877;8839;5284;815;10635;857;3849;13330;2064;0;9;3050;887;6;15024;2103;3277;4219;312;6;22822;795;3818;843;2025;1346;12924;2102;887;7978;1427;284;13135;30;11751;162;2173;5059;10087;269;11203;5556;4011;16903
13472;22080;881;5075;5163;0;34460;2980;4697;2949;11873;9517;9089;3744;4470;18801;971;462;106;28;8257;812;2882;1081;1643;215;735;3207;10912;9843;7527;6648;707;8605;444;3732;15562;1867;2;43;2007;774;6;12850;2160;3208;3953;820;60;16719;391;3793;686;2149;1633;9842;2654;909;6671;1806;228;10643;33;9871;107;2317;4436;8421;292;13101;5151;3683;11882
35444;50965;1921;16182;12804;0;91200;7990;14349;8136;26139;25084;18746;9930;12383;44772;8532;1003;190;39;19602;1653;8288;2894;4597;616;1993;8135;30517;26696;21178;17049;1695;27096;826;9977;47559;4372;3;24;6923;2118;0;34588;6340;8949;9508;544;41;42755;825;9955;2006;4205;4567;22571;6464;3285;18369;4819;554;29988;36;23628;163;6421;11484;21933;1079;30298;14188;9194;36225
