131940;294846;32697;90496;153425;660740;221497;566529;140443;293529;26048;499827;704175;207974;1502;2113109;335282;447131;736698;398658;200631;349492;179746;351212;501323;87856;465417;529722;417588;6868;866078;202370;30003;76896;18073;644478;279966;1040714;151;984660;75304;162108;91410;301135;90443
2978;4812;209;202;1725;233;380;1657;205;6996;229;3425;2107;3047;1;254;4670;1844;628;175;660;5027;2500;1036;559;43;3049;1773;3030;19;278;72;316;1353;22;583;2070;641;0;441;47;264;122;2620;992
18459;100804;1384;8079;29046;47302;28133;104334;9833;65282;2754;98345;152257;21457;122;102805;20179;88728;73505;31813;29054;69071;30971;74448;46344;3083;66210;88085;68541;559;61252;19178;2969;10085;1147;70774;52388;70046;7;80894;6639;14702;8637;60782;12240
9006;52237;1;4104;13907;33805;22467;70625;7551;44134;738;70512;122223;23412;48;82674;10100;40266;47668;26684;19373;33649;15131;57561;20356;956;46680;46213;59614;309;54499;16213;908;3820;681;47225;38097;49425;5;54720;6099;9875;5583;35098;4846
8346;33366;315;3823;12406;25255;18702;44420;5105;37107;1016;50272;77221;3124;64;71987;4814;33563;41817;22576;18029;28930;13171;37567;13699;1771;39036;46181;42994;212;43562;13235;1205;3748;629;43499;26717;37245;3;41219;4435;8076;4742;32877;4816
5913;22417;1204;4303;9093;35500;13514;33673;3221;28402;710;39225;72834;11011;78;73559;15417;23356;22082;16651;11088;23560;10234;34012;27580;2960;13114;31929;41522;150;28958;8872;804;2533;391;29705;25886;33896;15;60767;2901;4692;3737;26444;3297
10584;46426;488;6550;9530;17684;6333;43310;2902;19714;886;26170;57931;2955;60;17679;4386;7845;5109;5448;6044;11153;6969;20794;25755;3146;9699;13529;26333;194;6991;2608;909;3467;427;17322;19680;6852;10;35091;808;2751;1868;16727;5349
3635;31465;12;3345;5592;15627;5874;29368;2193;17316;406;25804;48892;2157;21;25683;5423;8347;4385;5151;4100;10131;4566;18231;14830;2112;7640;14296;18659;98;6518;2336;461;1538;326;16610;12718;7300;0;29068;554;2325;1427;14570;2372
3516;22080;143;2405;5051;12894;5523;21623;1638;14217;360;17754;43438;1623;32;26724;6184;10086;6538;5147;5046;11263;4924;17773;11600;1131;6917;14044;15520;83;6807;2515;353;1427;161;14341;11769;6007;0;21794;575;2191;1471;12027;2083
9767;50965;87;6120;13525;33175;14853;56590;2863;38798;929;54436;111231;8674;26;59100;18888;26759;17538;14625;12385;30263;13429;46901;37311;2029;18476;30357;44819;144;18050;7867;911;3731;274;34145;33449;17855;0;55985;1946;4817;4021;30824;5664
