148939;294802;28871;17156;154133;40794;32654;51239;47379;19902;4053;114314;224;47111;5179;192676;82145;47485;80832;81310;54443;98812;20622;96336;169624;89242;320276;78240;44508;45917;111779;85319;9058;34418;1103;31972;19;135582;352700;214809;81332;1246589;428730;72000;203;31051;192531;112667;253073;232832;32103;34874;46630;7773;131361;22371;116062;225608;77888;107390;162116;84987;146675;190988;96200;102722;327812;396135;72328;167797;46169;124663;133813;14170;80356;607362;31378;33113;118564;92862;6568;66338;51;130502;65636;19035;42975;146359;4778;11634;40021;164363;56113;83777;247863;99189;103581;142098;122833;13165;17009;63474;159521;141704;129033;86010;140111;42649;65223;564855;276454;243594;59449;60147;141695;35550;19566;122454;68770;25658;28109;8656;96210;148241;443409;58061;30123;23056;958;463659;110450;85558;13938;78638;20793;244004;157267
1166;4812;596;247;177;3375;466;1527;149;854;6;371;1;592;7;95;190;45;225;48;139;549;335;1803;1265;25;1069;283;18;27;110;927;13;597;1;109;0;30;140;17;336;59;85;1235;0;45;365;1243;396;80;234;47;35;93;315;23;395;532;785;513;71;708;1143;108;63;9;64;97;197;255;268;12;2919;18;154;111;230;49;172;710;15;53;0;618;158;557;46;319;14;205;281;1653;83;401;1375;109;44;462;1396;10;34;2658;1001;573;104;1544;321;37;2176;85;589;88;32;322;416;160;341;903;36;832;3;91;322;90;182;926;239;5;0;124;1886;244;21;190;41;1169;1130
30453;100802;3523;2566;24461;1461;4282;8974;7232;669;279;21556;16;7508;259;16184;14979;6589;5476;9651;6734;20455;2990;5563;33385;6525;27818;12303;4686;1977;8825;24718;684;4560;103;5100;1;8333;26577;11236;13050;46262;22031;12787;12;2147;36677;24940;46877;16906;5078;3347;3612;903;26714;1422;20481;35823;12312;33927;11900;14827;30383;20529;10044;3986;20579;28316;10026;20593;6225;5964;29326;902;9937;26582;4951;3290;19700;16552;297;4057;1;30098;10973;2982;2291;23868;396;409;4757;29721;6487;14654;48851;8974;7634;34646;8337;761;1648;13347;38731;27437;12608;14860;22815;3457;14842;33833;62256;12495;6483;9459;24125;5334;737;27407;2802;4085;615;982;23676;12295;33465;9781;4545;2106;75;31237;17729;14100;792;5031;2355;46504;29071
22935;52235;1299;876;16717;193;2254;4241;3937;65;148;12518;13;4207;0;12237;17099;4770;3846;7883;2981;17334;945;1790;13762;6238;16813;6050;4229;1935;5728;15714;188;1766;51;2940;1;7939;16377;8319;7478;44397;16347;6546;3;828;18731;16076;30463;11350;2115;2438;2099;203;24115;644;11925;25818;9937;23014;8904;7105;17431;4922;8451;4560;13526;22069;6228;20058;3955;2037;15642;561;10971;18447;1954;2795;11251;7710;0;2706;0;11949;5438;1261;1480;16547;223;11;5436;22230;4028;7303;47151;6004;6845;25424;1873;293;672;8941;18806;24978;10771;8656;15477;2245;9342;27370;51781;5123;5101;4264;15204;2801;4;21835;912;1713;126;271;16583;8337;20483;7123;2349;2325;32;27482;14811;8775;434;3869;1061;31517;19645
18228;33366;1212;935;17289;399;1922;3806;3660;199;128;7656;7;3833;41;9454;2005;4552;2122;6408;2250;13752;1078;1341;11954;4751;13935;5470;3378;548;5419;13084;316;1713;38;2704;0;6445;12370;7079;7826;37801;13523;6558;8;1137;16608;14430;22159;7617;1895;1849;2063;280;15644;840;11958;14302;7234;17999;8014;5868;15625;3541;7923;576;12733;17595;5510;15452;2736;2335;13281;525;8170;17127;1835;1259;6629;6518;55;2451;2;9140;3537;1219;1372;16771;144;124;668;19438;3990;6937;33689;5127;5245;15711;1489;436;623;7270;18603;17299;9828;8873;9316;1850;7487;21978;30812;4172;4062;3284;8923;2563;216;16101;1285;1642;426;386;9767;6197;17947;5396;2216;1300;48;19522;10598;7968;442;3072;1016;20042;12992
14038;22415;854;537;7698;2450;1441;2922;2417;875;94;11711;22;2182;200;7846;1438;2316;1425;4415;2805;9900;709;2275;10677;3547;8356;3618;2095;190;4425;9835;265;1075;24;1740;3;5274;8228;6352;4812;41602;20763;5314;21;1358;8901;11014;23323;13544;1444;1322;2200;173;13044;773;7722;11050;6796;8662;5077;4383;13216;5142;4786;12199;10391;17287;3928;6983;1540;3879;10645;312;6767;32186;1271;703;7097;4958;153;1647;5;5685;3472;627;876;9068;119;290;2528;2472;2575;4628;27445;3820;4693;13123;3059;377;564;5687;12947;14826;5566;7996;12992;2392;6332;20747;30636;12011;2016;3068;13708;1756;885;12613;2956;987;644;247;9173;8631;15068;4900;1451;896;34;12810;9068;5458;286;2666;748;17993;8513
7550;46426;889;891;2324;551;3636;2741;1711;291;143;7100;7;1611;90;3095;1670;833;454;1592;4592;5464;1141;1394;3212;781;7804;2772;452;970;1801;7236;246;1176;41;1159;0;1066;1477;1797;2753;8321;7174;4893;15;2065;2136;8064;19613;6720;2356;507;1350;196;7306;1244;4689;16375;5467;11573;1833;2355;6148;7204;1835;737;2126;6041;3483;3470;1221;258;4902;300;2157;14276;2296;708;7414;2731;115;909;3;2419;4422;1440;569;4185;144;165;566;927;1533;3110;22383;1253;1540;14397;1495;379;431;3785;4755;8201;2539;5136;7114;1579;4282;2078;23749;9510;887;6289;8862;1456;255;7192;3293;2131;571;221;7729;4153;3435;4600;1440;147;37;2256;7349;3751;281;1310;547;13966;6697
7441;31464;452;406;2349;313;1116;1215;1076;69;59;4126;0;936;0;2782;1376;540;483;1365;2425;5290;471;1958;3824;927;5609;2372;311;474;1278;7269;159;592;26;581;0;1283;1221;2608;2104;14451;7855;2614;3;1053;2198;7501;13943;5122;1219;394;1201;86;7140;660;4478;11093;2512;6565;1383;1920;6682;6124;1567;569;2655;7517;2194;3076;1276;231;4391;256;2658;14664;1059;578;4278;2197;2;655;0;2427;3026;441;498;4534;66;15;410;977;1019;2580;20092;1157;1531;9937;2242;230;309;3520;6013;8216;2040;3182;5914;1118;3279;2733;18436;6523;705;2814;5506;855;16;6551;2399;641;322;116;6009;3280;3645;1820;729;137;16;2070;4137;3123;136;1360;312;13586;6362
5401;22080;407;285;3224;759;1076;1464;1230;138;44;4828;2;1170;1;2539;173;672;329;1692;1679;4038;369;2017;4526;831;3971;2166;338;174;1344;5406;152;584;23;754;0;1288;2135;2797;2183;15562;7264;2241;2;753;2795;5832;8653;4543;1029;444;922;70;6368;461;4084;7656;2510;5734;1441;2261;5042;4193;1750;1108;3203;6217;2205;2911;1495;761;5146;120;2744;11251;923;306;4128;2443;7;561;0;3238;2659;462;417;4455;57;42;376;1203;988;2481;15648;1149;1555;7171;2463;193;293;3219;5474;6902;1776;2672;6275;926;3073;2383;17325;4137;694;2267;6287;846;195;4858;1073;701;170;92;5679;3311;3750;1862;774;162;23;2271;3177;2785;124;1501;344;10077;5335
15727;50964;1301;853;7186;675;2822;3949;3231;179;68;16111;3;2738;0;6614;860;2080;1001;4404;4654;10075;1026;5320;11467;2683;11285;5244;1439;283;3325;12838;319;1701;28;1916;0;3686;6112;5641;5331;35088;16768;6384;0;1539;9402;15326;23141;14303;2511;1211;2580;183;16710;1032;9691;18550;7554;13443;4482;5787;13035;10465;5129;10006;6934;13250;5942;7798;2713;1111;14728;214;6792;28919;2364;566;10919;6576;2;1128;0;8092;6351;1241;875;9270;104;62;1814;2843;2515;5987;37494;2932;3885;19566;6920;359;846;8895;12737;18982;4948;8032;18222;2574;8828;8272;44011;13122;2463;7007;19188;2486;71;14071;2139;1784;287;245;14670;8346;10018;5613;1986;577;15;6360;9636;7059;296;3044;885;33045;14117
