115299;294853;28767;116774;1047779;55;283954;19893;182780;260464;32468;18406;118590;323550;521738;237132;300231;133613;364008;117652;101160;3396;180542;61266;501583;48213;291623;283341;462910;847952;1975495;852480;200993;475;288356;645873;144125;51660;669929;85346;424526;115718;212745;326358;57438;584065;366542;261623;2312;125295;20844;98525;95004;356498;46007;335502;178404;188060
1699;4812;41;607;432;0;34;184;615;2978;206;27;198;1424;739;272;4532;112;176;167;2825;3;1183;143;1634;15;2353;1152;3044;605;229;337;2743;1;2457;279;1704;1064;1876;128;2395;656;50;902;756;274;3725;5764;5;313;189;40;3233;1301;83;203;185;190
18157;100805;2012;20157;84297;1;13048;1995;28546;54475;1379;1418;8487;64411;69272;27859;16800;7856;31973;11670;15807;241;36247;8049;98151;1415;52378;50345;63666;56659;93166;61287;21327;38;49684;53382;24882;6770;135736;4773;88492;19584;16418;69962;7373;39145;76290;57680;183;17583;2158;9533;14318;68251;3883;29174;15447;18632
8219;52236;1352;9667;56546;1;7384;500;17811;31890;1;1182;6922;28409;41577;20204;8459;3160;24689;8418;7610;124;17331;4210;62612;382;43523;43112;42874;37411;76400;50639;23362;17;41972;51005;11950;2339;112539;3231;70399;9495;14924;37913;2726;20749;35420;38187;93;12676;650;8695;6768;42258;1621;23095;10015;12144
7088;33366;1089;7584;43981;2;5876;696;17509;29622;309;716;4243;22599;38803;14650;3518;3514;17439;7098;6961;125;13180;3892;38484;912;30776;32453;34789;28730;65893;37885;3087;16;30341;41589;10221;2422;70048;2519;48649;7720;11861;31741;2875;13698;31965;32207;75;11805;859;6644;6264;41076;1816;18903;10236;10478
5247;22417;659;6583;64185;6;7893;495;11258;25996;1194;488;2815;15580;20009;15121;15448;6138;19686;5278;4852;84;12332;2696;32552;1316;28843;26642;12732;26294;66265;23598;10010;50;28660;29145;7924;1540;70419;1362;37850;6267;8701;21859;1929;32356;25551;24659;58;6647;575;4321;4323;23122;1747;14266;6548;6619
4199;46426;613;8693;36074;2;1837;559;6337;12716;488;352;2115;5593;4931;8151;3888;8724;9683;2456;6605;124;15939;2031;42288;1222;19287;12479;10712;6123;15859;4611;2888;24;18472;8456;5070;2071;51680;1455;25910;8171;2239;20143;3261;20929;10063;17762;72;2968;631;953;6478;11340;2296;5401;3731;2885
2624;31465;552;5207;31391;0;2208;270;5190;11704;12;150;1827;5935;4469;6535;4936;5006;8445;1888;2381;54;9266;1221;29240;730;13301;13477;8375;6097;22906;4349;2109;5;12091;9178;3586;882;43782;1086;25038;4660;2345;15781;1402;14383;10894;15788;54;2077;314;766;2347;12691;1298;4895;2491;2328
2820;22080;258;4316;23128;0;2681;209;5115;9382;143;159;1538;7529;6137;6845;5691;2687;7564;1938;2747;53;8087;1363;20905;430;11362;11290;7254;4815;24579;5190;1527;8;10573;8475;3915;765;41048;936;17824;4173;2321;13270;1221;11521;11586;12875;45;2704;247;801;2508;12073;1095;4629;2263;2100
7912;50965;463;11204;56866;0;5671;592;13545;25168;85;438;2657;19683;17421;17651;17819;6597;19631;5418;7282;57;23603;3590;56411;772;32871;31371;19848;14556;54775;13944;8229;1;30635;21541;10505;2268;104719;1804;52132;10680;7171;31470;3033;36895;30130;35679;53;6639;609;3063;6711;25669;2413;12544;5584;5559
