180093;294831;480117;82380;412567;187462;355990;380022;391826;112857;112078;105426;116138;90592;199209;100530;384259;84313;527960;1481801;6435;250078;225617;313252;144647;97736;76222;49320;285385;1609;18836;191307;47015;274052;644;168488;488504;181643;22456;721223;57580;22056;190967;69868;109;16525;450437;76541;221191;214664;61159;19087;137893;1374740;66410;635273;709257;223643;199109;309123;436745;40199;283151;47020;239428;263095
209;4812;483;498;470;2152;1022;2606;231;1354;1281;409;39;1124;892;594;525;99;163;213;18;3870;4246;1463;366;144;109;33;164;0;174;2308;696;877;1;192;1533;1654;286;242;135;242;168;2868;0;140;1155;76;55;2026;25;26;431;219;3241;186;270;4236;2354;1636;2614;61;1040;592;186;1760
19820;100803;30460;11990;54250;33684;63939;52730;38143;15234;17924;14999;11910;13271;44745;16428;41537;7992;45941;62327;518;13911;49343;60968;20338;7231;4605;4341;26581;112;1977;21092;6412;53201;58;14577;120526;37576;841;46587;7621;864;12177;11259;3;1721;67535;4337;16196;44280;2006;1234;20084;84292;10334;43671;53413;46003;34768;64981;86581;2820;59123;6000;22332;60170
12627;52236;19898;5464;31952;27771;43666;36713;27081;8081;8268;8550;10310;5744;23593;7836;25504;5466;28663;51453;282;5941;32947;26021;14403;5737;4350;4191;21356;48;605;23329;2234;37889;24;9318;91961;19928;6;30158;4053;6;4456;5000;1;436;46276;3044;14864;25124;684;754;17526;58705;4471;45444;40041;22469;28695;31720;72213;1140;51834;2190;17051;39297
9773;33366;14650;4806;29383;20563;26081;31129;20707;7654;6984;8647;8347;5139;18017;6513;26770;4576;25057;43014;195;2391;28200;20848;13125;3678;1299;2780;15264;70;779;3016;2322;23111;17;9432;57997;18479;222;20868;3767;213;4283;4520;2;600;27947;2630;11976;23607;1246;682;14016;53857;4014;34560;30378;18727;21524;31100;53143;1461;35548;2301;15743;29783
10225;22415;12337;4129;16114;17688;34823;8365;19871;5690;5239;4829;5156;3522;13142;5054;18886;3422;21054;64345;145;14097;21281;15413;8309;2217;1209;1908;15435;67;548;9206;1429;26830;30;6060;51147;15104;804;41953;2510;817;8987;3243;14;431;21943;1664;9152;19797;1885;414;11490;47669;2837;24317;18635;15590;18584;21104;41773;1478;28617;1517;9044;18200
6835;46426;2885;6627;3535;12400;22450;5358;10470;10777;3525;3059;1320;2860;14155;7238;7072;1588;11311;21949;186;2983;15677;5475;3997;1805;1423;524;7354;63;554;2698;2129;18318;25;3567;52410;9027;340;23926;1861;317;11198;3783;9;473;29026;991;2301;10068;1933;437;4567;9057;3442;5042;3771;7155;12831;7666;26113;1991;16935;2388;3700;15090
4914;31464;2864;3403;3135;7766;16701;4137;8759;4171;2439;2565;1098;1801;10761;3940;6855;1209;12315;27463;90;4404;14234;5910;2676;1439;690;366;6526;28;286;2076;968;14037;7;2383;37873;7783;15;18001;1102;16;6583;1462;0;235;20311;926;2460;9127;1246;361;4733;12180;1464;5490;3346;6508;7751;9099;26526;1132;16335;1049;3083;13405
4851;22080;1945;2716;4534;6625;17855;4178;7342;3561;2686;2651;1189;1924;9390;3521;7464;1219;9739;23755;77;4946;11259;7454;3454;1151;609;376;6010;30;231;1458;786;14525;12;2160;27863;6611;91;14592;1260;91;3783;1813;0;197;14986;768;2496;7600;644;162;4647;14120;1692;5093;4662;7782;6454;8919;19028;925;13894;903;3161;10798
12831;50965;6900;6937;14230;18849;50322;11485;18225;10106;7209;5428;4215;5420;23006;8982;16756;3472;22064;53744;134;16462;30656;18832;8671;1988;1530;1296;15768;24;564;8180;2295;40133;12;5291;75300;17519;55;43339;3296;66;10413;4837;0;529;37703;1604;7311;20441;1281;296;12334;32682;4347;14270;11740;21010;18976;20868;54923;1893;36588;2316;9198;26485
