49502;294807;392068;614740;220015;76311;277968;24260;108931;126169;291817;156745;147996;103376;107710;112621;30073;155865;47791;25092;177;12020;559989;253601;82114;704;556;136350;207844;54643;139353;221314;79624;212476;250445;330362;18813;43384;47284;17544;151875;113718;26650;118595;11533;14340;34459;42141;480041;123971;44452;83529;46201;235984;179548;47893;14540;174448;10458;3351;350401;223174;138035;52087;107525;54093;377451;93497;400498;145644;259053;238783;69651;101758;90980;92899;120778;187397;226581;37;35640;228342;169634;44309;11612;456823;197744;352757;77924;145600;60157;221560;854863;49389;74312;1505632;2781;137829;62779
56;4812;448;114;30;419;773;452;1629;1494;1776;253;1127;188;3493;510;439;176;14;23;0;24;187;2381;167;0;1;1684;1937;422;81;1608;1290;1437;369;239;41;58;363;420;381;102;33;722;108;18;54;1630;157;954;2774;323;1128;176;2015;13;132;80;19;4;1123;1543;296;29;28;348;70;42;118;269;557;750;230;56;4068;109;2082;763;733;0;1419;162;2354;99;97;95;55;1224;466;172;385;783;208;132;57;83;7;458;66
2586;100803;64761;37264;9890;12252;52940;3430;19244;24520;52291;19926;31754;8538;19418;26184;4338;20188;4433;1506;7;885;41477;49975;8511;52;51;30965;36395;9029;6627;44375;12139;44333;33628;34341;1946;3774;5803;590;29275;7912;1971;22461;467;925;3472;6830;29489;22112;1403;10494;5450;24671;28092;1301;1556;13092;514;234;32286;46913;18516;6565;7467;8160;20848;10957;22686;9797;48767;52786;9528;7686;18872;8276;21104;36346;47493;1;5657;23241;4932;6120;1320;32028;13128;76216;13172;17335;9370;54166;61595;3331;8658;50121;221;40214;3958
1625;52235;44465;36703;5445;6777;37104;1134;14498;13885;49460;13570;25020;6742;11425;15581;1465;23157;4365;620;5;611;30962;25329;3793;23;18;19363;27362;3953;2334;32854;5314;25160;27230;21208;805;3053;3210;23;24832;4990;764;11617;2;554;1933;2893;19406;10568;73;5507;2188;18871;7751;323;472;9162;0;127;20974;29123;18668;5404;7156;3539;16112;8823;14640;5924;24861;44361;5522;6720;12335;5123;16716;27797;25577;1;2337;6215;4012;3468;329;25584;11991;65149;6886;13233;5578;22898;37571;2310;6612;48557;125;22885;4063
1574;33366;30538;27219;4484;6601;21743;1230;11004;13091;34785;13922;20010;4713;10358;9988;1506;2728;2963;890;3;401;23137;22372;3053;37;15;17037;23314;3519;2579;25131;4273;22719;26339;18647;795;1698;2770;168;16164;4684;1003;10858;103;514;1607;2689;14612;9380;454;5812;1929;13929;6950;804;618;7636;103;115;16817;17883;13360;4778;5616;3209;12944;7235;10756;3662;13922;28031;5470;5430;9996;4045;12678;17562;26767;1;2203;5017;889;3188;449;22007;9714;43945;6826;12388;5323;19002;35189;1738;5763;41305;96;16083;926
979;22415;36765;20801;6741;4729;15830;791;9952;10431;30842;8024;14227;5554;8600;9036;898;6069;1994;817;27;298;14785;18329;4059;33;24;13324;3848;2569;6430;19430;3242;18492;13127;9679;594;1020;2167;554;14408;3302;901;7862;285;311;1315;1679;27550;7184;2801;3100;1424;10657;6909;1369;448;5587;353;77;10739;12417;12114;2631;4224;2533;15023;5085;20903;3150;24816;24606;3582;4522;7850;5031;10901;18136;14643;4;1325;5970;12324;2066;321;19926;8111;37273;4838;7478;3010;11539;30671;860;2811;52770;61;10806;1092
714;46426;27250;2780;973;4140;22895;1345;7310;9529;22164;4000;8753;1615;5198;8454;1349;2302;379;1184;13;266;2989;6647;6097;22;22;9363;1556;3820;7313;11215;2473;8902;5950;1959;462;906;5687;258;7352;1902;1229;5081;184;318;750;2655;15114;4195;575;2192;1437;5960;2531;1298;421;1864;168;122;10525;13252;4479;698;889;3976;4871;1902;10931;652;15632;20159;2340;1477;5426;3910;8170;12826;5482;1;2686;8141;2063;1394;332;6126;2026;28504;3890;3737;1743;3857;5592;960;1285;12706;84;12467;1247
582;31464;19018;3317;1032;2359;14585;561;3610;7218;18523;3569;8223;1564;2610;6339;655;1871;324;638;0;102;2677;7783;3243;13;7;8903;1676;1850;4773;11477;1571;9742;6399;1597;263;627;1960;34;6733;1209;710;4193;16;283;556;847;12122;3197;209;2053;796;4608;2941;824;214;1438;3;52;7656;10727;5091;469;1054;2081;5483;1574;8867;701;9612;16983;1451;1360;4806;2602;4299;9879;6035;0;864;7267;2982;850;156;7722;2192;25990;2423;2982;1142;4068;6719;1111;1011;20735;56;8251;468
468;22080;12549;2880;1767;2418;10420;437;3309;5542;14605;3591;5770;1984;2988;5808;505;743;336;478;1;113;3607;8215;2325;16;10;7152;2010;1703;2429;7943;1829;7768;6137;2713;259;374;1679;74;7048;1041;552;3909;31;120;625;1035;9913;3435;606;2164;862;3983;3585;425;175;1376;20;45;5434;8946;4937;534;987;1669;5666;1953;7273;525;11608;14052;1475;1431;4484;2179;3893;9540;6460;0;932;4857;3611;1034;140;6763;2239;20093;2436;2787;1463;5054;7434;972;1072;20730;49;7681;420
968;50965;33100;9683;3609;6105;27430;1190;10469;14640;37539;9526;15372;5084;8616;14901;1429;7044;1300;995;0;265;9052;22393;6304;5;12;19092;4878;4534;5851;24231;4822;18486;14328;8541;730;763;4528;103;18669;2367;1227;9833;19;222;1587;2826;27355;9520;343;3926;2310;10499;8275;743;418;3865;11;55;14226;25177;13289;2038;3088;4248;12752;5102;21904;1913;37014;36537;4237;3812;12567;6096;11407;26272;13960;0;2374;12208;13537;2734;379;14070;6142;55129;6138;7464;3294;14060;18802;1544;3397;46033;61;17601;1043
