238496;294820;68167;1371090;389255;272466;69562;41670;405249;147029;43;168047;226265;1003;156769;271;64886;7587;203809;59407;313165;16052;321488;552197;84986;59381;102042;39238;34773;49539;305916;36136;226960;199989;17863;306942;41808;10824;40828;142632;442709;113898;339422;256617;138710;6738;193416;76370;220923;105622;842461;845810;247913;29718;6671;71065;96282;171796;342811;117613;97307;236162;135912;58943;44510;13048;8966;159286;30105;30823;26458;622654;117996;1252;81334;513959;44497;206277;56455;29896;70792;106557;25734;203377;186862;134751;175267;129023;205234;203659;101404;196475
1556;4812;689;100;157;2348;366;42;1022;1668;0;432;2139;0;2157;1;75;12;492;60;198;142;2369;250;94;653;1373;93;550;1400;1869;46;429;481;36;561;10;166;2938;33;186;111;958;631;81;10;1040;106;2314;530;187;167;1029;41;20;21;215;313;1693;272;120;37;187;1551;379;105;51;3974;484;1887;14;139;928;0;192;117;216;74;333;34;59;422;853;619;377;1856;66;3922;91;636;1157;670
51501;100804;10997;52388;28299;53982;10784;2174;94549;28736;1;20359;48488;99;26455;12;3902;504;41507;5292;26644;1770;43127;41116;8892;7717;16280;5300;5204;9054;59374;3110;42579;30672;1708;51235;1111;427;1719;10488;37677;7360;43996;50787;6550;321;40460;7346;12316;19933;59957;42544;50346;2037;525;6815;9554;28215;65542;16461;13010;11206;14343;9958;6930;1461;389;34293;3953;1372;2406;39525;24905;91;5458;37334;6559;15195;9694;2051;9359;20013;897;37901;11630;23860;12894;26445;15367;41273;16302;39551
26317;52236;6298;50083;17486;23808;5178;1305;75235;16567;1;23321;33052;46;21784;12;3926;262;21391;4157;16758;549;29185;27610;5384;4020;7256;2706;1777;4121;37023;2455;27850;29480;702;27509;279;9;375;9600;26204;4892;31407;35028;2303;0;16673;4087;5353;9624;36641;29365;42819;791;282;6213;6030;19142;60352;10462;9627;5864;9823;4693;2910;371;1;22910;1314;267;2481;41183;13112;40;4191;28267;3519;13401;6462;890;7202;10546;15;27905;7675;18783;10731;14996;11313;20040;7551;36234
24802;33366;5875;42438;11103;21091;3893;1311;46781;15999;1;2784;27131;32;16263;6;977;259;15438;3304;11391;710;24818;20892;4508;3618;6019;2515;1840;3820;21482;1396;28208;20298;664;25130;697;121;489;7639;21050;4373;19773;22103;2720;57;13254;3873;1875;8503;31989;25945;28818;1071;198;4807;5475;17240;42244;10391;8034;4886;10124;4335;2733;503;85;19369;1434;396;1522;30479;12254;57;3017;24382;3232;10674;5659;1146;6655;6528;269;26852;5344;14246;8083;13257;9870;11803;6284;24517
19326;22415;3578;43651;22874;17298;3553;835;43445;12716;4;8349;19893;31;14192;34;1056;166;12736;2424;18872;483;6093;13279;4704;2690;4511;1653;1109;2482;18655;833;12313;18276;579;14689;1138;240;1935;5626;22115;3043;14228;17295;6278;248;8495;3691;12136;6173;30899;44975;25664;1044;150;3159;3193;10581;37295;5851;5818;6862;6362;3001;1955;366;196;15109;899;1318;998;20477;9378;38;2438;21334;2241;8790;4046;1040;3437;7911;1363;13653;3906;12442;8217;11053;6507;19951;4731;20124
8999;46426;2252;8653;13234;5984;5628;639;39749;9884;1;2359;13097;39;10216;15;1294;216;13044;907;11822;511;3664;2505;3608;6765;3131;1138;1721;3339;16746;821;4513;8422;430;3544;1051;159;658;1339;10678;1648;19237;20834;7566;112;3532;3200;2544;4514;4711;20102;17911;1497;180;656;1828;7016;25566;3150;2816;1348;3280;4410;2980;389;148;10593;1339;526;263;3553;6062;51;1354;7446;1871;2538;2396;1622;1234;8580;320;7586;1139;8639;3011;5859;2317;14204;3148;10439
9608;31464;1529;14741;9296;7057;2946;461;29762;8048;0;1971;12873;19;6000;1;545;92;9749;743;8431;258;2855;2089;2402;2232;2134;656;758;1163;14973;688;4733;9077;314;3382;642;11;426;1513;9319;1197;13330;13523;4994;0;3735;2197;3868;3849;5479;20895;15871;859;87;582;1802;5650;23053;2632;2054;1498;2505;1658;1455;186;11;9600;586;269;170;3776;4970;23;1459;9404;1071;2533;1753;845;857;5185;60;8104;1049;4782;2927;3781;1772;8098;2163;10314
8517;22080;1950;16722;8131;7914;2569;353;23296;6264;0;1038;8730;18;5132;2;440;77;7979;785;7541;193;3048;3437;2190;1994;2532;787;610;1390;11746;315;5571;8231;307;4323;351;36;772;1459;7816;1099;9392;9424;2435;5;4813;1831;4280;3397;5620;16160;13690;661;79;582;1714;5288;18968;2662;2535;2127;2424;1722;1247;169;16;7905;493;406;206;3260;4360;27;1431;7755;1039;2599;1831;643;1047;4576;278;7196;573;4329;2887;4325;1836;9204;2440;9166
20098;50966;4121;37271;26150;20379;6395;818;61201;16213;0;8263;24043;28;14796;1;1109;122;20254;2073;20130;475;8166;8909;5984;5308;6707;2060;1778;3863;37096;611;12147;22327;855;13776;610;52;1072;4489;18091;2340;22612;25777;5623;0;11778;5321;14896;8527;15620;39250;36332;1291;139;2317;3392;13258;48766;6941;6387;4543;6072;4658;3291;442;11;22455;1317;674;671;10662;11314;17;2792;16721;3142;6976;4277;1380;3263;13621;115;16032;2234;12784;7154;12449;5406;30132;6554;24069
