293282.206032;1245319.183608;1006373.017693;1030615.325118;1328118.103192;1210701.767111;759775.049200;613909.143120;950919.674204;967930.728937;461372.636079;938186.767255;451688.682569;766696.968008;1021823.784314;910131.233905;844555.768736;639414.329097;569375.631822
4808.000000;17.236729;151.959033;91.549235;727.487489;5003.460672;1964.555816;10902.261506;292.502496;2462.021265;429.640746;487.304732;7802.256864;10069.131690;5177.099561;4433.466684;738.838066;6100.479978;1634.747437
100669.000568;29126.992932;63420.343340;33586.291723;128951.397999;164663.086578;117833.756227;46704.894042;61769.897036;218346.864813;30446.299959;72743.737322;99565.589084;112370.655088;186105.329245;176387.802264;85136.641605;134988.436921;89909.983257
52192.000189;35970.167846;35185.172126;19743.796753;100153.769932;113763.879054;74277.376026;34947.748539;54554.040552;153277.903456;19446.909321;54985.681886;68812.007217;61400.924184;163741.327483;104385.410636;53411.432262;67083.737990;41764.714548
33324.000189;28576.465970;36330.293054;22955.295420;71630.413029;91833.099266;44688.514110;11251.057375;38709.176215;96723.324575;18351.732679;46807.453879;56835.950646;56941.015723;115347.586231;91437.402143;49637.815571;61159.443626;30356.960296
22214.000189;33972.655558;36304.230923;50196.157659;66613.387708;47713.079040;58368.868187;27395.722275;26927.848406;92677.178094;17034.844397;37752.417236;44066.345353;39078.897816;101219.772268;61641.448569;28450.466428;46369.647879;23213.032017
46393.000000;6613.048247;3989.961748;21481.483021;33553.570453;38558.439799;45930.642710;9697.375218;4750.200345;80560.464015;13389.986346;21405.682901;28554.834425;43159.018614;58099.086820;40488.059570;9908.352058;20862.647266;9070.146444
31464.000000;14274.745512;5692.348200;21911.111515;29611.413963;31671.707177;30022.364142;8588.691327;4700.082086;62141.913231;7972.019028;14465.543317;24731.908394;19244.198769;53477.858200;37052.022498;7903.554657;19546.833232;9009.684751
22072.000000;14637.337408;5976.831954;16943.332037;24770.966797;26230.695560;32172.381870;9112.710243;5025.693288;48359.361903;6039.906659;12476.877206;20524.297992;19057.938018;43579.448225;31311.446001;9964.383181;20422.306802;10120.084856
50964.000000;34999.969251;16941.240912;41765.134879;55670.284805;65244.246892;92913.082199;28447.571598;15119.376100;131372.286093;14841.262146;32759.166833;55730.082187;51940.090160;122864.386429;77659.372807;24015.118302;54509.034376;26846.294031
