293395.840583;2661013.598950;3442525.661745;1505718.734960;2656099.286494;2150440.793357;1771406.869754;1529589.214157
4808.000000;236.729681;6783.260043;2733.840391;1367.538839;8862.546144;23224.209609;15277.875292
100681.000000;118677.016812;374856.252894;133682.798814;243886.133482;434782.772230;347076.802634;199084.223134
52196.000000;91446.285208;271786.610001;86520.528257;162458.063558;327172.588006;210636.698106;106881.226865
33328.000000;81065.510565;221617.148472;75811.377968;123146.459181;215966.522012;184071.773469;67890.208333
22218.000000;86654.282723;127566.026187;60254.833005;151899.820625;204071.004385;138657.642651;69888.390423
46393.000000;15626.758007;70006.685948;51128.628903;90859.171495;146998.336476;89161.384564;26292.034607
31464.000000;26311.086120;57052.108933;28091.053365;72315.241411;123231.947289;70001.096022;25015.466859
22072.000000;26726.156581;52165.643297;24420.333802;56378.078071;106835.247364;62689.089847;27511.451038
50964.000000;64396.489351;128658.063390;65722.788231;142919.971749;296476.382468;168385.926919;77078.377892
