89860;294802;27971;3131;141882;620728;27388;19727;182521;36148;58378;136893;118653;151037;163;23284;6837;77104;227019;30336;95337;90240;2268;81081;1254830;10948;129263;148928;179098;6833;314665;78572;28116;142434;564;49987;122009;163144;32499;429187;543614;61236;44142;40477;37159;354956;108876;103451;17046;11497;9035;232351;158173;162872;420932;197083;45737;109196;39686;56225;96252;97025;65635;74804;248308;39;69840;33148;50466;28193;509267;128473;135328;113105;26500;91231;79953;45586;107933;112008;188413;61767;33119;16435;221413;184352;56370;74806;84944;44437;159665;187422;31764;22858;68350;16959;34922;268510;64366;18738;114824;6023;536252;124;116732;108050;45355;117840;5258;100357;113204;59693;292174;773;51951;156301;46770;134937;18543;81172;69005;54321;160119;212235;69581;277704;62477;128577;19898;222179;11543;67360;18887;154030;8181;27447
451;4812;37;4;44;159;691;284;700;246;228;725;510;123;0;24;28;49;1237;3456;291;1885;5;802;62;30;417;1242;212;108;62;315;26;311;0;26;1668;485;234;77;85;1696;38;223;697;97;201;1255;18;15;118;583;553;300;88;72;35;69;136;56;227;146;966;182;1258;0;1032;2194;124;45;119;14;746;73;751;23;471;12;1398;288;64;34;41;34;493;1620;56;283;30;162;1577;931;532;6;392;611;123;200;433;320;1002;13;179;1;109;67;67;1862;13;44;834;153;499;0;279;272;14;2537;717;1332;1581;40;927;22;1835;1061;141;153;2;110;9;244;43;443;20;257
25804;100800;2926;217;9034;44842;4699;3072;35064;5758;9924;23592;32152;14318;7;2929;791;14559;49852;4050;17539;2267;177;13004;44024;527;22762;33110;21185;613;17747;12737;1462;27504;58;1950;8508;35326;5193;21199;32126;11678;2111;5312;4905;17334;18087;23148;1012;729;1047;59617;37778;27257;29127;16374;6056;10216;6132;3518;14136;8351;11182;12190;49107;1;11571;1062;6243;1963;28293;6634;28260;6078;4222;6312;13756;4335;24353;15843;13453;4173;3121;1590;32201;37383;6843;15759;8697;6469;29853;29758;4190;2146;11709;582;5005;32324;11101;2816;21218;307;37650;7;11904;7703;3559;19566;243;7598;20700;3804;53261;62;7908;27467;1656;28446;598;17140;16066;4228;39657;11472;10814;21374;4590;8919;396;22383;694;10624;2035;26620;602;3545
14257;52235;2474;123;8535;25223;2072;1046;31592;2407;5096;16648;22775;9208;2;1869;219;16643;35206;1279;16565;982;101;10033;43872;0;12881;17833;19933;113;13335;6267;820;17339;16;1990;2107;27992;2091;15001;30000;6085;1450;3527;1921;9883;14102;14985;396;412;288;47882;15275;17569;23122;12128;4786;8931;3334;2327;9219;5781;8263;6400;47467;1;6076;57;3458;802;19228;2012;24089;1995;1773;6156;6514;4081;15412;15984;11768;2971;2200;631;24278;26995;5294;7597;6787;3736;22406;17961;1578;2316;5352;65;2784;18636;5820;910;6723;0;26940;8;7379;5376;1870;16274;0;7098;9468;2853;33859;24;4878;23077;530;14527;55;12504;10429;2403;20157;7945;5938;13680;2984;10245;66;6810;250;6612;859;13528;377;1936
10960;33366;1136;106;6760;24166;1960;1113;21051;2134;4890;13775;18113;6596;7;1600;284;1959;22231;1287;11518;722;81;7378;36668;124;13319;16973;17246;189;11883;5940;875;9888;16;417;1756;18423;1920;12594;22815;5157;1203;2261;1775;7306;9386;13290;608;403;392;27252;11530;18790;18600;9336;4338;8290;3206;2104;8887;4863;6181;3786;33677;1;6150;315;2936;1054;17022;2465;17335;2105;1757;4798;5856;3141;14225;12122;9768;2281;1689;589;13180;21347;4601;5492;5650;3573;19647;11063;1491;1325;3872;166;2452;16710;5986;1008;5720;69;19378;2;6536;5359;1674;11751;43;5484;7810;2183;24725;37;4465;13612;872;12033;183;10429;8387;2383;19514;6538;5791;12092;1494;1225;278;4725;393;6739;825;8164;282;1670
7137;22415;593;72;5755;22427;1101;628;18912;1682;3415;9665;8706;8991;19;1092;222;1204;18950;1086;9538;2268;46;7108;42048;367;8254;14205;8248;115;9791;3807;547;13861;23;379;3203;15910;1338;21395;18258;4345;613;1396;1174;18279;5725;10374;483;245;249;27142;7281;9363;18212;8331;2391;4801;1896;1418;5842;4860;5501;4403;28286;4;4987;2099;2629;1163;29167;3928;14785;5299;1081;3590;4307;2022;12508;10244;6241;1733;1248;544;9503;15028;2177;4099;4234;2287;2422;7175;1034;913;3336;615;1728;8283;3812;640;5412;116;13035;15;4873;3738;2355;9742;121;4642;6154;1509;25345;31;2681;14056;1718;9985;806;7599;7032;2553;12942;6051;4542;6825;1226;14182;436;6556;334;4249;642;16060;189;1202
6917;46426;677;111;1291;3234;2093;1093;12507;2591;2828;4897;10815;5063;13;529;233;1646;16304;951;3973;1365;67;5711;8790;154;4663;6307;3087;117;2406;2740;465;8377;24;1099;1529;11656;2470;8614;2033;2930;420;1002;1264;11078;5818;7068;731;262;234;23971;2661;3531;5412;3401;721;1697;1397;917;3645;1676;4960;5307;19695;1;5278;407;3704;1721;13252;259;8068;6219;2376;738;2818;366;5918;3471;1864;801;456;419;14185;10441;982;4705;1715;1536;866;7177;1009;177;5769;249;1273;1718;2495;1117;1980;104;2354;3;1518;1825;3092;8306;93;1507;2734;1012;21675;27;1530;9014;1831;4224;274;5357;4776;1698;3686;2079;4221;5939;283;948;349;8161;310;2320;520;10179;198;3125
5902;31464;575;45;1495;4091;617;487;11248;1393;2034;6070;6161;3660;1;351;123;1314;14724;540;3840;1998;50;2642;15214;4;4727;6233;3435;47;2926;2211;299;6092;8;452;2141;10352;1178;8883;2477;1618;601;1026;640;7842;3848;6831;373;174;121;16942;2732;3588;6978;2976;466;1457;797;596;3084;1383;2053;3385;18324;0;2902;191;1758;912;13037;222;7701;3987;733;877;2016;310;5990;4277;1588;676;376;292;9679;9933;776;3609;1495;877;940;6191;543;134;3110;71;793;1470;1862;486;2057;0;2106;0;1235;1130;1725;4778;2;1484;2644;1132;15362;16;802;7956;1352;4331;54;5070;3649;1417;4776;2961;1813;3927;356;737;164;6385;173;1812;289;5467;81;1086
5249;22080;247;42;1494;4396;735;346;10222;1168;1880;4514;5376;3762;1;411;113;97;10477;682;4035;2116;44;2556;16128;23;4390;5527;3128;41;3579;2168;244;6806;11;190;2382;7961;1000;7757;2138;1930;680;1239;635;5867;2960;5427;304;97;93;15494;3565;4406;5978;2667;550;1621;1002;531;2759;1552;2062;3045;14533;0;2328;538;1644;706;9996;768;6179;2053;755;822;2152;329;4237;4004;1711;471;421;286;6793;6540;812;3133;1686;972;1189;5900;509;152;2455;110;794;2411;1936;356;2606;14;3028;0;1223;950;1155;3492;3;1536;3153;1148;9995;19;1145;7502;605;5054;141;4189;3319;1092;4684;2962;1725;2399;264;1245;89;4683;158;1927;299;6296;85;952
11888;50964;471;49;4135;12477;1970;1009;26680;2806;4847;9559;13171;9633;0;1199;281;287;34098;1623;10029;5644;49;7945;35958;19;10047;14081;8008;102;7512;5102;563;20730;11;287;6662;21709;2593;19029;7545;5568;1362;2346;1860;19538;7892;14296;615;177;257;38930;9585;9362;12507;6766;2054;4733;2569;998;7082;3747;6229;7785;36336;0;6516;276;4412;1379;25069;957;17197;5272;1944;2551;5711;1321;11877;10822;5409;1288;1147;787;15666;18712;2670;7231;4493;2429;2701;16495;1566;596;7541;182;2378;8026;4461;994;5797;7;7577;1;3308;2614;2906;10531;2;3939;7765;2232;27426;11;2840;19638;1159;14644;135;11006;9368;3189;11957;6259;5172;7173;972;11781;146;12084;311;4975;783;20756;184;2512
