146135;294840;175486;199235;4472;468375;63689;91902;354488;373300;329038;531026;47833;666190;347683;583661;144316;81048;34512;156156;466548;277295;193276;213698;2060061;95532;122828;148818;59;590;1025829;1019611;931680;303443;22626;634437;75289;477230;71100;519426;133915;21965;371371;3877;464644;290809;97992;26492;156168;283928;23148;383120
701;4812;529;2557;12;1287;204;113;2795;1682;2433;1628;39;419;252;701;62;122;45;251;3177;4622;410;337;237;47;4708;1087;0;1;406;607;305;2640;210;1904;876;3081;1849;333;787;219;1075;5;188;98;138;263;2701;5598;336;4405
21370;100804;25380;21257;359;70726;6611;8556;60835;75329;57042;104910;4037;64417;32348;71137;14724;4621;2674;11364;91692;18130;26703;26040;97883;3501;17807;27054;1;49;80649;70954;64660;63057;2427;139322;9807;67008;10105;38841;21229;876;79007;268;36166;22006;7056;2844;26541;63447;868;78228
10774;52237;17264;23434;203;39040;2843;5823;51996;33041;47570;68688;3858;47085;25088;44101;12380;4165;1971;8015;64509;7305;21870;16422;79591;1196;8397;13011;1;18;54827;50390;54026;36400;638;108630;3869;47369;3902;17620;10139;5;63108;149;26914;19154;4770;914;12572;42899;9;38898
8605;33366;15965;3039;148;39456;2838;4938;38038;27164;33107;43181;2536;43135;20843;40423;10005;1511;1311;6264;45660;3477;17612;15168;69373;2044;7863;12089;2;19;41562;37353;40978;33722;892;67958;3862;39304;3756;11981;8473;211;41358;143;19535;15752;4242;1169;10823;36115;226;34302
7747;22416;9618;10354;110;27000;2557;3763;35529;18815;32427;35452;1737;29064;15110;20832;6307;936;760;4597;35731;14429;13472;8621;71426;3307;5591;8640;6;62;63575;34162;27236;27226;631;64730;2617;13498;2445;28453;7328;807;36836;88;24179;13162;2466;752;8290;27554;827;27932
14123;46426;5088;2798;145;11394;4005;1773;22245;6737;22004;45122;543;14454;6563;5054;1772;1535;761;2805;24670;3441;6120;4338;17241;3592;7165;7887;2;28;36043;7782;5491;16420;743;51588;3837;10610;2972;21670;10526;315;22652;139;11728;4105;1526;868;6234;19301;343;11742
6298;31465;3409;2114;76;11874;2027;1362;15551;7109;15072;30726;334;14684;5628;4541;1425;885;655;2100;24057;4877;5977;3705;25124;2458;2604;5077;0;6;30238;7996;5190;14957;349;43474;1744;8165;1231;13781;5701;15;20341;61;10310;4039;1370;447;3903;17173;19;11758
5187;22080;4295;1552;61;11967;1698;1387;13221;8797;13332;21927;374;12809;5321;6289;1570;703;302;2099;16749;5484;5666;3476;26224;1239;2919;4748;0;13;22803;6520;5831;12178;308;39366;1557;7219;1334;10530;4725;90;19257;56;8999;4082;1232;330;4368;13883;95;12546
15112;50966;10488;8719;97;25118;3982;3802;37687;22647;37806;58783;1184;29966;14181;17682;5299;1887;549;3977;51463;17131;15323;9243;58091;2458;7859;12539;0;5;58378;18768;15855;31173;787;100611;3952;19270;3790;33978;12653;65;50485;61;22637;11358;2482;865;11960;37998;63;33369
