168465;294804;41451;79803;38042;291082;211066;36869;113200;122581;515;45142;38806;337417;176715;215037;128719;182611;229255;168583;731019;112906;10100;169745;370366;82109;701;20405;170;38111;85612;160646;21196;38845;31974;212087;7127;110009;210525;490479;55250;156966;39321;84854;14262;265548;84377;10163;27803;308042;155876;96994;15886;73941;259781;581010;39259;19300;78641;18926;46918;169931;80756;111038;7787;127572;37990;515585;176625;88956;82641;232565;64929;56864;2437;173635;278201;11566;84672;78159;97129;104269;78613;180515;86649;80241;74680;64818;95707;76722;163459;43294;66845;23672;153092;141339;3324;44478;102270;144385;15417;89091;37525;25898;686632;143875;60983;34325;87524;29508;222219;10052;78407;37;276320;119693;1151505;103066;31713;126612;34112;180853
658;4812;27;236;253;93;35;34;1547;493;1;265;45;114;1704;1228;365;94;539;114;136;280;82;1091;43;1698;0;352;0;625;25;698;397;10;4;165;45;106;418;79;161;90;247;801;18;211;948;106;198;805;1113;195;29;120;838;98;3660;33;1372;18;52;1916;1611;103;62;135;46;184;321;331;31;2021;886;46;6;873;525;34;1837;1390;430;44;191;610;41;36;258;49;302;171;759;58;1079;700;243;28;4;128;378;1493;11;355;143;889;176;1936;370;580;352;1564;105;22;205;0;1195;1260;68;2198;1704;556;117;104
38594;100802;5371;4940;5782;20826;9459;1936;25666;22640;48;6350;3591;16620;30442;39143;8903;16355;61113;14215;35191;20357;1176;33421;24656;17212;51;3000;7;4970;6439;29870;2969;3628;739;22049;305;7324;38214;23765;7511;12566;6091;14376;913;31374;21994;1146;3402;27539;34058;12051;1509;6111;48347;34294;5348;2054;14781;1187;4218;33531;5477;12645;344;12736;2308;36166;26547;15947;3382;33934;11198;3233;194;35581;48288;551;17857;15027;14812;8063;5025;42354;7741;9493;10928;5314;20003;14555;37103;3816;9491;3747;28318;9029;235;6752;16649;30964;924;14819;5969;4205;50011;6690;9149;4740;14441;924;22909;750;12839;1;57638;24727;44729;22013;937;36134;4671;15160
16145;52235;4305;3735;2459;14854;5124;1133;16247;16426;17;3431;2565;8254;27378;23171;10217;12419;47807;9035;23751;19304;281;24968;16479;9312;23;1003;4;1954;6077;20092;914;3737;166;21376;2;4852;23341;19375;4292;8614;2543;5520;544;17810;13978;328;1887;18366;17343;13194;592;4339;44758;31364;1921;912;11162;445;2606;13575;2220;9655;3;9592;841;25525;25562;7653;1160;24101;5463;3336;108;31457;31441;0;13064;11412;8249;7112;3821;29212;6173;7840;5024;3029;11371;16611;18170;3193;4935;1601;19202;8437;126;3726;9427;21255;347;6945;3420;1702;29253;1436;5451;1778;6980;64;5991;483;6415;1;50214;14462;42502;11841;46;22917;2586;13096
12186;33366;3855;1957;2202;10501;4470;1175;14271;9936;13;4081;1990;6226;19729;13326;1221;9508;26995;6711;22403;13060;396;18911;14343;8070;37;1073;4;1907;4593;18416;1033;2395;489;17952;75;4334;13454;16041;4312;7490;2297;4686;508;15631;11564;450;1548;14001;16700;9570;563;3397;29171;24127;1746;888;8457;667;2107;11134;1744;9145;85;9739;1233;18402;16617;6968;1526;20928;5356;745;86;21615;21332;127;10630;9026;5753;5538;3075;18644;4721;6644;3670;2827;7843;1968;17766;1653;5130;1521;19936;6992;112;3512;9423;17389;521;6430;3103;1588;26816;1177;5051;1728;6305;288;4396;345;4004;0;34930;13946;35820;9905;256;19326;2284;11538
8189;22415;2103;1452;1760;17214;6352;717;11370;11198;26;2045;1462;16916;16522;9831;13441;8530;26771;9947;39264;11139;271;15519;14647;6870;33;604;24;1228;3344;11480;687;1617;783;9140;151;3154;20933;17946;2813;5343;1715;3268;311;8185;8994;305;1223;10064;12977;8266;513;1937;26882;19231;1269;662;7149;565;2646;10165;1783;5642;158;5851;1634;12284;8442;4836;3687;3355;4123;969;49;18746;20024;375;8013;7340;9137;4625;2632;15864;2677;4026;3759;3140;6484;1211;11838;973;3801;846;8330;5897;76;2144;6073;12015;456;4268;2077;963;24818;5050;3219;1201;4283;1651;6197;250;4688;4;27986;12701;37986;8253;1879;10425;1631;6787
2954;46426;590;478;3063;8084;1009;565;7426;8745;23;1496;572;11886;12872;11217;1002;3148;25038;5642;16935;4706;285;8216;4427;3979;22;1027;12;1255;746;5573;1053;300;715;2999;115;1566;11123;4867;1777;1765;3121;1825;312;1663;6820;268;3126;10229;5535;2717;400;1037;18654;2245;1451;485;5314;767;2025;3525;1338;2770;124;2869;2400;2234;8578;4044;4078;1692;4973;1125;71;11612;19656;171;5568;5193;7103;1620;1312;16948;1080;1396;6577;2159;6131;1643;3402;909;5492;1840;2867;1342;121;1437;3320;9092;486;2179;1565;1804;4041;1787;2249;1179;3094;408;8087;233;5275;1;20251;5992;8014;4414;406;9608;1254;2634
3062;31464;353;449;1476;6707;987;402;7265;6015;5;1262;450;8184;9092;9192;796;3120;16787;4076;18167;4634;142;8471;6405;2621;13;439;0;655;846;7076;444;248;399;3283;10;1130;7950;6082;1106;1365;1477;1656;260;1406;6206;143;1187;7770;6033;3290;289;1231;17521;2653;733;285;2689;420;1339;4047;1645;2154;4;2259;1363;1973;4762;3164;2903;1441;2631;485;54;10326;13820;4;5087;2745;3640;1532;1404;12209;895;1044;2906;1693;4520;1391;3892;699;2373;543;2946;1604;50;907;2841;8464;303;1804;782;594;4784;2738;1083;616;2588;83;6832;90;3533;0;19441;5740;13347;3277;110;7271;760;2068
3945;22080;431;243;1275;5814;1654;320;6021;5829;9;1293;483;5675;6406;8023;1389;2732;14009;3982;13799;4983;121;6149;5709;2887;16;323;1;664;761;5743;347;268;200;3128;13;1047;10141;6745;1169;1436;1283;2009;119;2282;4723;109;944;5354;5535;3309;267;1213;16169;2270;831;283;2499;345;1116;5014;1841;2446;20;2094;847;2924;3439;2948;1356;1659;2169;367;47;8972;9752;24;4380;2649;3366;1546;1528;8615;764;1391;2427;1361;4011;128;4110;380;1979;598;3693;1586;45;1076;2705;5400;251;2017;1016;668;5108;2867;1516;608;2405;314;4777;103;2956;0;14017;4659;14328;3791;381;6452;786;2198
10548;50965;1588;774;3089;16182;3881;712;15847;16659;12;2406;1344;18578;17719;22877;11735;7171;36388;10090;33203;12125;327;18970;10309;8518;5;954;0;1934;2531;11770;958;1040;352;8254;6;2323;29741;14660;2951;3796;3201;4761;219;7843;12150;283;2540;12912;13556;8566;745;2517;39673;8454;2127;779;7656;698;3119;12668;4443;6780;23;5355;1765;7272;10174;6887;2642;4277;6045;895;53;23477;25478;18;11706;7719;12043;3766;3068;24844;2779;4052;7795;3981;10275;274;10578;746;5563;1597;8178;4387;55;2771;6851;15008;490;5086;2491;1686;13750;8524;3732;1799;5974;259;11919;224;8116;0;40280;12122;31695;10961;270;14851;2360;6634
