81271;294808;11695;94956;10915;60547;970;102698;361234;79794;545;141047;146004;467054;110154;332235;138433;43575;2335;38456;197368;134015;198189;102476;226733;34399;138195;60726;385491;152194;28521;262115;121389;65473;90503;182180;537771;187282;17770;228613;8979;29232;43669;38044;182;52431;7326;60052;198351;83895;4546;169969;31263;80003;42357;54839;45113;80631;33075;22742;98996;205747;102845;140952;287938;222128;18241;202743;17174;119473;276075;7700;117562;55022;46344;65544;69362;776471;204899;100;165860;32111;198144;42432;219125;130272;143602;48333;111294;592884;213625;111827;271506;194449;21748;789300;1347347;98281;25267;316902;46277;39;92730;304005;22440;90317;273283;102578;12068
273;4812;121;1541;86;43;0;329;113;1371;0;1824;328;84;361;978;559;670;5;266;109;109;69;2368;512;33;381;893;101;986;9;2186;69;254;1256;734;198;402;26;34;20;712;48;9;0;65;51;19;71;190;7;465;1713;50;360;362;96;611;1130;20;225;311;1951;403;1213;1022;35;889;14;30;632;52;1625;39;3658;211;63;193;1975;1;1872;1764;2534;53;665;525;112;155;1287;115;1332;43;289;323;57;178;72;49;446;887;294;0;392;227;443;384;1666;2058;38
13664;100803;1327;17871;1256;7810;79;17273;18708;15110;51;9547;9283;33357;17199;35926;25821;6030;184;5860;16322;9742;14212;21909;40216;1759;26038;9263;27823;29440;2633;39479;10073;7512;16120;38263;38819;30984;1209;10422;659;4711;3979;956;9;4362;310;6026;15588;14750;306;26506;997;6926;5211;8282;6399;12583;5385;1371;6649;31399;21651;27500;60165;45102;1896;46577;1072;7972;49732;341;26604;2141;6921;9096;5723;56579;43799;6;27244;984;39619;3000;54650;8842;13031;7474;23765;35749;44196;4838;36676;34391;2232;42768;47352;10850;3656;69432;7283;1;16125;33638;3136;15640;52000;7942;575
6536;52236;385;10135;312;6262;32;8979;10397;11175;16;2102;6040;23374;9928;24160;19417;2431;102;2479;13595;6244;12242;12211;21813;995;23900;4021;19646;13410;2797;28107;8500;4915;12133;18744;27000;23932;765;5657;418;2054;2883;237;2;3579;2;5357;12259;16822;165;25737;76;5138;2897;4988;3517;7083;2246;553;5207;23345;15837;16611;54777;40174;806;19101;425;7759;35171;3;16915;2036;2662;5309;3645;34279;30981;7;23857;64;18759;1227;37605;10115;8435;4334;13856;37365;24551;1600;21247;17642;974;29205;46642;8932;1195;58539;3148;1;7232;21956;975;7406;31563;2485;0
4198;33366;521;9984;416;5646;48;8268;7802;8892;15;1761;3881;19978;9873;17184;12177;2299;82;2216;12218;6020;9751;10794;12650;1046;16248;3403;16852;11940;1659;23919;6771;3648;9166;19082;19956;22855;656;4694;311;1951;2280;612;8;1997;77;4221;9094;1989;142;18781;307;3987;2462;4941;3282;6683;2157;811;4047;23321;12990;15280;38030;27688;787;15214;583;6165;21650;86;14712;590;2405;5137;2956;29890;24839;2;17209;263;15689;1504;23770;1222;7321;3965;12980;27616;22621;2000;19150;13352;894;25738;39540;7824;1279;35870;2786;1;4942;13379;1113;6691;17691;1957;130
4922;22415;368;8544;299;3037;35;5411;18427;7418;24;4246;3023;18617;6045;12007;13183;1472;47;1755;7198;4179;8586;9032;22869;640;13761;2469;17415;9121;1151;4596;6150;2041;8182;12087;12899;10886;393;6790;220;1122;1695;1010;20;1119;156;2692;8765;1380;109;15889;1768;2396;1911;2725;2163;4892;1344;713;3812;11150;9643;9516;31462;24142;578;10070;503;4802;17354;158;11820;416;1744;3392;3864;28367;17958;14;14632;1840;13282;1944;20446;14138;5555;2748;10485;19896;17421;5103;9357;11259;763;44610;42652;4704;725;33378;2072;4;4967;21026;707;4560;15221;2722;399
6284;46426;345;5436;309;985;36;3954;11012;5525;22;1759;772;6852;3290;13983;9245;1506;71;2950;2698;2339;2531;5064;13491;527;6193;2113;6584;3699;223;2296;2275;1424;6186;4210;2407;6345;362;1297;211;2409;659;911;16;1002;118;597;3807;1738;154;6510;427;1076;5080;1555;1443;4920;2546;1036;1621;4142;6968;6791;22563;15758;439;3649;606;1019;21422;123;7623;1164;1867;2139;2690;4622;11881;2;11809;431;5318;2677;22244;1027;1603;1973;7370;2931;8412;5721;1924;10512;574;20246;8091;1815;1147;29223;3262;1;8012;13026;1151;3583;14343;1537;173
3832;31464;170;3255;153;679;18;3312;8092;2773;7;2553;739;8857;2891;10106;6999;798;51;1466;2176;1441;2594;3297;8538;387;6083;1183;6499;3782;180;2114;2114;1452;2999;4656;2113;5941;382;1463;85;751;537;536;1;686;11;483;3562;1414;65;7552;84;858;1769;1116;911;2764;834;551;1672;4409;6246;5986;21304;14124;259;3820;360;1247;13648;4;7482;549;913;1347;1825;5355;11249;0;7709;121;5739;1547;15427;911;1344;970;6640;3329;9371;4005;1751;7914;398;20137;14650;1525;521;22629;1685;0;4031;9010;478;3062;12534;2062;4
3122;22080;137;3083;132;825;23;3149;6051;2677;11;2850;431;7202;2726;7086;6652;828;45;1237;2390;1284;2545;3602;9994;288;6177;1314;5906;4061;205;2389;2099;1687;2818;4896;3211;5439;152;2060;93;781;562;285;1;497;13;511;3348;161;50;6707;341;706;1479;1383;1097;2563;885;432;1891;4938;5100;5349;17181;12187;253;4893;294;1145;9434;20;6281;288;1063;1399;1496;5530;7351;0;5391;397;6593;1050;11063;1495;1356;1333;5208;2837;7682;1942;2728;6460;382;15431;16520;1859;380;18527;1488;0;3467;8725;365;2712;10354;2176;25
8916;50965;335;8754;365;2811;14;7266;19802;7943;12;7954;1699;14826;6855;17240;18561;2373;49;3046;6961;2994;6772;10275;31451;673;15811;3680;13338;10648;724;6176;5803;3189;8732;11071;8055;12848;282;4431;201;2097;1511;501;0;922;8;2040;7947;493;78;18115;264;2324;4030;2958;2868;6955;2284;882;4049;11118;13790;13153;45032;31491;714;12826;599;3415;25503;22;16366;432;2926;4018;4225;14955;21163;0;15684;303;17724;2355;29611;12035;3603;3221;13219;9436;17791;4104;9089;16628;1116;37858;36751;5174;1172;48380;3796;0;10482;24139;1021;6697;31781;5435;22
