182984;294807;1422196;132614;72405;287340;151318;76670;98123;144128;23689;204443;7933;42707;309575;37749;5846;188;258971;516524;216821;370917;10521;264744;33779;272962;28233;123051;147692;93401;98215;39706;124726;235630;15838;460277;3171;52674;871;80601;136615;88704;197254;92265;119813;44671;45662;55854;51027;68111;257162;176994;12028;774697;225843;93559;27532;165961;87306;217680;273643;329844;193122;755862;24112;84575;6800;220664;52585;34985;346331;18316;58250;28862;21640;13955;79993;38149;118089;208744;37;8531;175233;41445;277365;149897;601377;21252;143807;158779;69111;23572;109575;61802;92859;102558;19579;69252;86582;653;176190;136454;106949;208141;236177;141714
2507;4812;80;297;24;1434;136;277;50;1216;30;173;10;4091;692;9;18;1;282;190;885;134;90;2193;958;288;1666;129;132;386;47;379;661;562;577;74;4;73;0;197;26;2064;2026;117;207;311;60;510;927;83;829;329;114;205;84;1982;9;457;281;122;1634;899;1910;181;418;166;17;245;53;43;102;17;243;1285;61;18;1145;535;232;930;0;81;1745;732;741;489;121;313;446;52;118;50;1572;196;553;481;19;67;1164;0;780;1432;2323;1111;30;2037
34951;100801;50966;8546;7039;58286;16485;13600;7765;36780;1210;20268;384;4076;58245;964;471;8;37008;36520;48054;22704;1203;39295;5739;36642;948;8417;13803;15541;4461;6160;8758;41026;720;30867;228;4082;90;5224;10265;15761;12366;14953;14403;7158;3959;8789;7459;5559;61177;27657;1342;56300;17766;15791;2597;24855;18158;16121;54226;33972;40378;43306;3607;11482;306;29378;4430;3210;25907;1149;9338;976;2216;903;14269;5108;15729;47121;1;348;39248;5725;66563;28273;36135;3109;28122;11063;4421;2739;24898;8433;14690;17034;1143;9187;15982;48;34056;24082;22973;42731;10946;22995
15788;52236;49883;5520;6325;54102;11335;6680;7312;21298;688;16688;0;1333;39557;226;265;7;17118;25016;20394;12712;288;27700;2511;21037;129;5490;8904;7451;1563;2595;9938;24910;131;23360;121;1731;35;3895;9211;8443;2875;17096;9676;3025;3244;4860;3079;3804;50328;22502;405;34101;13778;8680;2739;24129;8833;9476;32921;22660;27373;29945;1190;7640;0;22263;2810;2174;17466;442;5195;21;963;532;10737;2681;10433;23176;1;4;21594;2260;52991;16215;37004;985;26242;10095;4069;1284;15736;4930;7134;8488;439;7164;12213;23;22653;10564;16169;38394;6184;19085
12890;33366;42249;3480;4966;38422;8739;4494;5728;19068;705;15657;81;1264;25391;614;182;4;13420;18425;16070;8824;404;23810;2381;19127;255;5002;7687;6767;1878;2414;1226;14680;241;19492;106;1955;26;3040;7486;8212;2383;2008;9889;2756;1738;4834;2668;3349;30649;19586;535;30363;10129;8675;1631;17574;6502;6505;18367;16098;22039;25597;1255;6824;61;21542;2303;1687;14660;609;4755;303;883;500;8116;2265;10151;23425;0;98;20113;2164;32870;9356;27224;1110;18115;8067;1367;1218;13624;4660;5760;7881;663;6459;9427;37;20761;8745;13403;27418;5090;13825
11010;22415;46553;2777;3192;31284;8324;4384;4630;14069;462;8643;272;1991;21592;1001;135;23;12352;12247;10639;20470;278;4568;1372;9418;1422;3571;5489;4650;4442;1832;13446;23283;451;18663;73;2426;30;2591;5643;6654;6005;1472;6385;1950;1038;2825;1916;1918;27349;8824;383;27899;9821;7092;1131;15442;4967;11754;15642;11709;16123;44227;707;4806;143;10466;2969;1304;16604;549;3027;1629;771;300;7203;1701;5619;14706;4;187;17031;1388;30158;14006;19404;734;14640;6061;1257;858;11065;3072;4726;5519;586;3363;8171;36;12816;6974;10079;22896;7081;11955
4503;46426;9258;706;700;22537;4471;5652;1592;9538;419;3940;127;1026;25720;905;175;11;11809;2238;3878;13611;284;2368;2640;2001;412;1913;1910;3394;5236;3461;1218;13544;250;5433;115;3984;31;1375;1411;5147;2457;1744;3350;3154;947;1841;1784;1142;25353;5801;343;4842;4274;5505;201;6174;5695;6349;15950;13345;11070;20509;1159;3203;113;3815;2120;523;6862;689;2186;368;592;318;5631;4161;2901;4762;1;133;7481;1552;25325;10254;2861;1169;6780;1469;1223;652;6984;2135;8166;3241;784;1216;5672;23;6368;3451;7126;14603;1397;9798
4666;31464;16254;669;589;21132;3650;3787;1535;9495;246;3119;2;690;16208;531;86;0;9060;1962;4105;9536;146;2003;786;1771;188;1385;1634;2799;3500;1546;989;9523;86;7456;48;2092;12;1468;1566;2731;3763;1362;2721;1555;722;1344;945;968;19162;4704;176;5437;4141;2822;165;7028;4163;4762;13331;9824;10596;19472;517;1992;2;3671;1442;423;6718;402;1251;92;413;258;2627;1359;2472;5766;0;5;7383;738;19598;6161;3189;492;6850;1482;680;366;6876;1346;4160;2598;418;815;3110;12;7934;3086;6370;13332;1697;5701
5728;22080;17819;393;595;16318;3825;3140;1568;7397;219;3360;14;823;11133;281;73;0;7114;2977;5214;7241;125;2329;877;2771;392;1300;1521;2548;1735;1318;1627;10935;107;6587;44;1408;15;1570;1562;2545;3916;146;2562;1402;398;1643;1051;847;15554;4172;139;5567;3776;2670;193;6442;3642;4216;10935;6871;7037;14898;381;2356;10;4318;1184;462;5723;324;1536;346;400;120;2514;1238;2452;5841;0;23;6653;793;16240;6851;2711;387;6346;1476;661;388;5866;1360;3354;2655;344;1022;2955;17;6612;3751;5379;10689;2166;4189
14698;50965;39711;1530;2392;42351;9626;8121;3974;18057;478;9243;1;1838;30339;505;134;0;17774;7543;13612;21986;332;6163;2533;9236;521;2787;3947;6425;3710;3228;12065;32939;189;12893;55;3220;18;3170;4559;7371;11368;676;6472;3531;784;3152;3007;1883;40735;10795;341;15311;8909;7747;698;17533;8956;13410;33757;16454;19931;37886;1145;6011;2;9889;3337;1204;13124;631;3928;149;1155;216;7804;3326;6693;13410;0;26;17788;2230;42140;21285;9385;1079;16288;4358;1661;1019;15388;3856;9929;6674;674;3271;8667;3;13479;9372;14722;27972;4806;12931
