2852121;294912;237442;1359039;372841;225795;1358742;747162;4838962;2646717;757302;4478;152047;162630
8151;4812;326;10077;6706;152;19614;1132;2364;5165;1029;4;1788;1974
506456;100811;20419;218883;27342;20161;272898;60820;323292;276573;84843;316;19002;20911
375093;52239;15031;103314;26847;17020;180192;27247;236306;196806;63273;171;7397;8162
246333;33366;11675;86752;4394;13512;151791;22904;190322;171616;54238;152;7538;8304
243761;22419;7708;65839;21621;8678;121728;37993;188430;94097;37658;153;5251;5874
179215;46426;4728;27128;5642;2800;78931;41794;81429;34576;17530;169;7529;8569
144620;31465;3600;27295;4472;2103;61781;23278;80754;32717;13983;85;3426;3903
122261;22080;3060;30570;4613;2127;51339;16799;70176;34180;14952;73;3075;3493
332518;50966;6892;78989;18212;6778;143304;49211;167671;83107;39606;77;8225;9046
