122888;294804;321888;84825;209515;159530;35;81337;444694;167625;46523;18988;145540;178138;181438;56272;155880;11459;183985;53300;10955;154044;38587;123805;89473;151673;128681;264076;84613;101195;277567;89521;29588;70040;106280;229082;33280;9315;164;38919;22613;11004;8441;115118;35500;35244;101800;41702;31500;33246;505;29943;47004;723896;89761;113231;441421;89775;66663;337672;159072;24318;2450;217582;57444;184630;66688;107451;84870;47137;18752;196793;53182;98377;22379;114272;291591;56235;113160;99897;54513;100124;5925;508877;45185;48889;150435;218074;586;109611;556851;102301;60478;51114;111439;1384607;17700;211621;603560;260436;10236;37499;22255;173461;214137;110377;90814;217606;2645;123561;85391;319551;105401;40835;361750;150504
1637;4812;866;1221;510;511;0;49;126;415;12;47;580;603;1336;226;1386;109;1205;65;99;427;262;411;350;339;406;1612;232;1428;256;42;1918;39;288;112;2303;84;0;674;609;15;58;135;6;37;1989;614;40;933;1;705;45;171;388;126;97;1199;183;587;1139;423;5;74;266;62;60;1845;494;47;18;570;2663;387;384;454;1441;31;1044;25;31;60;7;125;155;253;153;27;0;142;191;207;263;306;1589;64;16;1413;105;2033;22;218;52;85;54;2442;359;228;3;52;2637;580;1585;48;118;1303
27848;100803;35673;16153;40637;29483;1;3729;27600;36242;4381;1867;31297;42090;38634;8436;5549;1266;32661;3788;1270;29702;6117;27825;15730;19894;23217;51107;16487;13539;33819;10377;1111;7549;6281;21903;1157;394;7;5788;816;685;359;9484;886;1877;16161;5779;3139;5419;47;4614;2122;52536;14258;13750;31687;16904;4491;67945;33091;3529;194;17307;9275;12166;4331;22170;37344;4198;1130;36034;7801;15677;3309;29193;58683;2794;20789;7028;7102;7543;279;28916;6340;7177;14714;9859;47;11788;39487;12759;8095;7352;15752;46250;1078;42007;35924;34075;773;5198;2564;14213;13800;23418;13855;24644;191;8672;18032;55602;20290;3787;18295;32435
17618;52236;24465;12332;35768;19673;1;1404;18009;23915;4342;803;19291;17648;20608;5370;4020;378;21449;1554;306;27514;2590;20460;7547;22771;10921;49140;8496;4317;19858;8436;178;6079;4738;5487;152;5;4;2329;10;394;3;6201;208;1102;13200;2278;2577;2419;16;2092;1474;30989;6967;9964;26420;9031;3313;58460;24425;1149;107;12742;5262;11125;2793;11693;20680;2640;431;21305;3403;9009;1082;19766;44692;2868;17114;6816;5653;5409;0;19874;3526;3103;7762;5362;17;8180;28430;13728;4455;4417;4835;46710;416;20352;33623;23178;541;2695;1143;11464;10811;12466;6843;22277;100;7223;12838;35783;11547;2717;9388;23800
15463;33366;16326;9448;22236;11926;0;1696;15683;24269;2906;747;18351;13285;19389;5184;761;506;14261;1799;432;17906;2297;13941;6609;2688;10568;35515;5472;3568;17869;6757;325;5060;2716;3964;310;105;4;2131;244;392;83;5682;573;1132;9514;2229;1243;2286;13;1915;1250;28896;6525;9195;22321;9027;2557;35762;19035;1247;84;9819;4841;8857;2557;9815;12200;2241;658;12751;3085;9156;1161;13546;29833;588;12533;5269;5025;4197;48;16317;3213;2685;5342;4390;33;8360;20739;10116;3748;3687;4126;39036;590;18272;25459;20689;356;2617;1119;10738;8599;10542;5028;19946;88;5880;10530;25360;11613;2137;6980;19338
12296;22415;12088;7949;20677;15481;4;3666;24810;10673;1960;654;11706;8729;15586;3091;12676;350;8984;2397;295;15629;1666;7245;4530;5209;7186;29130;4971;3212;8850;4816;1438;2446;2044;5399;1763;200;18;1530;1119;243;176;4816;918;709;8296;1418;684;1312;24;1240;689;26305;4343;5959;19557;7268;1982;36574;15580;821;50;8155;2963;7580;1801;8159;8783;2593;557;20259;2105;5856;644;8613;25012;613;10935;3888;2754;3326;246;28393;2310;2359;9038;6571;36;5341;13751;8828;3179;1893;4143;45411;537;14458;19974;3568;267;1729;792;6266;7730;8703;4596;10103;59;5802;8073;25006;10132;1573;18457;13438
8397;46426;14811;5609;14302;10505;1;4491;11829;3755;362;499;7129;2978;7207;1648;1725;319;7396;3788;315;7660;3043;9772;3742;2304;2459;21989;5906;1655;1813;1821;442;1012;740;7863;479;144;10;1464;280;257;140;1967;813;581;7195;1480;735;2749;23;2895;419;4397;2623;3313;5829;5795;1267;25862;7813;1356;71;3108;2042;1927;1130;4470;12811;1550;757;12621;2557;3228;1078;10762;18724;1217;7121;819;799;1167;99;13311;1529;3716;6645;960;20;2697;2682;2865;5754;1521;1700;9491;644;4556;2389;2003;233;2013;608;2293;2590;4447;6306;3849;102;1871;5449;22400;6915;592;11696;8962
8052;31464;10889;2964;12881;6970;0;2956;11371;4392;307;358;7354;3090;7728;904;2446;168;6991;2068;154;7428;1381;5776;3225;1933;2374;19495;4188;1870;1586;1617;199;791;637;6720;228;5;0;769;42;152;12;1447;491;389;3527;768;622;823;5;957;614;5152;2084;2524;7463;3646;1298;20813;8074;553;54;2657;1214;2070;729;3358;8101;1171;403;8007;1053;2649;465;6971;17975;510;4554;960;510;964;0;12316;1060;2074;4304;1112;10;2090;2321;3471;2300;1458;1927;16675;375;5667;2894;1488;86;1033;342;1875;2802;3478;3494;4102;45;1845;4907;15826;5183;503;8346;8513
6452;22080;7607;2796;11315;7413;0;1435;8753;4948;319;340;6408;4097;6475;1245;3072;127;6150;1320;132;7354;1229;4456;2764;777;2613;14820;3673;2232;2537;1843;373;860;297;4592;502;25;0;796;238;96;16;1509;262;304;2887;767;270;854;9;902;721;5528;2103;2760;6605;3113;1336;19144;5751;438;47;2631;1507;2100;607;3843;7476;1054;333;8767;1248;2647;350;5298;12755;291;4208;874;628;765;5;9805;1010;1624;3825;1763;12;2002;3366;3472;2110;1572;2312;17795;310;5874;2498;1539;104;980;367;2076;2924;4090;2980;3806;43;1908;4367;10787;4060;521;6044;5578
17032;50965;18156;8292;29062;22185;0;3046;21301;10517;1265;984;14133;11073;15855;3100;12943;319;16345;3005;355;19278;3116;11675;6725;6505;6550;36494;9052;4926;8354;4844;537;2946;1044;11702;603;31;0;2325;95;163;12;3663;453;698;9158;2200;529;2491;12;2329;1504;14912;5368;7414;13920;8534;2516;49423;17832;1210;51;6443;3696;5675;1227;11155;16679;2866;663;27449;3060;6686;1042;13391;40959;512;11974;2831;2244;2114;0;25060;2999;3971;10775;3686;2;5291;8322;8993;5831;2962;5317;39390;598;15561;8816;4193;229;2678;976;6117;6354;11552;9160;9625;50;5007;11821;29351;11054;1447;20142;15479
