775057.000000;1306210.000000;8444417.000000;4974413.000000;1307081.000000;6240847.000000
21172.000000;12012.000000;18810.000000;27903.000000;4008.000000;31742.000000
82007.000000;293757.000000;1102266.000000;787539.000000;188331.000000;1095772.000000
51437.000000;153046.000000;640739.000000;411662.000000;103379.000000;647022.000000
19280.000000;105999.000000;468635.000000;337569.000000;87567.000000;438728.000000
34186.000000;89471.000000;388573.000000;232192.000000;61959.000000;482368.000000
18474.000000;105377.000000;327793.000000;140259.000000;47415.000000;393651.000000
18366.000000;78200.000000;273204.000000;134727.000000;37356.000000;317698.000000
17853.000000;59941.000000;226979.000000;127546.000000;34123.000000;284455.000000
43670.000000;135935.000000;553927.000000;304053.000000;81367.000000;738960.000000
