403705;294850;8901;87345;40768;120338;429127;316104;290825;437286;160166;2005256;93140;77741;213825;558529;279947;186169;80001;116393;223813;715487;150667;244988;950713;170050;16655;336218;462517;414768;21079;9647;52429;107;57814;235163;292327;56337;1044;57502;365425;855;18945;77970;169045;171615;592360;283497;61252;16893;781085;132903;140666;351324;49527;113980;213987;497140;772855;169438;359687
2715;4812;12;2305;48;602;839;116;2598;1183;265;199;3007;106;447;2095;2538;49;103;672;928;241;550;5576;505;172;125;1170;1219;695;205;23;944;0;4071;3065;1409;126;0;25;2708;1;153;38;237;204;162;3431;656;128;262;456;1722;3809;72;1712;128;285;286;196;888
54801;100805;562;13656;2628;20305;86284;22665;52840;64445;11378;92828;14362;3772;30378;117138;52041;16229;8057;21071;52376;43147;23741;54143;62225;16557;704;69261;71168;65883;2147;730;7212;2;1942;45703;58476;7649;83;1794;72693;83;2070;7364;20166;11896;47030;15681;7977;672;55183;19513;23567;72113;4346;18302;18366;42759;56371;20585;64802
38164;52236;311;6457;1176;10025;58621;19259;44880;34751;7834;76256;6786;2452;19711;102036;43412;14483;5097;10349;27347;27419;20438;35432;43002;10873;3;61400;50209;37160;648;445;2562;1;162;26769;24991;4074;31;514;45386;36;553;6896;13305;4809;31913;8443;3010;2;38797;13473;11013;34477;3501;8513;15234;40024;42142;23555;36240
32607;33366;310;5934;1493;7783;38039;15585;33459;35297;6597;67580;6250;2059;19602;68319;31979;11583;4405;7921;21332;19584;16464;29968;33189;9226;164;41077;30868;35622;857;325;2662;2;570;26162;19444;3753;52;1118;31466;23;733;5017;10903;4590;28025;3210;3050;162;29943;12863;9541;30486;1911;7289;12221;33412;31952;2796;20697
8925;22416;188;4004;1510;6683;36555;13248;28862;24901;5126;68836;4369;1121;11379;57870;27398;7945;3290;6832;15082;39707;13378;22978;30920;5866;491;34777;22552;18418;599;224;1687;14;3542;22745;13289;2449;53;1706;23720;34;521;3283;9549;7980;23677;13209;2032;511;45299;7351;7203;24749;1123;5564;10162;20335;20276;8879;33818
5965;46426;258;6462;2239;8775;35106;3812;18044;10489;2833;15550;6668;1395;6048;46054;18039;2050;1723;8790;16059;23446;5398;16623;5101;2635;244;20661;29780;4578;619;233;2638;9;782;12395;5134;1715;39;1669;18229;31;614;773;6501;11616;10755;3658;3221;274;22058;3454;4987;9796;1091;4164;4145;6303;4140;2429;21743
4413;31465;114;2191;1211;5126;23767;3839;13044;10715;2279;23498;2362;950;5608;41146;13093;2028;1302;5346;12368;18039;5684;14937;5709;2165;6;19604;20513;4410;314;115;1120;0;327;9595;5436;1020;18;1099;17431;11;297;555;4521;6298;12274;4870;1525;10;19977;2616;3385;10460;922;2577;3698;6354;3570;1925;14230
4285;22080;90;2410;896;4526;16985;3806;10694;10946;2342;25175;2514;754;5368;33183;10527;2118;1331;4468;10674;14386;5423;12155;4701;1906;59;17436;15156;5809;250;122;968;0;913;7988;6971;1172;24;632;12995;14;243;577;4637;3678;10139;5404;1244;54;15779;3145;3687;11268;412;2846;3483;5936;4930;956;16128
12021;50966;141;6457;1880;11476;44188;10455;30291;23319;4571;55710;6791;1373;13967;87698;30496;6689;3739;11647;25827;41447;13930;33837;15095;4886;41;45978;37980;17084;627;209;2671;0;607;22379;17551;3134;14;1077;36542;16;667;2232;12348;10010;22030;16912;3364;29;39853;7500;10241;29652;850;7719;9375;16086;12427;8560;49940
