450917;294827;14969;377905;14183;654915;29068;94224;42027;175070;78;316101;235135;1498267;243449;215329;155247;20898;6047;48621;102831;92573;117163;305996;43700;206398;114745;169134;6967;259092;614497;149346;190767;32224;80381;257082;334661;1037519;616;123286;446227;736663;501051;390339;18838;264274;32686;144054;52349;199817;353234;196902;634684;48359;61142;181488;304288;51246;155175;11326;597293;40803;94632;258220;120653;392604;90905;141115;291055;798;71715
2467;4812;172;2614;39;156;40;2868;53;2250;0;2315;59;187;2804;107;161;28;16;849;634;2175;252;1081;2667;4979;1572;377;10;791;166;482;574;1694;138;196;1296;218;1;40;1204;260;187;623;184;3241;89;138;130;2425;831;1271;225;36;137;605;850;15;258;42;485;668;600;3668;1372;408;455;170;1307;0;70
90928;100805;1704;53250;668;39857;2033;14495;3642;32411;2;63169;16869;81580;52293;18491;16101;1570;482;7107;19193;14713;16208;77311;1460;45016;18168;20479;472;46306;41217;22425;30648;1269;4926;24006;65873;52009;54;11771;67744;55716;46483;45108;2002;13672;3649;13032;7029;36837;82358;45368;38478;4098;5228;35812;57097;1458;10821;499;38209;6398;16423;51305;20128;48465;12501;10189;59386;56;6197
83688;52236;439;37762;0;28771;788;6981;2875;25430;1;39172;15398;61858;30330;15015;10136;595;268;2553;8975;7119;11710;56741;133;29389;8293;23423;241;28732;42914;13596;28271;194;3947;19368;33076;38869;23;10391;47423;41878;27430;28691;605;7133;1769;8905;3652;29408;61996;23926;22843;3922;2544;31834;39860;399;7557;0;24399;2331;7825;22904;9640;28752;7077;3905;25854;24;4911
60593;33366;575;32595;144;24583;1085;6474;1608;19502;2;26804;12528;55022;27982;11630;8158;763;188;2621;7506;6514;11006;35326;455;24880;6984;2791;232;16929;33164;13771;21424;355;1845;17815;33373;32493;16;8211;29048;32330;23543;29163;782;2875;1520;7523;3362;22455;38164;19827;16086;2614;2411;22212;23619;881;6271;111;18619;2360;6394;19439;8319;25900;7063;3781;20949;40;3923
47842;22415;386;8758;407;29733;1003;4509;919;16365;9;19898;9690;49854;24643;10630;8512;635;139;1646;5640;4586;6043;29764;2420;19069;5209;8525;159;24860;24289;8585;17860;1496;825;10645;21316;52356;34;5338;21798;19989;20334;19459;538;13242;1274;4760;2246;18976;35523;14180;34967;1780;2953;17991;29180;1499;4743;300;16551;1357;5011;16301;6367;14044;4780;6676;14381;45;2953
34172;46426;473;5418;217;11490;1480;6335;914;11068;5;15744;2435;9885;11473;4403;5975;883;176;2668;6342;6503;2649;31860;588;13986;3778;2439;217;16565;4823;4741;7218;511;1462;4263;7628;21003;24;1334;29260;4378;11819;8756;556;3316;1009;2182;1665;12934;30897;14758;21410;538;5059;8731;19472;1401;2655;195;3223;2186;6760;6709;4223;2985;3756;9627;5244;30;1158
32759;31465;215;4098;5;12243;808;2324;797;6821;0;14850;2675;14155;10650;4005;4172;466;90;1108;4328;2360;1835;22243;176;12504;2523;1982;87;11061;5362;3949;8323;193;989;3631;8850;22598;5;1197;20142;3870;12476;8546;280;4644;674;1813;972;8432;22586;11546;15686;347;2568;8469;14909;926;2172;6;3440;922;3834;6885;2922;2550;2319;5187;5500;14;943
23963;22080;159;4117;56;10524;627;2540;349;5833;0;11396;2689;16439;8752;3768;4031;409;76;966;3691;2608;2380;16736;584;10322;2884;1006;77;11731;4946;3954;7462;377;799;3836;9094;18455;9;1190;14821;5127;9537;8416;225;5190;703;1582;1091;6823;18738;9581;12197;382;1674;8106;15822;470;2188;20;2491;779;3403;8171;3154;3859;2217;3147;7000;18;951
63872;50966;474;11283;27;23764;1244;6740;694;16994;0;31974;7665;36966;24067;10123;10794;873;125;2651;9284;6868;6143;46264;452;28718;7767;8306;117;36306;13386;10192;19693;515;1730;10687;19632;44481;12;4230;37199;12782;21736;19305;570;16562;1903;3843;2977;20125;48891;23657;36946;1233;4080;20793;43566;872;4246;11;8830;2260;8625;21128;8491;12476;6305;8528;18026;7;2550
