425169;294857;98936;288525;195603;135279;362586;116535;64248;371288;1399;61234;368964;174510;41131;106064;403014;211028;21682;219570;9019;80958;221589;248503;98131;1868481;2281;95089;38928;492717;938199;978150;512241;375444;178665;49138;248241;187631;359;23537;510658;834678;18808;296917;95006;563927;45478;263219;58729;121842;230405;102533;118149;265435;336969;17891;426660;12724;308597;94414;51;678177
1259;4812;41;4140;426;258;270;616;30;3811;0;552;2712;185;2170;1449;2724;2408;217;53;14;2284;2501;5137;144;210;5;607;44;1972;503;249;636;942;1233;805;158;1430;1;378;1512;282;27;2304;3779;160;59;914;131;306;232;864;1519;158;709;146;1042;30;1400;125;0;209
69619;100806;9591;16128;28228;9385;36670;19744;2172;76225;104;8038;71025;16161;1382;16743;56195;43169;2216;16495;570;13450;39424;55076;6026;91033;185;15644;2432;99386;62384;55595;67244;76213;20733;6704;13621;39021;20;860;119845;59092;1435;53320;15074;37278;3867;44780;7805;17199;23445;13677;18549;24922;60031;1949;61489;633;64473;9292;1;48854
48741;52236;8758;8034;19521;7384;28298;9896;676;36515;41;3077;45277;11035;127;7715;39892;25026;669;14980;322;6379;32409;36075;4228;73209;93;7429;1074;90742;40953;38524;40439;41897;23423;2384;5545;20509;14;11;87815;47840;1195;46256;7081;28072;3006;41108;4123;12383;16002;7314;8133;18484;31544;514;34858;0;27691;6631;1;45490
29729;33366;6680;3421;16220;5024;21758;7368;1298;32749;60;3089;30771;10925;358;6653;34303;23946;884;11878;311;5774;24093;30529;3287;63781;75;6017;1409;61904;32689;29996;37875;23147;2904;2477;5268;18970;13;235;55680;35168;736;33517;6397;21620;1752;30444;3803;11808;14171;6855;7076;12602;26368;693;35665;133;22369;5581;2;39223
20903;22416;4334;14228;12129;3917;18706;6682;2012;26095;47;2129;23760;6965;2278;4929;9668;20306;612;9227;191;3952;20994;23448;1798;67166;56;5105;1394;52708;30230;55060;20073;35371;9112;1562;11909;15060;37;866;50999;22650;502;29942;4571;23838;1061;25570;2598;6404;8348;5093;5070;15396;19398;498;24157;369;14944;4077;6;28284
29774;46426;961;3752;7591;2274;8464;9093;2089;10380;56;3261;18102;3724;559;3762;6212;10647;636;2375;251;5031;14501;16757;1615;17365;73;7462;2092;36456;5221;28549;4898;23608;2568;2447;12599;8922;20;356;50998;4426;345;18885;5380;9737;998;11672;1886;2846;3706;9707;3651;7631;17877;572;9575;200;5473;1877;1;8094
20265;31465;765;4784;5687;2151;7485;5061;1378;11129;24;1583;17504;2647;171;2313;4724;8865;316;2512;115;1867;9093;15112;1248;24609;53;4118;1145;34257;5781;24488;4421;16074;2046;1058;8015;8121;1;22;36931;4098;156;13470;2190;9844;806;12626;1108;2104;3059;4203;2458;6423;14339;274;10283;2;5803;1448;0;9384
14932;22080;793;5463;5949;2072;7105;4445;789;11797;30;1303;12766;2295;447;2553;4621;7649;250;2504;92;2255;7586;12299;1103;24756;42;3345;784;28763;4932;19185;6056;18383;1282;918;4498;6891;4;109;26623;5056;164;11548;2517;9082;368;10939;1282;2593;2888;3364;2838;6009;11865;227;10610;33;7313;1546;0;8807
37105;50966;3069;17150;15797;4005;17922;11641;1371;30697;22;3505;37373;6183;460;6995;12709;20440;633;7499;138;5846;22226;34087;2195;54180;53;8774;1709;73787;15571;51993;17324;55154;8472;2482;12343;17816;1;70;72791;13317;447;32533;6649;20751;775;29657;3382;6428;8148;9676;7524;16976;28593;625;22471;19;18866;4163;0;21048
