83204;294799;86486;180600;399655;46173;44104;194511;206818;105887;126727;48190;358;161222;22569;50482;92930;76777;75189;118381;176347;72990;109141;537664;20643;67468;173528;225257;92240;661;14126;94268;33851;79527;718530;24959;30025;44046;509487;101856;21296;7828;30130;96190;28434;290277;69285;147081;308740;83011;12838;44479;31034;35;121287;292610;147293;30794;60970;382826;81651;123370;182951;257097;114102;257456;13762;141536;124741;58377;40594;598410;195186;223555;10129;44041;90672;18567;145184;10968;196500;217448;159736;33530;450939;129848;1299322;61316;134143;130013;55514;3216;169157;151;47753;123102;80696;137114;37091;167177;36861;201014;97550;8781;1956;7971;101351;51329;224214;295491;303183;32766;261074;272420
1504;4812;192;77;80;288;24;425;1409;1087;296;864;1;1407;436;66;359;41;196;57;2620;4225;2034;179;53;48;49;113;2384;0;18;398;1933;182;156;432;45;172;117;1559;21;58;960;46;28;725;478;197;99;48;49;326;56;0;1304;1687;857;1024;959;81;1317;145;780;656;110;1586;12;457;245;302;12;167;2546;125;123;59;379;42;1423;94;148;29;1074;1903;100;400;84;390;282;387;38;4;1175;0;277;288;235;1205;593;585;44;276;26;20;5;49;208;66;504;136;1434;5;750;653
13810;100800;5551;13247;22389;7503;5348;39862;43416;17640;23269;6295;27;30593;3197;4871;15925;8304;10262;9319;35784;14655;17439;36768;2100;4164;11549;21529;16978;49;908;15303;1106;14624;51115;3617;2016;6591;31338;23543;1294;328;4858;4168;1493;62711;11493;17323;16407;9962;595;7238;4484;1;30760;58782;26983;5098;8805;22530;18280;15949;37700;59379;7702;51777;903;32522;19522;7866;3775;37021;10993;21562;1185;3860;15532;1935;30151;1274;16589;9605;32906;1060;31913;8918;46570;9971;31094;8020;2196;229;33132;7;7072;15880;12495;29655;5000;34851;3362;26095;6859;680;161;350;12627;5014;39096;28139;35985;779;54300;35112
7455;52235;4360;10713;15846;4351;4563;19339;23892;13895;21541;2603;15;13677;1028;2873;7894;6531;6234;8182;17666;8960;14315;26657;905;3126;10485;5689;9888;23;536;8658;106;16683;29050;1182;755;3768;33095;14531;512;3;2012;1455;845;40638;5253;10096;8843;8115;0;3093;2563;1;18663;56065;21685;2179;3766;17178;12572;11613;18412;49276;4988;33314;340;23222;15299;4923;3836;26168;2154;15571;336;3228;7341;790;23255;315;9024;5376;12885;76;26256;10234;45539;5644;18006;5607;2080;124;23515;4;3131;16365;5689;22108;2577;25642;2449;19567;6601;420;84;2;8182;2880;21156;18194;22453;173;47601;26231
7615;33366;3381;9491;12685;4013;4036;15863;21700;10252;14442;2326;9;11706;1129;2365;7190;5434;5479;6372;14806;7222;10338;19236;836;2412;8538;4620;9339;37;506;8940;337;1979;27625;1271;1063;3366;24379;12559;754;76;2007;1839;892;27438;4301;9396;6495;6828;141;2832;2304;0;16582;40736;14622;2071;3199;15093;10583;10975;18624;30653;4606;19506;477;13955;10950;3847;2438;21137;1563;11813;439;1671;6688;785;20860;427;6238;4540;10638;278;21951;1226;37893;5171;11353;3849;587;108;18278;4;2696;11743;3478;18220;2211;24237;1892;19172;5103;296;69;87;8617;2746;12406;16555;17537;502;29848;15502
6313;22415;3161;5979;19971;2483;2257;9587;17254;9694;12475;1587;20;9484;738;2812;4808;2669;4095;5553;12437;5752;8839;13484;718;1562;7255;5382;7779;35;307;5804;1873;1296;26469;709;1214;2141;17472;10087;661;163;1237;4298;544;24939;3468;6571;15566;4318;439;1981;1380;4;12867;32642;14291;1186;2273;11909;8339;6873;12458;28012;3326;16995;409;13734;6059;2049;1670;36538;5822;11149;308;975;4627;586;2641;302;11536;6827;7620;1867;19823;13569;45370;3268;9857;2519;439;72;14664;20;2313;10810;4540;12477;1602;11559;1389;10375;3800;214;45;172;5648;2471;22752;8573;8340;815;26976;11309
5018;46426;1412;1990;8089;1612;568;2458;8104;7042;5544;1597;20;4013;1218;2261;3581;1143;3827;1911;5239;3777;7724;2258;539;810;1868;7254;5039;22;317;3204;466;1685;3546;1149;1873;1490;2526;6801;964;130;2570;5086;478;27751;7062;2137;9243;1532;175;3168;826;1;8746;24246;9451;2203;1954;3103;5751;3622;4393;22015;1739;15221;436;10487;5630;1542;301;17852;2421;5393;296;891;3499;460;731;322;7920;962;2942;444;6042;1035;10493;2376;10687;985;1141;115;7904;11;3455;3826;6815;8628;3829;7811;530;4245;809;212;55;135;3064;1963;13041;1889;6633;735;20604;15881
2586;31464;1487;1523;8219;824;354;2511;9179;3593;5410;863;2;3975;522;1511;2970;898;2367;1865;5297;3486;3917;2114;379;834;2046;6794;2680;12;257;2606;140;1406;4559;522;977;837;3047;6283;504;12;807;3482;308;18009;3449;1948;6666;1148;4;1541;505;0;8686;22245;6713;655;1138;3635;4586;2910;4982;18120;1164;13595;263;8366;3821;1540;268;15914;3804;4666;142;691;2925;259;968;151;5425;1040;3142;160;7567;871;17132;1387;6429;798;532;48;8398;0;1877;4384;3520;7964;1192;7150;424;4187;977;86;50;3;2534;1453;8105;1486;4914;424;17858;11059
2387;22080;1635;1671;7264;1139;389;3213;7399;3351;5628;914;7;4493;387;1270;2862;925;2369;1864;6120;3434;3126;2948;368;685;2065;4555;2625;17;119;2659;425;145;4805;381;708;933;2649;5358;405;15;821;1683;239;11816;2481;2037;5128;1524;31;1380;636;0;6456;16408;6366;754;1270;4351;3918;3050;5122;15946;1018;10279;217;8155;2988;1745;273;12177;4008;4013;103;383;2659;263;1174;133;4573;1783;4039;459;6594;1423;17394;1667;5729;358;296;45;6084;0;1560;4318;2955;5267;1181;6569;452;4499;865;96;36;22;2488;1210;9798;2548;4451;212;15268;7762
6829;50965;3430;5325;17484;2692;1628;10822;17601;10301;14421;2586;10;11773;1089;3516;6643;3179;6156;4779;16746;9546;9636;7485;1060;1452;5681;10908;7735;3;216;6551;362;341;14115;1155;1404;2228;8659;14354;807;10;2171;3380;568;33150;7754;5018;17174;4211;31;3600;1712;0;16115;41600;17957;2163;3424;9238;10935;8288;11516;40775;2367;32581;433;21592;7900;3140;1078;32643;11254;9811;298;752;6576;726;2862;366;12860;3754;9435;396;13934;12022;38173;4061;14599;1439;482;56;18187;0;3790;11622;8485;14329;3100;14830;1247;9929;2723;192;38;22;6081;3557;30581;7393;12869;380;39352;17842
