293395.998811;4582613.780882;6796239.186915;4337941.033393
4808.000000;17343.608757;4309.860679;36832.530563
100681.000000;769225.633992;476277.192492;606543.173516
52196.000000;545740.921729;360096.666410;351064.411861
33328.000000;386899.287245;292649.625156;290020.087599
22218.000000;356306.197117;264136.017541;218549.785342
46393.000000;260461.441325;112702.743973;116908.814702
31464.000000;207994.000675;104592.962319;89431.037006
22072.000000;176060.820390;89806.570547;90858.609063
50964.000000;479702.026287;220398.762904;243537.210809
